,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.060712820512721796,0.06438927858430749,0.13231345984575074,0.1441001564945226,0.06375167903722916,0.09055859393193792,0.2099191171860304,0.10858854675230196,0.06641948597735739,0.12041585741381079,0.09950441830774007,0.2645663313721769,0.09204515226797336,0.12610717248698242
T2,0.060712820512721796,0.0,0.0410321489001692,0.11445530412999746,0.1514616321559074,0.09375354837720207,0.2058362096015061,0.2134250243427458,0.12175091810094336,0.13531376053673017,0.2533063923585599,0.2498469824947974,0.266256536450323,0.2768138314294535,0.16681163007693994
T3,0.06438927858430749,0.0410321489001692,0.0,0.14529230663492243,0.08906200460145797,0.164294403892944,0.204592508940335,0.19310520280272625,0.2051643768400392,0.17135200641120812,0.2500918329864087,0.2480117459929034,0.2675233644859813,0.2514326120994211,0.10835599115946605
T4,0.13231345984575074,0.11445530412999746,0.14529230663492243,0.0,0.1516340670795266,0.164458348668875,0.1780229645739525,0.16048954707448332,0.2104448982117443,0.2183400760083364,0.19953918465131334,0.13630913759634283,0.13739144352105692,0.2788425637834474,0.2706669143600222
T5,0.1441001564945226,0.1514616321559074,0.08906200460145797,0.1516340670795266,0.0,0.2217105064807518,0.1604774294962949,0.05380577260065737,0.2090847541084508,0.22497564539698,0.24096175014203522,0.2553008419888145,0.12858214842739785,0.2784016876589936,0.07137593024280968
T6,0.06375167903722916,0.09375354837720207,0.164294403892944,0.164458348668875,0.2217105064807518,0.0,0.2090612039713459,0.23567855546300598,0.13628580759977207,0.027542549812717337,0.14003506865560664,0.2585973962171456,0.274922791846819,0.15942241898850518,0.2733485193621868
T7,0.09055859393193792,0.2058362096015061,0.204592508940335,0.1780229645739525,0.1604774294962949,0.2090612039713459,0.0,0.147001691835328,0.1523462070700717,0.1890335503254882,0.2600515950418423,0.09003039192045481,0.2738668017219549,0.17575073441886058,0.16218064141728863
T8,0.2099191171860304,0.2134250243427458,0.19310520280272625,0.16048954707448332,0.05380577260065737,0.23567855546300598,0.147001691835328,0.0,0.1556684622918707,0.24072167323120208,0.2674546790788829,0.2641624862351646,0.08437391299332525,0.2905401225020108,0.11404575427037121
T9,0.10858854675230196,0.12175091810094336,0.2051643768400392,0.2104448982117443,0.2090847541084508,0.13628580759977207,0.1523462070700717,0.1556684622918707,0.0,0.1877486077963405,0.2636956789363535,0.22754699636806813,0.2770299609205384,0.286441835910813,0.15178119769264398
T10,0.06641948597735739,0.13531376053673017,0.17135200641120812,0.2183400760083364,0.22497564539698,0.027542549812717337,0.1890335503254882,0.24072167323120208,0.1877486077963405,0.0,0.1235456731557776,0.2638659573167003,0.2741588238912468,0.10221768046434224,0.2708027410670582
T11,0.12041585741381079,0.2533063923585599,0.2500918329864087,0.19953918465131334,0.24096175014203522,0.14003506865560664,0.2600515950418423,0.2674546790788829,0.2636956789363535,0.1235456731557776,0.0,0.1729891006515253,0.16064709487850903,0.05339832547265777,0.2690508432845008
T12,0.09950441830774007,0.2498469824947974,0.2480117459929034,0.13630913759634283,0.2553008419888145,0.2585973962171456,0.09003039192045481,0.2641624862351646,0.22754699636806813,0.2638659573167003,0.1729891006515253,0.0,0.2738499536894103,0.1534220860488783,0.2703667240954959
T13,0.2645663313721769,0.266256536450323,0.2675233644859813,0.13739144352105692,0.12858214842739785,0.274922791846819,0.2738668017219549,0.08437391299332525,0.2770299609205384,0.2741588238912468,0.16064709487850903,0.2738499536894103,0.0,0.2531714389271475,0.2400263173634786
T14,0.09204515226797336,0.2768138314294535,0.2514326120994211,0.2788425637834474,0.2784016876589936,0.15942241898850518,0.17575073441886058,0.2905401225020108,0.286441835910813,0.10221768046434224,0.05339832547265777,0.1534220860488783,0.2531714389271475,0.0,0.2571665386509656
T15,0.12610717248698242,0.16681163007693994,0.10835599115946605,0.2706669143600222,0.07137593024280968,0.2733485193621868,0.16218064141728863,0.11404575427037121,0.15178119769264398,0.2708027410670582,0.2690508432845008,0.2703667240954959,0.2400263173634786,0.2571665386509656,0.0
