,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,-1.0,-1.0,0.1615693156179493,0.211962798614066,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.266256536450323,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.204592508940335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2694709772226304
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.22497564539698,-1.0,-1.0,0.2738853503184713,-1.0,-1.0
T6,0.1615693156179493,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.211707557031298,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,0.211962798614066,-1.0,0.204592508940335,-1.0,-1.0,-1.0,0.0,-1.0,0.1523462070700717,-1.0,-1.0,-1.0,0.2738668017219549,-1.0,-1.0
T8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,-1.0,-1.0,-1.0,-1.0,0.211707557031298,0.1523462070700717,-1.0,0.0,0.1877486077963405,-1.0,-1.0,-1.0,-1.0,0.2782210676068534
T10,-1.0,-1.0,-1.0,-1.0,0.22497564539698,-1.0,-1.0,-1.0,0.1877486077963405,0.0,0.2653535600685099,-1.0,-1.0,0.2830979835974594,-1.0
T11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2653535600685099,0.0,0.1729891006515253,-1.0,-1.0,-1.0
T12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1729891006515253,0.0,0.2738499536894103,-1.0,-1.0
T13,-1.0,0.266256536450323,-1.0,-1.0,0.2738853503184713,-1.0,0.2738668017219549,-1.0,-1.0,-1.0,-1.0,0.2738499536894103,0.0,-1.0,-1.0
T14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2830979835974594,-1.0,-1.0,-1.0,0.0,-1.0
T15,-1.0,-1.0,0.2694709772226304,-1.0,-1.0,-1.0,-1.0,-1.0,0.2782210676068534,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
