method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,iters_used,epochs_used,convergence_epoch,final_rank,last_rel_change,last_singular_values_json,lrmc_config_json
LRMC-SoftImpute,30,0.3,0.3047619047619048,1,55,105,32,73,32,True,True,True,,missing_p30_rep01_seed55.csv,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,0.0487230430001091,817.755956050042,0.12085945083997798,1.7972658374726196,17.49382406792112,46.74540871538672,0.02022617682793644,0.10278335557754696,0.08657096475405382,0.5533302041281422,0.4369501466275659,0.0,0.0,1267,1267,1267,10,9.996234861598925e-08,"[2.8700045434837147, 0.7415484899246051, 0.6072531155607382, 0.45135880617261775, 0.32224216186794913, 0.297591998177628, 0.20697924491483544, 0.09597600719835235, 0.08148341124299295, 0.05665875131825233]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300001}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,2,56,105,32,73,32,True,True,True,,missing_p30_rep02_seed56.csv,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,0.07156473899999582,712.1610980852499,0.13161044255916068,1.5651892265609888,15.234888680111913,46.74540871538672,0.02022617682793644,0.10668484280069698,0.09462486502775105,0.42947020803784997,0.376099706744868,0.0,0.0,1858,1858,1858,10,9.991708651388878e-08,"[2.864095142705446, 0.6555157379918544, 0.5902434426775891, 0.4346502451778623, 0.40826456168843694, 0.290538275170435, 0.19342029282115725, 0.1129235946665658, 0.10273277141452605, 0.058973882600442715]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300002}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,3,57,105,32,73,32,True,True,True,,missing_p30_rep03_seed57.csv,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,0.035485581999864735,802.6240029023627,0.1407912913015734,1.7640087975876102,17.170114134399917,46.74540871538672,0.02022617682793644,0.11645956305135721,0.1028309834643979,0.39670106571682306,0.4043255131964809,0.0,0.0,779,779,779,10,9.975668728193944e-08,"[2.815685061578821, 0.8131930615091582, 0.618875763606548, 0.4847291235844395, 0.3289979060155638, 0.2565811249778445, 0.1392316474969067, 0.09798792420686651, 0.041990954315670355, 0.026244807925968297]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300003}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,4,58,105,32,73,32,True,True,True,,missing_p30_rep04_seed58.csv,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,0.041045660000008866,1298.8324334165159,0.14890516632356746,2.8545767767395955,27.785240713683013,46.74540871538672,0.02022617682793644,0.11776711112635042,0.09850317174919454,0.3195997009861446,0.33724340175953077,0.0,0.0,1013,1013,1013,9,9.956594251708636e-08,"[2.828642612870137, 0.7907517187984329, 0.5757782698005868, 0.4191903100683244, 0.3596612625537076, 0.3516496745057357, 0.13396997251517334, 0.09187340852454799, 0.07048390242320361, 0.018178017229237883]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300004}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,5,59,105,32,73,32,True,True,True,,missing_p30_rep05_seed59.csv,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,0.05434990200001266,646.4647647065544,0.12228705585308496,1.420801680673746,13.82948149288005,46.74540871538672,0.02022617682793644,0.09572118304587197,0.07850313520105445,0.4619601365089203,0.3966275659824046,0.0,0.0,1464,1464,1464,10,9.959113099805624e-08,"[2.9032748594029276, 0.79155026224584, 0.4921214773086798, 0.4097067071681529, 0.3803408260639223, 0.27773858710328225, 0.19892207862002248, 0.1798766717912097, 0.12788503359914763, 0.02356694185268297]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300005}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,6,60,105,32,73,32,True,True,True,,missing_p30_rep06_seed60.csv,LRMC_SoftImpute_completed_p30_rep06_seed60.csv,0.017356872999926054,753.5454658539486,0.1434208489147746,1.6561438809976892,16.120202744230397,46.74540871538672,0.02022617682793644,0.12555829631592996,0.1093976850770228,0.09845166404933205,0.05205278592375366,0.0,0.0,427,427,427,9,9.94051712925163e-08,"[2.818503568585327, 0.7049533083512637, 0.5759014481876871, 0.4027355242882925, 0.3891051952423308, 0.29717781709153984, 0.2150019356602552, 0.1290449664241486, 0.07333900219712523, 0.0168524547403265]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300006}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,7,61,105,32,73,32,True,True,True,,missing_p30_rep07_seed61.csv,LRMC_SoftImpute_completed_p30_rep07_seed61.csv,0.044474573000115925,673.1032763760234,0.11645432137487279,1.4793478601670844,14.399345195038686,46.74540871538672,0.02022617682793644,0.09680236523249375,0.07814528721111405,0.37873754026144724,0.28629032258064513,0.0,0.0,1171,1171,1171,9,9.95804005467654e-08,"[2.927358104336876, 0.6982326470873318, 0.4914166974124579, 0.4278228174666799, 0.39667904734478066, 0.30047550171694415, 0.2916511306957896, 0.20397422256890646, 0.06652084780061257, 0.019521722087933468]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300007}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,8,62,105,32,73,32,True,True,True,,missing_p30_rep08_seed62.csv,LRMC_SoftImpute_completed_p30_rep08_seed62.csv,0.04262716400012323,6219.552343744484,0.13754037272733238,13.669345810427437,133.05161971334428,46.74540871538672,0.02022617682793644,0.11169796061714266,0.09889079943217627,0.27152814223553123,0.1411290322580645,0.0,0.0,1091,1091,1091,10,9.939223135661081e-08,"[2.82308261851493, 0.7357318251460282, 0.6017204130245217, 0.43143306817602883, 0.329234026494289, 0.3120729847894603, 0.21694449115481268, 0.09189238809757733, 0.058973218937016056, 0.03390919498142725]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300008}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,9,63,105,32,73,32,True,True,True,,missing_p30_rep09_seed63.csv,LRMC_SoftImpute_completed_p30_rep09_seed63.csv,0.06546779100017375,541.9806892210482,0.11567422741898217,1.1911663499363698,11.594308491790978,46.74540871538672,0.02022617682793644,0.09988930290746437,0.08360531757958747,0.32045373681769773,0.2914222873900293,0.0,0.0,1707,1707,1707,10,9.973410290071874e-08,"[2.8929981629549864, 0.7334849108007184, 0.461878202960632, 0.4563518724261187, 0.3725863422912085, 0.2892278328479172, 0.20105565112972792, 0.17798989175594623, 0.10942294942406655, 0.06286245770851251]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300009}"
LRMC-SoftImpute,30,0.3,0.3047619047619048,10,64,105,32,73,32,True,True,True,,missing_p30_rep10_seed64.csv,LRMC_SoftImpute_completed_p30_rep10_seed64.csv,0.04928275400015991,669.3185170210713,0.12169955744984588,1.4710297077386183,14.318379824129302,46.74540871538672,0.02022617682793644,0.10041489478843779,0.08568142000204643,0.5387378246997423,0.4666422287390029,0.0,0.0,1194,1194,1194,9,9.99640766452243e-08,"[2.8960242831255236, 0.6965859426738655, 0.5063546158011432, 0.4487087634126348, 0.4008890356617593, 0.2985470572147026, 0.27475686947139366, 0.15405449025458007, 0.07781940073717354, 0.01988775122210819]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300010}"
