method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,__metadata_scope,__metadata_source,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.44113191676932073,scipy.optimize.nnls,3.17394,1.1389831469691158,2.0349568530308844,0.6411453439670833,0.3047619047619048,105,32,73,32,missing_p30_rep01_seed55.csv,0.0487230430001091,0.1027833555775469,0.0865709647540538,0.5533302041281422,0.4369501466275659,817.755956050042,0.1208594508399779,1.7972658374726196,17.49382406792112,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07564263156187467,0.0996708000337992,-0.07536877233447718,0.27084177979644125,0.7472044136562008,0.7205755896219374,0.6818295616513832,0.6434750033619464,0.0878668175490779,0.11557623577993818,-0.0873738709397624,0.27084177979644125,0.6773043638953867,0.6178571428571428,0.6656751401066622,0.596211153940808,0.06036239907787066,0.07519821146327045,-0.06036239907787066,0.16360962462242393,0.7677049326772678,0.5801630249353875,0.7374056029967531,0.7519373710793492,0.4310308375699498,0.47953936388849494,-0.4310308375699498,0.7940309783416708,0.8460349439593344,0.703421107194692,0.7025600770522609,0.6806763404603803,0.43103083756994975,0.4818489924769708,-0.43103083756994975,0.9098344019808045,0.656534051626655,0.641644204851752,0.7059438510680662,0.6806763404603802
LRMC-SoftImpute,30,2,56,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.4742124572472903,scipy.optimize.nnls,3.17394,1.2209822022286043,1.9529577977713957,0.6153102446080883,0.3047619047619048,105,32,73,32,missing_p30_rep02_seed56.csv,0.0715647389999958,0.1066848428006969,0.094624865027751,0.4294702080378499,0.376099706744868,712.1610980852499,0.1316104425591606,1.5651892265609888,15.234888680111911,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07644299966847672,0.09804883608949787,-0.07233177028782947,0.22866689358314235,0.7100386453775683,0.592305611204851,0.6707340054324876,0.6502835564153296,0.08255919340001856,0.10268096300624963,-0.07606294605413076,0.22866689358314235,0.9010844424164198,0.8571428571428571,0.5914032757185266,0.5601968221729907,0.06879775750404939,0.09193104414055808,-0.06766780057995282,0.1999065320985365,0.15945600890721756,0.07091428421782556,0.9014904173844706,0.8570170454460065,0.43202550861731026,0.481671105905707,-0.43109747328218345,0.7596433178239511,0.8812766173912745,0.8177897574123988,0.7056832342915825,0.6822471075365744,0.4324595464277244,0.4844688159645751,-0.4310974732821834,0.9077915341610217,0.6081941835776298,0.642877876840141,0.7097820831923065,0.6829325324358222
LRMC-SoftImpute,30,3,57,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.48379144084196113,scipy.optimize.nnls,3.17394,1.0362326843246876,2.1377073156753124,0.6735185024528858,0.3047619047619048,105,32,73,32,missing_p30_rep03_seed57.csv,0.0354855819998647,0.1164595630513572,0.1028309834643979,0.396701065716823,0.4043255131964809,802.6240029023627,0.1407912913015734,1.7640087975876102,17.170114134399917,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.0799130757365299,0.1039460200328475,-0.07917434502501157,0.24568721941767546,0.7069833124189386,0.6227460653627012,0.7110755532249017,0.6798027199273797,0.09759175541031105,0.1220489600840288,-0.09721846801072394,0.24568721941767546,0.6689772295419231,0.4642857142857142,0.7029555691578497,0.6621987085829224,0.05781472614430345,0.07543744500918949,-0.0566191912928711,0.17211491114324728,0.6375676879156823,0.5659258954891203,0.7397515651380421,0.7202008841719086,0.4348324687613458,0.48328321457324974,-0.4348324687613458,0.7563840296358937,0.8164609093498627,0.7723304996889901,0.7080450908459671,0.6866798097753095,0.4351348093568916,0.48593254503031685,-0.43483246876134574,0.8543674567630537,0.6190487654087625,0.6623470868753887,0.7119265528284849,0.68715726074218
LRMC-SoftImpute,30,4,58,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.5251775904428028,scipy.optimize.nnls,3.17394,1.1580700317400792,2.0158699682599206,0.6351317190179778,0.3047619047619048,105,32,73,32,missing_p30_rep04_seed58.csv,0.0410456600000088,0.1177671111263504,0.0985031717491945,0.3195997009861446,0.3372434017595307,1298.832433416516,0.1489051663235674,2.8545767767395955,27.785240713683013,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07483251005583488,0.09741546344283708,-0.07466185067629336,0.2449359405056107,0.7506404262826374,0.5545711156445459,0.6664012199638423,0.6365834803139133,0.08650589316980514,0.1107951531928123,-0.08650589316980514,0.2449359405056107,0.7230587152486807,0.5071428571428571,0.6381379236575434,0.586976743076443,0.060240781163372066,0.07750826214822332,-0.05985679755940362,0.16742956631881864,0.6449665889958331,0.16728627099363932,0.7600583268467446,0.7504223707430264,0.4338444056590265,0.4837906138582124,-0.4338444056590265,0.7758175590271841,0.8509098343830328,0.8205992121086461,0.7087884677355076,0.6851194778500526,0.4338444056590265,0.4871142948731744,-0.4338444056590265,0.9237182430931951,0.5756250986147781,0.6230769230769231,0.7136579023759385,0.6851194778500526
LRMC-SoftImpute,30,5,59,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.4120930301714686,scipy.optimize.nnls,3.17394,1.1214091251248473,2.0525308748751527,0.6466823175218034,0.3047619047619048,105,32,73,32,missing_p30_rep05_seed59.csv,0.0543499020000126,0.0957211830458719,0.0785031352010544,0.4619601365089203,0.3966275659824046,646.4647647065544,0.1222870558530849,1.420801680673746,13.82948149288005,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07711554740429342,0.10784832603696222,-0.07601966203241306,0.29546313559717224,0.494012537265143,0.4692413426674526,0.7377705089322184,0.6560047700699833,0.09003353228917654,0.1207633772901103,-0.09003353228917654,0.29546313559717224,0.523199898541419,0.6428571428571428,0.6955511014427924,0.6109131715111294,0.06096806629818955,0.08911002523314433,-0.05850232421145871,0.2098020904507168,-0.07070199121840207,-0.09457107322567676,0.8738270580038723,0.7594821974009142,0.42847810278227705,0.47635880938388775,-0.42847810278227705,0.778515947463002,0.8793353675449169,0.823698942566867,0.6979003331686591,0.67664510644651,0.428478102782277,0.47842082131409247,-0.428478102782277,0.934426731495657,0.6990981608785657,0.7271200497615592,0.7009213307543842,0.6766451064465099
LRMC-SoftImpute,30,6,60,LRMC_SoftImpute_completed_p30_rep06_seed60.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.5330966757915581,scipy.optimize.nnls,3.17394,1.2953883476395942,1.8785516523604058,0.5918674115958101,0.3047619047619048,105,32,73,32,missing_p30_rep06_seed60.csv,0.017356872999926,0.1255582963159299,0.1093976850770228,0.098451664049332,0.0520527859237536,753.5454658539486,0.1434208489147746,1.6561438809976892,16.120202744230397,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07077382037059647,0.09411896578133576,-0.06957598712445948,0.2575917650039584,0.7228025002754059,0.6809584889730531,0.6438504874046167,0.6020571119826161,0.07174611473519449,0.09710357751356052,-0.0695900148921479,0.2575917650039584,0.8102768931813126,0.9107142857142855,0.5592796575350804,0.4868258012548085,0.06955845241484895,0.090249506436426,-0.06955845241484895,0.18561,0.48606857284052396,0.17402730811488895,0.885000991631533,0.8664930593248149,0.4362502518717662,0.48840973039539204,-0.4362502518717662,0.7952776907117994,0.7518186471904726,0.6867820858386896,0.715555809719614,0.6889187480021154,0.4362502518717662,0.4918121402386691,-0.4362502518717662,0.8912765437275796,0.5041455872424464,0.5463300850093302,0.7205405878247372,0.6889187480021154
LRMC-SoftImpute,30,7,61,LRMC_SoftImpute_completed_p30_rep07_seed61.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.453284520467244,scipy.optimize.nnls,3.17394,1.2448236735108154,1.9291163264891846,0.6077986119741345,0.3047619047619048,105,32,73,32,missing_p30_rep07_seed61.csv,0.0444745730001159,0.0968023652324937,0.078145287211114,0.3787375402614472,0.2862903225806451,673.1032763760234,0.1164543213748727,1.4793478601670844,14.399345195038686,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07239979610926968,0.09634364960593847,-0.07144875283293274,0.2297580855937512,0.7380436322120171,0.7104869199327036,0.659069139170504,0.6158889251057933,0.07657147396831857,0.10154169717415361,-0.07631506676823546,0.2297580855937512,0.8873479003279092,0.9178571428571428,0.584841538028408,0.5195677745822587,0.06718519878545857,0.08942218411765764,-0.06536586041380436,0.20011488647233255,0.241898694801147,0.3381318243488455,0.876888137595875,0.8369293222591926,0.42675956783531394,0.47648297998774763,-0.42675956783531394,0.744830574592843,0.9016024178522688,0.8460916442048517,0.6980822521425427,0.6739312261931921,0.4267731482100533,0.4786281667139237,-0.4267595678353139,0.917703318061766,0.6643742833533467,0.7052456976985279,0.7012251068592291,0.6739526720828454
LRMC-SoftImpute,30,8,62,LRMC_SoftImpute_completed_p30_rep08_seed62.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.49843629753504165,scipy.optimize.nnls,3.17394,1.1573545756774029,2.016585424322597,0.6353571347670709,0.3047619047619048,105,32,73,32,missing_p30_rep08_seed62.csv,0.0426271640001232,0.1116979606171426,0.0988907994321762,0.2715281422355312,0.1411290322580645,6219.552343744484,0.1375403727273323,13.669345810427435,133.05161971334428,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07784901625203917,0.10137962404229868,-0.07468834904898507,0.21966157092550093,0.661878785004046,0.4954968764796848,0.6935193115506462,0.6622442260424135,0.08417508090308531,0.10619981776354091,-0.08417508090308531,0.21707518624160352,0.8674631664996695,0.8821428571428571,0.6116705401588992,0.5711612588023685,0.06994143543823152,0.0950111139203908,-0.06282993423135975,0.21966157092550093,-0.32528987664178005,-0.2381789992350377,0.9316940707569844,0.871263897664073,0.4336313003092244,0.48406845412110505,-0.4336313003092244,0.7630246490405371,0.871186562205598,0.8488907319095998,0.7091955239465415,0.6847829456184991,0.4336313003092244,0.48734803778803326,-0.4336313003092244,0.8379654228559231,0.5807274571717076,0.5789653742483931,0.7140003527619548,0.6847829456184991
LRMC-SoftImpute,30,9,63,LRMC_SoftImpute_completed_p30_rep09_seed63.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.4190023874440211,scipy.optimize.nnls,3.17394,1.198202884175819,1.975737115824181,0.622487229066769,0.3047619047619048,105,32,73,32,missing_p30_rep09_seed63.csv,0.0654677910001737,0.0998893029074643,0.0836053175795874,0.3204537368176977,0.2914222873900293,541.9806892210482,0.1156742274189821,1.1911663499363698,11.594308491790978,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07869229951082257,0.10301605980993706,-0.07317544873422892,0.23351126651972423,0.581432280231357,0.5168425941486122,0.7047138668440837,0.6694178487281454,0.08526939368779043,0.10877137900902037,-0.08062995785044255,0.23351126651972423,0.8119481072873148,0.8749999999999999,0.6264817544264826,0.5785866044145137,0.07047093178961275,0.09533455925222102,-0.06385731233896189,0.22637,-0.21007017361595454,-0.16677617027676858,0.9348658270436515,0.8778598597288028,0.42890688347734746,0.4799852191341094,-0.4282441069291549,0.7977155216546097,0.8398296121780113,0.8124300228073813,0.703213287443944,0.6773222294013919,0.4293159912763342,0.48250261366991215,-0.4282441069291549,0.8542057217220538,0.6099747729768917,0.6400165871863985,0.7069014536972898,0.6779682852637474
LRMC-SoftImpute,30,10,64,LRMC_SoftImpute_completed_p30_rep10_seed64.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.4632573786378382,scipy.optimize.nnls,3.17394,1.2147997579156806,1.9591402420843194,0.6172581214781374,0.3047619047619048,105,32,73,32,missing_p30_rep10_seed64.csv,0.0492827540001599,0.1004148947884377,0.0856814200020464,0.5387378246997423,0.4666422287390029,669.3185170210713,0.1216995574498458,1.4710297077386183,14.318379824129302,0.0,0.0,method_specific,lrmc_softimpute_outputs/tables/lrmc_softimpute_all_masks_detailed.csv,0.07314440428979532,0.09802706074499964,-0.07256074970682665,0.25472251821795533,0.7382566751241443,0.772144310226811,0.6705850443166042,0.622223140898843,0.07988523529787536,0.10894607251614034,-0.07883465704853174,0.25472251821795533,0.765096310544239,0.8321428571428571,0.6274879225547579,0.542052957513528,0.06471836552969527,0.08236732993316301,-0.06471836552969527,0.18593831313132073,0.7348902566129006,0.5633942521631989,0.8077071171601374,0.8061998591900252,0.4292420159927823,0.47805974824377384,-0.4291783619014678,0.7369788586911271,0.9136832632470958,0.9283329877669501,0.7003923324213849,0.6778514647931367,0.4302105549410434,0.48052227580325724,-0.4291783619014678,0.8177714318385217,0.6646287200232441,0.6957391664938835,0.7040001145602799,0.6793809645166657
