edge_id,edge_type,edge_descendant_count,branch_length_ref_ML
terminal:T1,terminal,1,0.05696
internal:T2|T3,internal,2,0.03472
terminal:T2,terminal,1,0.02433
terminal:T3,terminal,1,0.02231
internal:T1|T2|T3,internal,3,0.01863
terminal:T4,terminal,1,0.07771
internal:T1|T2|T3|T4,internal,4,0.04682
terminal:T5,terminal,1,0.12997
internal:T1|T2|T3|T4|T5,internal,5,0.03057
terminal:T6,terminal,1,0.14605
internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721
internal:T10|T7|T8|T9,internal,4,0.08603
internal:T7|T8|T9,internal,3,0.05128
internal:T7|T8,internal,2,0.02354
terminal:T7,terminal,1,0.11573
terminal:T8,terminal,1,0.11535
terminal:T9,terminal,1,0.12153
terminal:T10,terminal,1,0.18189
internal:T11|T12|T13|T14|T15,internal,5,0.11651
internal:T11|T12,internal,2,0.22637
terminal:T11,terminal,1,0.16094
terminal:T12,terminal,1,0.14942
internal:T13|T14|T15,internal,3,0.18561
terminal:T13,terminal,1,0.32149
internal:T14|T15,internal,2,0.07113
terminal:T14,terminal,1,0.34439
terminal:T15,terminal,1,0.24256
