method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,iters_used,epochs_used,convergence_epoch,final_rank,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,32,0.1027833555775469,0.0865709647540538,0.5533302041281422,0.4369501466275659,0.0487230430001091,True,True,True,1267,1267,1267,10,0.1208594508399779,17.49382406792112,0.0,0.0,missing_p30_rep01_seed55.csv,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,
LRMC-SoftImpute,30,2,56,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,32,0.1066848428006969,0.094624865027751,0.4294702080378499,0.376099706744868,0.0715647389999958,True,True,True,1858,1858,1858,10,0.1316104425591606,15.234888680111911,0.0,0.0,missing_p30_rep02_seed56.csv,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,
LRMC-SoftImpute,30,3,57,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,32,0.1164595630513572,0.1028309834643979,0.396701065716823,0.4043255131964809,0.0354855819998647,True,True,True,779,779,779,10,0.1407912913015734,17.170114134399917,0.0,0.0,missing_p30_rep03_seed57.csv,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,
LRMC-SoftImpute,30,4,58,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,32,0.1177671111263504,0.0985031717491945,0.3195997009861446,0.3372434017595307,0.0410456600000088,True,True,True,1013,1013,1013,9,0.1489051663235674,27.785240713683013,0.0,0.0,missing_p30_rep04_seed58.csv,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,
LRMC-SoftImpute,30,5,59,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,32,0.0957211830458719,0.0785031352010544,0.4619601365089203,0.3966275659824046,0.0543499020000126,True,True,True,1464,1464,1464,10,0.1222870558530849,13.82948149288005,0.0,0.0,missing_p30_rep05_seed59.csv,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,
LRMC-SoftImpute,30,6,60,LRMC_SoftImpute_completed_p30_rep06_seed60.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,32,0.1255582963159299,0.1093976850770228,0.098451664049332,0.0520527859237536,0.017356872999926,True,True,True,427,427,427,9,0.1434208489147746,16.120202744230397,0.0,0.0,missing_p30_rep06_seed60.csv,LRMC_SoftImpute_completed_p30_rep06_seed60.csv,
LRMC-SoftImpute,30,7,61,LRMC_SoftImpute_completed_p30_rep07_seed61.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,32,0.0968023652324937,0.078145287211114,0.3787375402614472,0.2862903225806451,0.0444745730001159,True,True,True,1171,1171,1171,9,0.1164543213748727,14.399345195038686,0.0,0.0,missing_p30_rep07_seed61.csv,LRMC_SoftImpute_completed_p30_rep07_seed61.csv,
LRMC-SoftImpute,30,8,62,LRMC_SoftImpute_completed_p30_rep08_seed62.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,32,0.1116979606171426,0.0988907994321762,0.2715281422355312,0.1411290322580645,0.0426271640001232,True,True,True,1091,1091,1091,10,0.1375403727273323,133.05161971334428,0.0,0.0,missing_p30_rep08_seed62.csv,LRMC_SoftImpute_completed_p30_rep08_seed62.csv,
LRMC-SoftImpute,30,9,63,LRMC_SoftImpute_completed_p30_rep09_seed63.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,32,0.0998893029074643,0.0836053175795874,0.3204537368176977,0.2914222873900293,0.0654677910001737,True,True,True,1707,1707,1707,10,0.1156742274189821,11.594308491790978,0.0,0.0,missing_p30_rep09_seed63.csv,LRMC_SoftImpute_completed_p30_rep09_seed63.csv,
LRMC-SoftImpute,30,10,64,LRMC_SoftImpute_completed_p30_rep10_seed64.csv,lrmc_softimpute_outputs/completed_matrices/LRMC_SoftImpute_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,32,0.1004148947884377,0.0856814200020464,0.5387378246997423,0.4666422287390029,0.0492827540001599,True,True,True,1194,1194,1194,9,0.1216995574498458,14.318379824129302,0.0,0.0,missing_p30_rep10_seed64.csv,LRMC_SoftImpute_completed_p30_rep10_seed64.csv,
