,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.0862953692115143,0.0854032409435024,0.1054918755510769,0.1441001564945226,0.1615693156179493,0.211962798614066,0.2099191171860304,0.2049990555940313,0.2113011338720792,0.2476423990946812,0.2413251194367613,0.2645663313721769,0.2687381103360812,0.2619664875118558
T2,0.0862953692115143,0.0,0.0410321489001692,0.1065313111545988,0.1514616321559074,0.1642226954669911,0.163985266846417,0.2134250243427458,0.2059022025891159,0.2170960897241588,0.2654342267739652,0.2498469824947974,0.14498808354612713,0.2768138314294535,0.2701096612142376
T3,0.0854032409435024,0.0410321489001692,0.0,0.05873351178039243,0.08050424578011343,0.1008742669208316,0.204592508940335,0.1771347371471821,0.2051643768400392,0.17899649974759496,0.2500918329864087,0.2480117459929034,0.13448726305318576,0.2745001234263144,0.2694709772226304
T4,0.1054918755510769,0.1065313111545988,0.05873351178039243,0.0,0.1516340670795266,0.03754731932313528,0.2062409197144842,0.2147163775070751,0.2104448982117443,0.2183400760083364,0.16307938084100632,0.2528458302400396,0.2223161616517392,0.2788425637834474,0.2706669143600222
T5,0.1441001564945226,0.1514616321559074,0.08050424578011343,0.1516340670795266,0.0,0.1709433040078201,0.2085893416927899,0.2176438222167879,0.2090847541084508,0.22497564539698,0.2429687243233593,0.2553008419888145,0.14660422935660736,0.2784016876589936,0.273012745520596
T6,0.1615693156179493,0.1642226954669911,0.1008742669208316,0.03754731932313528,0.1709433040078201,0.0,0.2090612039713459,0.2152153987167736,0.15856702171891318,0.217486604968339,0.11605778474325944,0.2585973962171456,0.274922791846819,0.2791646070192783,0.2733485193621868
T7,0.211962798614066,0.163985266846417,0.204592508940335,0.2062409197144842,0.2085893416927899,0.2090612039713459,0.0,0.147001691835328,0.1523462070700717,0.1713514873738763,0.2600515950418423,0.2578636134876698,0.2738668017219549,0.2794490987560294,0.24725719623606207
T8,0.2099191171860304,0.2134250243427458,0.1771347371471821,0.2147163775070751,0.2176438222167879,0.2152153987167736,0.147001691835328,0.0,0.1556684622918707,0.10945280805775333,0.2674546790788829,0.20791973418717238,0.2805351747949935,0.15520215286395386,0.18614833125585262
T9,0.2049990555940313,0.2059022025891159,0.2051643768400392,0.2104448982117443,0.2090847541084508,0.15856702171891318,0.1523462070700717,0.1556684622918707,0.0,0.1877486077963405,0.10994741606756048,0.12963873732056097,0.2770299609205384,0.22215583250027046,0.2782210676068534
T10,0.2113011338720792,0.2170960897241588,0.17899649974759496,0.2183400760083364,0.22497564539698,0.217486604968339,0.1713514873738763,0.10945280805775333,0.1877486077963405,0.0,0.2653535600685099,0.07589711737432636,0.17069943091499784,0.2830979835974594,0.2708027410670582
T11,0.2476423990946812,0.2654342267739652,0.2500918329864087,0.16307938084100632,0.2429687243233593,0.11605778474325944,0.2600515950418423,0.2674546790788829,0.10994741606756048,0.2653535600685099,0.0,0.1729891006515253,0.2778497809047707,0.15169155019011948,0.16179692916041277
T12,0.2413251194367613,0.2498469824947974,0.2480117459929034,0.2528458302400396,0.2553008419888145,0.2585973962171456,0.2578636134876698,0.20791973418717238,0.12963873732056097,0.07589711737432636,0.1729891006515253,0.0,0.1651949864720803,0.2797644871397582,0.2703667240954959
T13,0.2645663313721769,0.14498808354612713,0.13448726305318576,0.2223161616517392,0.14660422935660736,0.274922791846819,0.2738668017219549,0.2805351747949935,0.2770299609205384,0.17069943091499784,0.2778497809047707,0.1651949864720803,0.0,0.2531714389271475,0.2156565607790437
T14,0.2687381103360812,0.2768138314294535,0.2745001234263144,0.2788425637834474,0.2784016876589936,0.2791646070192783,0.2794490987560294,0.15520215286395386,0.22215583250027046,0.2830979835974594,0.15169155019011948,0.2797644871397582,0.2531714389271475,0.0,0.02925430538555508
T15,0.2619664875118558,0.2701096612142376,0.2694709772226304,0.2706669143600222,0.273012745520596,0.2733485193621868,0.24725719623606207,0.18614833125585262,0.2782210676068534,0.2708027410670582,0.16179692916041277,0.2703667240954959,0.2156565607790437,0.02925430538555508,0.0
