,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.09402804719514396,0.09296030774290985,0.11692291075970246,0.16464146561386933,0.1870832550154557,0.2560859436910805,0.2530367930881504,0.24610813448300767,0.2551198170107438,0.30657546353311027,0.29565130848177734,0.33065779082268854,0.33669692939074336,0.3270037460426026
T2,0.09402804719514396,0.0,0.04265535911882649,0.11797903032604493,0.174316758935452,0.1905170797258381,0.2471229342572157,0.2578240056664096,0.24705213126166148,0.2632609340882246,0.314788555139956,0.30861862702419124,0.3327991204979462,0.3495027860692168,0.3396330249754534
T3,0.09296030774290985,0.04265535911882649,0.0,0.1156191215901874,0.17296758955088704,0.1906380243570149,0.2453023778854722,0.25505973931595755,0.2459672124256538,0.2595469424084874,0.3096884522088136,0.3056203279333929,0.33486521322122265,0.34561520374786114,0.3385059855934896
T4,0.11692291075970246,0.11797903032604493,0.1156191215901874,0.0,0.1745922161958257,0.19089651578697642,0.2478212548256,0.26004046514841495,0.25399726973760256,0.2654085503093859,0.3221157509443687,0.31362163583646957,0.3388384227976701,0.3532098740530224,0.34062377208801103
T5,0.16464146561386933,0.174316758935452,0.17296758955088704,0.1745922161958257,0.0,0.19936096153193344,0.2510419779799675,0.2641498719746345,0.2514004358941493,0.27510740060659045,0.32317369310743166,0.3172028094458333,0.34547824247125825,0.35219220853829897,0.344340734655347
T6,0.1870832550154557,0.1905170797258381,0.1906380243570149,0.19089651578697642,0.19936096153193344,0.0,0.2519732857065497,0.2606157788939819,0.2557359554331099,0.26366800470920104,0.3248705654179459,0.323074954434802,0.34737763281356804,0.3536733647180106,0.34506764352361874
T7,0.2560859436910805,0.2471229342572157,0.2453023778854722,0.2478212548256,0.2510419779799675,0.2519732857065497,0.0,0.17009318372689988,0.1769194577201034,0.22568872427838302,0.32611346335145774,0.32181190029388845,0.34563763735164355,0.35446039305430077,0.3483678036494626
T8,0.2530367930881504,0.2578240056664096,0.25505973931595755,0.26004046514841495,0.2641498719746345,0.2606157788939819,0.17009318372689988,0.0,0.18100679621734342,0.224898080691314,0.33749343303301166,0.33114076867148357,0.3562969172046131,0.372986098360094,0.3569992851638981
T9,0.24610813448300767,0.24705213126166148,0.2459672124256538,0.25399726973760256,0.2514004358941493,0.2557359554331099,0.1769194577201034,0.18100679621734342,0.0,0.2233904206593269,0.3314297845271425,0.32823742044691673,0.35080814237245417,0.36622331705539,0.3529929290669195
T10,0.2551198170107438,0.2632609340882246,0.2595469424084874,0.2654085503093859,0.27510740060659045,0.26366800470920104,0.22568872427838302,0.224898080691314,0.2233904206593269,0.0,0.3331867287928752,0.3304317688455181,0.3452591356025233,0.3599515792765222,0.34012788134220495
T11,0.30657546353311027,0.314788555139956,0.3096884522088136,0.3221157509443687,0.32317369310743166,0.3248705654179459,0.32611346335145774,0.33749343303301166,0.3314297845271425,0.3331867287928752,0.0,0.20115802839683064,0.3507012434349901,0.3657810842646216,0.33670274791535626
T12,0.29565130848177734,0.30861862702419124,0.3056203279333929,0.31362163583646957,0.3172028094458333,0.323074954434802,0.32181190029388845,0.33114076867148357,0.32823742044691673,0.3304317688455181,0.20115802839683064,0.0,0.34434095362531625,0.3537484654822259,0.338786404316009
T13,0.33065779082268854,0.3327991204979462,0.33486521322122265,0.3388384227976701,0.34547824247125825,0.34737763281356804,0.34563763735164355,0.3562969172046131,0.35080814237245417,0.3452591356025233,0.3507012434349901,0.34434095362531625,0.0,0.3122155786925403,0.2927319842407785
T14,0.33669692939074336,0.3495027860692168,0.34561520374786114,0.3532098740530224,0.35219220853829897,0.3536733647180106,0.35446039305430077,0.372986098360094,0.36622331705539,0.3599515792765222,0.3657810842646216,0.3537484654822259,0.3122155786925403,0.0,0.28690075435871804
T15,0.3270037460426026,0.3396330249754534,0.3385059855934896,0.34062377208801103,0.344340734655347,0.34506764352361874,0.3483678036494626,0.3569992851638981,0.3529929290669195,0.34012788134220495,0.33670274791535626,0.338786404316009,0.2927319842407785,0.28690075435871804,0.0
