T_label,full_label,species,accession,group
T1,Homo_sapiens_NC_012920,Homo_sapiens,NC_012920,Hominoidea
T2,Pan_troglodytes_NC_001643,Pan_troglodytes,NC_001643,Hominoidea
T3,Pan_paniscus_NC_001644,Pan_paniscus,NC_001644,Hominoidea
T4,Gorilla_gorilla_D38114,Gorilla_gorilla,D38114,Hominoidea
T5,Pongo_abelii_NC_002083,Pongo_abelii,NC_002083,Hominoidea
T6,Hylobates_lar_NC_002082,Hylobates_lar,NC_002082,Hominoidea
T7,Macaca_mulatta_NC_005943,Macaca_mulatta,NC_005943,Old_World_monkeys
T8,Papio_hamadryas_NC_001992,Papio_hamadryas,NC_001992,Old_World_monkeys
T9,Chlorocebus_aethiops_NC_007009,Chlorocebus_aethiops,NC_007009,Old_World_monkeys
T10,Colobus_guereza_NC_006901,Colobus_guereza,NC_006901,Old_World_monkeys
T11,Cebus_albifrons_NC_002763,Cebus_albifrons,NC_002763,New_World_monkeys
T12,Callithrix_jacchus_KM588314,Callithrix_jacchus,KM588314,New_World_monkeys
T13,Tarsius_bancanus_NC_002811,Tarsius_bancanus,NC_002811,Tarsiiformes
T14,Nycticebus_coucang_NC_002765,Nycticebus_coucang,NC_002765,Strepsirrhini
T15,Lemur_catta_NC_004025,Lemur_catta,NC_004025,Strepsirrhini
