,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.23692697851039754,0.23692697851039754,0.23692697851039754,0.23692697851039754,0.23692697851039762,0.2369269785103976,0.2099191171860304,0.2049990555940313,0.2369269785103976,0.2476423990946812,0.23692697851039768,0.2369269785103975,0.2369269785103976,0.2369269785103975
T2,0.23692697851039754,0.0,0.23692697851039754,0.23692697851039743,0.1514616321559074,0.23692697851039768,0.23692697851039754,0.23692697851039762,0.2059022025891159,0.2369269785103976,0.2533063923585599,0.23692697851039773,0.2369269785103977,0.2768138314294535,0.23692697851039754
T3,0.23692697851039754,0.23692697851039754,0.0,0.2369269785103975,0.2369269785103975,0.164294403892944,0.23692697851039762,0.2369269785103976,0.23692697851039757,0.23692697851039754,0.23692697851039735,0.23692697851039762,0.23692697851039746,0.2745001234263144,0.23692697851039746
T4,0.23692697851039754,0.23692697851039743,0.2369269785103975,0.0,0.23692697851039746,0.23692697851039754,0.23692697851039757,0.23692697851039754,0.2369269785103975,0.23692697851039748,0.23692697851039743,0.23692697851039757,0.2697139303482587,0.23692697851039748,0.2706669143600222
T5,0.23692697851039754,0.1514616321559074,0.2369269785103975,0.23692697851039746,0.0,0.23692697851039757,0.2085893416927899,0.23692697851039762,0.2369269785103976,0.23692697851039757,0.2369269785103975,0.2369269785103977,0.23692697851039762,0.23692697851039765,0.23692697851039757
T6,0.23692697851039762,0.23692697851039768,0.164294403892944,0.23692697851039754,0.23692697851039757,0.0,0.23692697851039762,0.2152153987167736,0.2369269785103976,0.23692697851039757,0.23692697851039732,0.2369269785103977,0.23692697851039746,0.23692697851039762,0.2369269785103975
T7,0.2369269785103976,0.23692697851039754,0.23692697851039762,0.23692697851039757,0.2085893416927899,0.23692697851039762,0.0,0.23692697851039762,0.23692697851039765,0.23692697851039762,0.23692697851039762,0.23692697851039776,0.2738668017219549,0.23692697851039757,0.2369269785103976
T8,0.2099191171860304,0.23692697851039762,0.2369269785103976,0.23692697851039754,0.23692697851039762,0.2152153987167736,0.23692697851039762,0.0,0.2369269785103976,0.2369269785103976,0.2369269785103975,0.2369269785103977,0.23692697851039757,0.23692697851039757,0.23692697851039754
T9,0.2049990555940313,0.2059022025891159,0.23692697851039757,0.2369269785103975,0.2369269785103976,0.2369269785103976,0.23692697851039765,0.2369269785103976,0.0,0.2369269785103976,0.2369269785103976,0.23692697851039768,0.2770299609205384,0.2369269785103976,0.2369269785103976
T10,0.2369269785103976,0.2369269785103976,0.23692697851039754,0.23692697851039748,0.23692697851039757,0.23692697851039757,0.23692697851039762,0.2369269785103976,0.2369269785103976,0.0,0.23692697851039757,0.23692697851039773,0.23692697851039754,0.2369269785103976,0.2369269785103976
T11,0.2476423990946812,0.2533063923585599,0.23692697851039735,0.23692697851039743,0.2369269785103975,0.23692697851039732,0.23692697851039762,0.2369269785103975,0.2369269785103976,0.23692697851039757,0.0,0.23692697851039757,0.23692697851039737,0.2869101506789855,0.23692697851039754
T12,0.23692697851039768,0.23692697851039773,0.23692697851039762,0.23692697851039757,0.2369269785103977,0.2369269785103977,0.23692697851039776,0.2369269785103977,0.23692697851039768,0.23692697851039773,0.23692697851039757,0.0,0.23692697851039765,0.2369269785103977,0.23692697851039773
T13,0.2369269785103975,0.2369269785103977,0.23692697851039746,0.2697139303482587,0.23692697851039762,0.23692697851039746,0.2738668017219549,0.23692697851039757,0.2770299609205384,0.23692697851039754,0.23692697851039737,0.23692697851039765,0.0,0.23692697851039757,0.23692697851039754
T14,0.2369269785103976,0.2768138314294535,0.2745001234263144,0.23692697851039748,0.23692697851039765,0.23692697851039762,0.23692697851039757,0.23692697851039757,0.2369269785103976,0.2369269785103976,0.2869101506789855,0.2369269785103977,0.23692697851039757,0.0,0.2369269785103976
T15,0.2369269785103975,0.23692697851039754,0.23692697851039746,0.2706669143600222,0.23692697851039757,0.2369269785103975,0.2369269785103976,0.23692697851039754,0.2369269785103976,0.2369269785103976,0.23692697851039754,0.23692697851039773,0.23692697851039754,0.2369269785103976,0.0
