method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,embedding_dim,full_dim,max_iter,tol,init_method,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,stress_init,stress_final,stress_reduction_percent,best_epoch,epochs_used,convergence_epoch,last_rel_change,n_success,n_failed
MDS-SMACOF,30,0.3,0.3047619047619048,1,55,105,32,73,210,32,True,True,True,,missing_p30_rep01_seed55.csv,MDS_SMACOF_completed_p30_rep01_seed55.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.047249748000012914,0.03604411664087904,0.029236564888591974,0.8692973391566928,0.8251466275659823,0.0,0.0,0.012859866475898403,2.53508793587241e-18,100.0,793,793,793,9.992329948870005e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,2,56,105,32,73,210,32,True,True,True,,missing_p30_rep02_seed56.csv,MDS_SMACOF_completed_p30_rep02_seed56.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04608302199994796,0.061372884393759465,0.0448149056048421,0.4672417859469536,0.47763929618768325,0.0,0.0,0.005738181502518379,6.401245531995044e-15,99.99999999988844,1000,1000,1000,0.0001447601492739967,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,3,57,105,32,73,210,32,True,True,True,,missing_p30_rep03_seed57.csv,MDS_SMACOF_completed_p30_rep03_seed57.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.047710026999993715,0.03723281967961739,0.03172275564981054,0.7562415730718473,0.6473607038123167,0.0,0.0,0.019251360175797906,6.441792694235577e-18,99.99999999999996,1000,1000,1000,1.902437011239022e-07,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,4,58,105,32,73,210,32,True,True,True,,missing_p30_rep04_seed58.csv,MDS_SMACOF_completed_p30_rep04_seed58.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04718597300006877,0.03409694191954015,0.02971082067741964,0.8182500598049688,0.7983870967741934,0.0,0.0,0.021753770312970322,1.1092123691343496e-16,99.99999999999949,1000,1000,1000,2.8131555782287222e-06,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,5,59,105,32,73,210,32,True,True,True,,missing_p30_rep05_seed59.csv,MDS_SMACOF_completed_p30_rep05_seed59.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.030292586000086885,0.034850790138635845,0.027041830961795466,0.7302737458360894,0.6528592375366569,0.0,0.0,0.019869546537649538,2.246142500625363e-18,99.99999999999999,649,649,649,9.623726955750642e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,6,60,105,32,73,210,32,True,True,True,,missing_p30_rep06_seed60.csv,MDS_SMACOF_completed_p30_rep06_seed60.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.035410556999977416,0.033466265304412705,0.027761911524812697,0.8299792665450676,0.6972140762463341,0.0,0.0,0.020378576709151212,2.5967453956218666e-18,99.99999999999999,769,769,769,9.686318959961109e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,7,61,105,32,73,210,32,True,True,True,,missing_p30_rep07_seed61.csv,MDS_SMACOF_completed_p30_rep07_seed61.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.03721160300005977,0.041508726621301124,0.0331059275780239,0.918630413875556,0.8969941348973607,0.0,0.0,0.019521653124438397,2.9277022283439927e-18,99.99999999999999,853,853,853,9.690587272586795e-08,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,8,62,105,32,73,210,32,True,True,True,,missing_p30_rep08_seed62.csv,MDS_SMACOF_completed_p30_rep08_seed62.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04499602699979732,0.03381419644542342,0.0281058960289897,0.7613791679136019,0.720307917888563,0.0,0.0,0.007615284918677171,9.852200635221884e-13,99.99999998706261,1000,1000,1000,0.015509930815877294,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,9,63,105,32,73,210,32,True,True,True,,missing_p30_rep09_seed63.csv,MDS_SMACOF_completed_p30_rep09_seed63.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.04445247599983304,0.04285997334131108,0.03302719070828633,0.8369480996829977,0.813049853372434,0.0,0.0,0.01340727299151124,2.6241871006819374e-15,99.99999999998043,1000,1000,1000,4.864316307009968e-05,30,0
MDS-SMACOF,30,0.3,0.3047619047619048,10,64,105,32,73,210,32,True,True,True,,missing_p30_rep10_seed64.csv,MDS_SMACOF_completed_p30_rep10_seed64.csv,14,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.030706626999972286,0.06375561902144145,0.04618455238176356,0.5087214453373884,0.6579912023460409,0.0,0.0,0.002506227737484248,2.074092724598452e-18,99.99999999999991,652,652,652,9.816654763184378e-08,30,0
