method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,__metadata_scope,__metadata_source,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.13282701690623025,scipy.optimize.nnls,3.17394,1.4142655654908578,1.7596744345091422,0.5544132638011878,0.3047619047619048,105,32,73,210,missing_p30_rep01_seed55.csv,0.0472497480000129,0.036044116640879,0.0292365648885919,0.8692973391566928,0.8251466275659823,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.06586962198309256,0.09232657374369768,-0.06517312720404231,0.23146242500387482,0.6875313865085617,0.6188368260162176,0.6315890640297087,0.5603381896140126,0.06438836599254023,0.09313463739495904,-0.06416317305408546,0.23146242500387482,0.8247297368344979,0.9249999999999998,0.5364200726758234,0.4369005622325326,0.06772119197128294,0.09130643810789235,-0.06643556989148834,0.21305585396104634,0.09855760404881218,0.04203158810030077,0.8953654314414439,0.8436062157097873,0.40556156451871306,0.4591557862718078,-0.40555266192259204,0.7411401102006577,0.9116735411182775,0.853856520837653,0.6726966519835519,0.640455711067736,0.4062069502196362,0.4593885048085666,-0.40555266192259204,0.7593259415278816,0.8727438550714126,0.8413953970557744,0.6730376015810802,0.6414748928496393
MDS-SMACOF,30,2,56,MDS_SMACOF_completed_p30_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.20195542776115605,scipy.optimize.nnls,3.17394,1.5417403821866853,1.6321996178133147,0.5142503065002221,0.3047619047619048,105,32,73,210,missing_p30_rep02_seed56.csv,0.0460830219999479,0.0613728843937594,0.0448149056048421,0.4672417859469536,0.4776392961876832,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.0733656176199419,0.09316146932136454,-0.06045183769678943,0.22281379758995107,0.583945562259495,0.6090410421646603,0.637300430704324,0.6241049533823675,0.0764562710419268,0.09693588358484867,-0.05321146718025235,0.22281379758995107,0.7278509171430911,0.6035714285714285,0.5583138043150219,0.5187860771042201,0.06950230084246077,0.08821664619441627,-0.06950230084246077,0.18598891080178848,0.7901859643496576,0.7042428152039988,0.8650664412825597,0.8657935764286981,0.4074883243192738,0.45912684624863714,-0.40123617028331804,0.7245714337951299,0.9431031696902357,0.9315467551316609,0.6726542527428643,0.643498416358582,0.40894346495747225,0.4596861648378502,-0.40123617028331804,0.7444906211978439,0.8082796874117174,0.8216048102840555,0.6734736951926934,0.6457963489381816
MDS-SMACOF,30,3,57,MDS_SMACOF_completed_p30_rep03_seed57.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.12415442997313611,scipy.optimize.nnls,3.17394,1.4472319090329702,1.7267080909670298,0.5440266958313735,0.3047619047619048,105,32,73,210,missing_p30_rep03_seed57.csv,0.0477100269999937,0.0372328196796173,0.0317227556498105,0.7562415730718473,0.6473607038123167,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.06507114260160447,0.09253633849235622,-0.06395215151729741,0.2213440648974325,0.6556852844613402,0.6145389051330473,0.6330240259902755,0.5535457035241123,0.06248081284676024,0.09218980964716182,-0.06248081284676024,0.2213440648974325,0.8012572624206108,0.8607142857142854,0.5309782243655088,0.4239570587124049,0.06830905479515977,0.09296768317572468,-0.06579132485546887,0.2182014402982595,-0.11700277915414042,-0.07042428152039987,0.911655864380379,0.8509292517900957,0.4037946075658304,0.457352520059092,-0.4037946075658304,0.7186429241725822,0.9053581132235861,0.9264461953141199,0.6700547357098214,0.6376653636317616,0.4038589097554507,0.4577443696891041,-0.40379460756583047,0.7499268816843347,0.8654765292049346,0.865954799917064,0.6706288239432083,0.6377669085220555
MDS-SMACOF,30,4,58,MDS_SMACOF_completed_p30_rep04_seed58.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.1348590632060686,scipy.optimize.nnls,3.17394,1.3876597182802026,1.7862802817197974,0.5627958567962209,0.3047619047619048,105,32,73,210,missing_p30_rep04_seed58.csv,0.0471859730000687,0.0340969419195401,0.0297108206774196,0.8182500598049688,0.7983870967741934,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.06615852895258507,0.09228976616974657,-0.06615852895258507,0.23097222704371578,0.71062470655159,0.6373626373626373,0.6313372702043956,0.5627958567962208,0.06667270742901497,0.09308084499645573,-0.06667270742901497,0.23097222704371578,0.8623540755353378,0.95,0.5361102489290235,0.45240072352009364,0.06551580585704771,0.09129127823993842,-0.06551580585704771,0.2111813993372827,-0.021040779217461423,0.02097902097902098,0.8952167713689183,0.8161336125282334,0.40888930154128744,0.461179220665278,-0.40888930154128744,0.7344818796071101,0.9162932259888857,0.9249533485382542,0.6756611306696377,0.6457108150211112,0.40888930154128744,0.46136697192395454,-0.40888930154128744,0.7628643712753748,0.8811068797922084,0.867509848641924,0.6759361999312993,0.6457108150211112
MDS-SMACOF,30,5,59,MDS_SMACOF_completed_p30_rep05_seed59.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.14342186443914282,scipy.optimize.nnls,3.17394,1.4209094259898536,1.7530305740101464,0.552320010463382,0.3047619047619048,105,32,73,210,missing_p30_rep05_seed59.csv,0.0302925860000868,0.0348507901386358,0.0270418309617954,0.7302737458360894,0.6528592375366569,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.0649270582966721,0.0901930908101546,-0.0649270582966721,0.22215348558203918,0.7352815969521628,0.7055411469775426,0.6169943007402088,0.552320010463382,0.06404435365669542,0.09232802306809679,-0.06404435365669542,0.22215348558203918,0.8530057869925157,0.8142857142857142,0.531774281078419,0.4345663022986349,0.06603043909664295,0.08745116272909709,-0.06603043909664295,0.18556262900549403,0.5323801849467495,0.4203158810030078,0.8575599888637618,0.8225444240791805,0.4054033690929856,0.45806411592318574,-0.4054033690929856,0.7255784389984062,0.9199909919601846,0.9585942359527265,0.6710972754526568,0.6402058916254223,0.4054033690929856,0.45832574781610275,-0.4054033690929856,0.7625356011753524,0.878271162194195,0.8704126062616628,0.6714805852217582,0.6402058916254223
MDS-SMACOF,30,6,60,MDS_SMACOF_completed_p30_rep06_seed60.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.13748748976712216,scipy.optimize.nnls,3.17394,1.3917732471494637,1.7821667528505363,0.5614998244612489,0.3047619047619048,105,32,73,210,missing_p30_rep06_seed60.csv,0.0354105569999774,0.0334662653044127,0.0277619115248126,0.8299792665450676,0.6972140762463341,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.0660799883460544,0.09044312396499499,-0.06600617603150136,0.22971685329792957,0.7646370410396878,0.6612730957824998,0.6187047314411294,0.5621277293658572,0.06733455145079308,0.09345241583849799,-0.06733455145079308,0.22971685329792957,0.9031334877722924,0.9357142857142854,0.5382503555925333,0.45689159731022205,0.06451178446513105,0.08653446989880577,-0.06434570675738668,0.18266398036357612,0.5276071094548967,-0.05954474980875943,0.8485707534001772,0.8036264687188678,0.4072097630885133,0.459819008189106,-0.4072097630885133,0.7404572687089364,0.9192763566011196,0.8911569562512959,0.6736683203728608,0.6430585173476037,0.40723882286740304,0.46002990939379046,-0.40720976308851337,0.7614597540609922,0.8813340319491831,0.850611652498445,0.6739773059906672,0.643104408040856
MDS-SMACOF,30,7,61,MDS_SMACOF_completed_p30_rep07_seed61.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.15119949438993158,scipy.optimize.nnls,3.17394,1.4651372356550163,1.7088027643449837,0.5383853394660844,0.3047619047619048,105,32,73,210,missing_p30_rep07_seed61.csv,0.0372116030000597,0.0415087266213011,0.0331059275780239,0.918630413875556,0.8969941348973607,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.07080439792136412,0.09178228649391938,-0.06328899127203644,0.2219092443819184,0.6794494321139948,0.7140894603117577,0.6278656953319264,0.6023172283902125,0.07358577675339435,0.09539298475283328,-0.06005804478460453,0.2219092443819184,0.9351319147176888,0.932142857142857,0.549427294132013,0.4993086365881741,0.06732767438132632,0.0870585798847472,-0.06732767438132632,0.18723592238687176,0.7840304519981812,0.7460606887803388,0.8537102591503709,0.8387041477571248,0.40504186789054347,0.45703534331380086,-0.40249946828041305,0.7223482284799965,0.9702620228603874,0.9666390213560025,0.6695900486885017,0.6396350152655368,0.40656113506756314,0.45737156237488097,-0.40249946828041305,0.7568549476763586,0.9051194880808098,0.9061268919759486,0.670082634088673,0.6420342153507684
MDS-SMACOF,30,8,62,MDS_SMACOF_completed_p30_rep08_seed62.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.1467387772603189,scipy.optimize.nnls,3.17394,1.3821054650829578,1.7918345349170421,0.56454581211902,0.3047619047619048,105,32,73,210,missing_p30_rep08_seed62.csv,0.0449960269997973,0.0338141964454234,0.0281058960289897,0.7613791679136019,0.720307917888563,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.0663642420339645,0.09124215211459076,-0.0663642420339645,0.21919263063862282,0.7456332166185249,0.7234432234432234,0.624170735655014,0.5645458121190198,0.06668245360623488,0.09311623786494526,-0.06668245360623488,0.21919263063862282,0.9022509037061002,0.8714285714285712,0.5363140983841607,0.4524668551921956,0.06596647756862654,0.08884397015542715,-0.06596647756862654,0.19632615543501866,0.4050204065139633,0.49650349650349657,0.8712180796625428,0.821747652182079,0.40870495269183443,0.46068064623802024,-0.40870495269183443,0.731947018255168,0.928851852652791,0.9405245697698528,0.6749306828390569,0.6454196945506567,0.40870495269183454,0.460944018234668,-0.40870495269183454,0.718501025992111,0.8855906513613979,0.8698009537632179,0.6753165419867978,0.6454196945506568
MDS-SMACOF,30,9,63,MDS_SMACOF_completed_p30_rep09_seed63.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.1599371459410043,scipy.optimize.nnls,3.17394,1.4507017289992323,1.7232382710007677,0.5429334741679955,0.3047619047619048,105,32,73,210,missing_p30_rep09_seed63.csv,0.044452475999833,0.042859973341311,0.0330271907082863,0.8369480996829977,0.813049853372434,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.07039133559451738,0.0924627391236835,-0.0638236396666951,0.22152274803449476,0.6654313039730383,0.6927307340167751,0.6325205462824481,0.5988033992614761,0.07133115739108208,0.09470601711895134,-0.05950930472100198,0.22152274803449476,0.9332559073857537,0.8428571428571429,0.5454706219593372,0.48401015134429154,0.06921655834881152,0.08957967786224401,-0.06921655834881152,0.1968573118860359,0.6683017793697361,0.7746670967243986,0.8784325462651112,0.8622340681460154,0.4078736468834045,0.45965501988192925,-0.4058186413586197,0.7333094701107775,0.9561717316789008,0.9310180385652084,0.6734280655650146,0.6441069109951327,0.40939215631860437,0.46006848516095933,-0.4058186413586197,0.7548060612550351,0.8875637672736414,0.8732738959154053,0.6740338222977639,0.6465049144677698
MDS-SMACOF,30,10,64,MDS_SMACOF_completed_p30_rep10_seed64.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.18137523069379224,scipy.optimize.nnls,3.17394,1.5588684312105434,1.6150715687894566,0.5088538437366354,0.3047619047619048,105,32,73,210,missing_p30_rep10_seed64.csv,0.0307066269999722,0.0637556190214414,0.0461845523817635,0.5087214453373884,0.6579912023460409,0.0,0.0,method_specific,mds_smacof_outputs/tables/mds_smacof_all_masks_detailed.csv,0.07428851733929188,0.09473849684413613,-0.05981746551072059,0.2228971361786286,0.53399813542583,0.5982881688189504,0.6480885851507504,0.6319558555489017,0.07618052548762284,0.09643970563282259,-0.05013263219619452,0.2228971361786286,0.6185057807122524,0.6178571428571428,0.5554560081123345,0.5169150343179739,0.0719235071538782,0.09256803031534452,-0.0719235071538782,0.2178599366799916,0.591776002398621,0.7106115081357965,0.9077368049670851,0.895954662410375,0.40750446967857507,0.45809356245788546,-0.4000509916012963,0.7197265204916073,0.9361479544474435,0.9507360563964338,0.671140416769607,0.6435239128268777,0.4098710674931966,0.45872726966668964,-0.4000509916012963,0.7515054719727652,0.8170154375566117,0.8739062823968484,0.6720688439623943,0.6472612025968624
