method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,210,32,0.036044116640879,0.0292365648885919,0.8692973391566928,0.8251466275659823,0.0472497480000129,True,True,True,793,793,0.0,0.0,missing_p30_rep01_seed55.csv,MDS_SMACOF_completed_p30_rep01_seed55.csv,
MDS-SMACOF,30,2,56,MDS_SMACOF_completed_p30_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,210,32,0.0613728843937594,0.0448149056048421,0.4672417859469536,0.4776392961876832,0.0460830219999479,True,True,True,1000,1000,0.0,0.0,missing_p30_rep02_seed56.csv,MDS_SMACOF_completed_p30_rep02_seed56.csv,
MDS-SMACOF,30,3,57,MDS_SMACOF_completed_p30_rep03_seed57.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,210,32,0.0372328196796173,0.0317227556498105,0.7562415730718473,0.6473607038123167,0.0477100269999937,True,True,True,1000,1000,0.0,0.0,missing_p30_rep03_seed57.csv,MDS_SMACOF_completed_p30_rep03_seed57.csv,
MDS-SMACOF,30,4,58,MDS_SMACOF_completed_p30_rep04_seed58.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,210,32,0.0340969419195401,0.0297108206774196,0.8182500598049688,0.7983870967741934,0.0471859730000687,True,True,True,1000,1000,0.0,0.0,missing_p30_rep04_seed58.csv,MDS_SMACOF_completed_p30_rep04_seed58.csv,
MDS-SMACOF,30,5,59,MDS_SMACOF_completed_p30_rep05_seed59.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,210,32,0.0348507901386358,0.0270418309617954,0.7302737458360894,0.6528592375366569,0.0302925860000868,True,True,True,649,649,0.0,0.0,missing_p30_rep05_seed59.csv,MDS_SMACOF_completed_p30_rep05_seed59.csv,
MDS-SMACOF,30,6,60,MDS_SMACOF_completed_p30_rep06_seed60.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,210,32,0.0334662653044127,0.0277619115248126,0.8299792665450676,0.6972140762463341,0.0354105569999774,True,True,True,769,769,0.0,0.0,missing_p30_rep06_seed60.csv,MDS_SMACOF_completed_p30_rep06_seed60.csv,
MDS-SMACOF,30,7,61,MDS_SMACOF_completed_p30_rep07_seed61.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,210,32,0.0415087266213011,0.0331059275780239,0.918630413875556,0.8969941348973607,0.0372116030000597,True,True,True,853,853,0.0,0.0,missing_p30_rep07_seed61.csv,MDS_SMACOF_completed_p30_rep07_seed61.csv,
MDS-SMACOF,30,8,62,MDS_SMACOF_completed_p30_rep08_seed62.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,210,32,0.0338141964454234,0.0281058960289897,0.7613791679136019,0.720307917888563,0.0449960269997973,True,True,True,1000,1000,0.0,0.0,missing_p30_rep08_seed62.csv,MDS_SMACOF_completed_p30_rep08_seed62.csv,
MDS-SMACOF,30,9,63,MDS_SMACOF_completed_p30_rep09_seed63.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,210,32,0.042859973341311,0.0330271907082863,0.8369480996829977,0.813049853372434,0.044452475999833,True,True,True,1000,1000,0.0,0.0,missing_p30_rep09_seed63.csv,MDS_SMACOF_completed_p30_rep09_seed63.csv,
MDS-SMACOF,30,10,64,MDS_SMACOF_completed_p30_rep10_seed64.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,210,32,0.0637556190214414,0.0461845523817635,0.5087214453373884,0.6579912023460409,0.0307066269999722,True,True,True,652,652,0.0,0.0,missing_p30_rep10_seed64.csv,MDS_SMACOF_completed_p30_rep10_seed64.csv,
MDS-SMACOF,30,11,65,MDS_SMACOF_completed_p30_rep11_seed65.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep11_seed65.csv,0.3047619047619048,105,32,73,210,32,0.0419325129387706,0.0361497582250255,0.4641538100689897,0.3643695014662756,0.0441680590001851,True,True,True,973,973,0.0,0.0,missing_p30_rep11_seed65.csv,MDS_SMACOF_completed_p30_rep11_seed65.csv,
