,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.0862953692115143,0.226056724473204,0.22198788812422512,0.1441001564945226,0.1615693156179493,0.211962798614066,0.2099191171860304,0.2049990555940313,0.2113011338720792,0.2423704302235413,0.2382507800586297,0.2645663313721769,0.2687381103360812,0.2619664875118558
T2,0.0862953692115143,0.0,0.23366777115253876,0.23216946877263847,0.1514616321559074,0.20083213202060493,0.2058362096015061,0.22091905170684484,0.2059022025891159,0.2170960897241588,0.2533063923585599,0.2498469824947974,0.2411869241912022,0.24756671067581643,0.2467621224091644
T3,0.226056724473204,0.23366777115253876,0.0,0.2243621318021562,0.1504931206623645,0.164294403892944,0.2287218507752108,0.23365686954628756,0.23133599290182016,0.2146752302472128,0.2500918329864087,0.22946124277675195,0.2675233644859813,0.2745001234263144,0.2694709772226304
T4,0.22198788812422512,0.23216946877263847,0.2243621318021562,0.0,0.22922112884306606,0.164458348668875,0.2062409197144842,0.2147163775070751,0.2104448982117443,0.2183400760083364,0.2576197836166924,0.23238689845665084,0.2697139303482587,0.2788425637834474,0.2706669143600222
T5,0.1441001564945226,0.1514616321559074,0.1504931206623645,0.22922112884306606,0.0,0.1709433040078201,0.23408826654795561,0.2176438222167879,0.2090847541084508,0.23704482018611903,0.23442179916105035,0.2553008419888145,0.2738853503184713,0.2784016876589936,0.273012745520596
T6,0.1615693156179493,0.20083213202060493,0.164294403892944,0.164458348668875,0.1709433040078201,0.0,0.2090612039713459,0.2152153987167736,0.211707557031298,0.217486604968339,0.2595002762600528,0.22834190219160716,0.274922791846819,0.24330245295067346,0.24339287461533265
T7,0.211962798614066,0.2058362096015061,0.2287218507752108,0.2062409197144842,0.23408826654795561,0.2090612039713459,0.0,0.147001691835328,0.1523462070700717,0.1890335503254882,0.2600515950418423,0.23499842768975523,0.2738668017219549,0.2794490987560294,0.2751771255060729
T8,0.2099191171860304,0.22091905170684484,0.23365686954628756,0.2147163775070751,0.2176438222167879,0.2152153987167736,0.147001691835328,0.0,0.1556684622918707,0.1890169902912621,0.231073517646664,0.2641624862351646,0.2805351747949935,0.2905401225020108,0.23502482548986892
T9,0.2049990555940313,0.2059022025891159,0.23133599290182016,0.2104448982117443,0.2090847541084508,0.211707557031298,0.1523462070700717,0.1556684622918707,0.0,0.1877486077963405,0.232689938702561,0.2621891159812854,0.2770299609205384,0.286441835910813,0.2347135909291215
T10,0.2113011338720792,0.2170960897241588,0.2146752302472128,0.2183400760083364,0.23704482018611903,0.217486604968339,0.1890335503254882,0.1890169902912621,0.1877486077963405,0.0,0.2653535600685099,0.2638659573167003,0.2741588238912468,0.2830979835974594,0.2708027410670582
T11,0.2423704302235413,0.2533063923585599,0.2500918329864087,0.2576197836166924,0.23442179916105035,0.2595002762600528,0.2600515950418423,0.231073517646664,0.232689938702561,0.2653535600685099,0.0,0.2312380960089468,0.2778497809047707,0.2369345280272348,0.2690508432845008
T12,0.2382507800586297,0.2498469824947974,0.22946124277675195,0.23238689845665084,0.2553008419888145,0.22834190219160716,0.23499842768975523,0.2641624862351646,0.2621891159812854,0.2638659573167003,0.2312380960089468,0.0,0.2738499536894103,0.2797644871397582,0.2703667240954959
T13,0.2645663313721769,0.2411869241912022,0.2675233644859813,0.2697139303482587,0.2738853503184713,0.274922791846819,0.2738668017219549,0.2805351747949935,0.2770299609205384,0.2741588238912468,0.2778497809047707,0.2738499536894103,0.0,0.23512034313333866,0.2400263173634786
T14,0.2687381103360812,0.24756671067581643,0.2745001234263144,0.2788425637834474,0.2784016876589936,0.24330245295067346,0.2794490987560294,0.2905401225020108,0.286441835910813,0.2830979835974594,0.2369345280272348,0.2797644871397582,0.23512034313333866,0.0,0.2358717917821424
T15,0.2619664875118558,0.2467621224091644,0.2694709772226304,0.2706669143600222,0.273012745520596,0.24339287461533265,0.2751771255060729,0.23502482548986892,0.2347135909291215,0.2708027410670582,0.2690508432845008,0.2703667240954959,0.2400263173634786,0.2358717917821424,0.0
