method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep01_seed55.csv,True,,MDS-SMACOF_NJ_p30_rep01_seed55.treefile,0.3047619047619048,105,32,73,210,32,0.036044116640879,0.0292365648885919,0.8692973391566928,0.8251466275659823,0.0472497480000129,True,True,True,793,793,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T13|T15;T1|T2|T3|T4|T6,T14|T15;T1|T2|T3|T4|T5,0.4059497898994382,0.46011942215984114,0.882058296923968,0.795365954799917,0.4062069502196362,0.4593885048085666,0.8727438550714126,0.8413953970557744,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,2,56,MDS_SMACOF_completed_p30_rep02_seed56.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep02_seed56.csv,True,,MDS-SMACOF_NJ_p30_rep02_seed56.treefile,0.3047619047619048,105,32,73,210,32,0.0613728843937594,0.0448149056048421,0.4672417859469536,0.4776392961876832,0.0460830219999479,True,True,True,1000,1000,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T1|T3;T10|T9;T2|T6;T1|T3|T4;T1|T3|T4|T5;T11|T12|T13|T14|T15|T2|T6,T2|T3;T1|T2|T3;T7|T8|T9;T1|T2|T3|T4;T1|T2|T3|T4|T5;T1|T2|T3|T4|T5|T6,0.40682946924162633,0.4588737133902459,0.8900394226010363,0.9128136014928468,0.40894346495747225,0.4596861648378502,0.8082796874117169,0.8216048102840555,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,3,57,MDS_SMACOF_completed_p30_rep03_seed57.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep03_seed57.csv,True,,MDS-SMACOF_NJ_p30_rep03_seed57.treefile,0.3047619047619048,105,32,73,210,32,0.0372328196796173,0.0317227556498105,0.7562415730718473,0.6473607038123167,0.0477100269999937,True,True,True,1000,1000,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T2|T3|T4;T10|T11|T12|T13|T14|T15;T1|T2|T3|T4|T5|T6|T9,T1|T2|T3;T7|T8|T9;T10|T7|T8|T9,0.403050226680807,0.4566929530461589,0.8928178163615854,0.898621190130624,0.4038589097554507,0.4577443696891041,0.8654765292049346,0.865954799917064,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,4,58,MDS_SMACOF_completed_p30_rep04_seed58.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep04_seed58.csv,True,,MDS-SMACOF_NJ_p30_rep04_seed58.treefile,0.3047619047619048,105,32,73,210,32,0.0340969419195401,0.0297108206774196,0.8182500598049688,0.7983870967741934,0.0471859730000687,True,True,True,1000,1000,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.4095662449425539,0.46260477110498205,0.9030203388087227,0.9061268919759486,0.40888930154128744,0.46136697192395454,0.8811068797922084,0.867509848641924,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,5,59,MDS_SMACOF_completed_p30_rep05_seed59.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep05_seed59.csv,True,,MDS-SMACOF_NJ_p30_rep05_seed59.treefile,0.3047619047619048,105,32,73,210,32,0.0348507901386358,0.0270418309617954,0.7302737458360894,0.6528592375366569,0.0302925860000868,True,True,True,649,649,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T10|T7;T8|T9,T7|T8;T7|T8|T9,0.4049927741045439,0.4581067073256392,0.8995556448104123,0.8967136636947958,0.4054033690929856,0.45832574781610275,0.878271162194195,0.8704126062616628,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,6,60,MDS_SMACOF_completed_p30_rep06_seed60.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep06_seed60.csv,True,,MDS-SMACOF_NJ_p30_rep06_seed60.treefile,0.3047619047619048,105,32,73,210,32,0.0334662653044127,0.0277619115248126,0.8299792665450676,0.6972140762463341,0.0354105569999774,True,True,True,769,769,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T10|T9;T13|T15,T14|T15;T7|T8|T9,0.40713021740428545,0.45995749259466434,0.9124207338443886,0.8761766535351441,0.4072388228674031,0.46002990939379046,0.8813340319491831,0.850611652498445,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,7,61,MDS_SMACOF_completed_p30_rep07_seed61.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep07_seed61.csv,True,,MDS-SMACOF_NJ_p30_rep07_seed61.treefile,0.3047619047619048,105,32,73,210,32,0.0415087266213011,0.0331059275780239,0.918630413875556,0.8969941348973607,0.0372116030000597,True,True,True,853,853,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T2|T4;T3|T5;T1|T2|T4,T2|T3;T1|T2|T3;T1|T2|T3|T4,0.40640037647185534,0.45790344972967245,0.9575822712477186,0.9528301886792452,0.40656113506756314,0.45737156237488097,0.9051194880808098,0.9061268919759486,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,8,62,MDS_SMACOF_completed_p30_rep08_seed62.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep08_seed62.csv,True,,MDS-SMACOF_NJ_p30_rep08_seed62.treefile,0.3047619047619048,105,32,73,210,32,0.0338141964454234,0.0281058960289897,0.7613791679136019,0.720307917888563,0.0449960269997973,True,True,True,1000,1000,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T8|T9;T11|T12|T13;T1|T2|T3|T4|T6,T7|T8;T13|T14|T15;T1|T2|T3|T4|T5,0.40876461020817123,0.4611762200397277,0.9079047609324706,0.8993987144930541,0.40870495269183454,0.460944018234668,0.8855906513613979,0.8698009537632179,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,9,63,MDS_SMACOF_completed_p30_rep09_seed63.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep09_seed63.csv,True,,MDS-SMACOF_NJ_p30_rep09_seed63.treefile,0.3047619047619048,105,32,73,210,32,0.042859973341311,0.0330271907082863,0.8369480996829977,0.813049853372434,0.044452475999833,True,True,True,1000,1000,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T2;T10|T8;T7|T9;T1|T2|T4,T2|T3;T7|T8;T1|T2|T3;T7|T8|T9,0.40758449909633787,0.45883864477487246,0.9390307026226948,0.9276383993365125,0.40939215631860426,0.46006848516095933,0.8875637672736413,0.8732738959154053,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MDS-SMACOF,30,10,64,MDS_SMACOF_completed_p30_rep10_seed64.csv,mds_smacof_outputs/completed_matrices/MDS_SMACOF_completed_p30_rep10_seed64.csv,True,,MDS-SMACOF_NJ_p30_rep10_seed64.treefile,0.3047619047619048,105,32,73,210,32,0.0637556190214414,0.0461845523817635,0.5087214453373884,0.6579912023460409,0.0307066269999722,True,True,True,652,652,0.0,0.0,10.0,0.4166666666666667,7.0,12.0,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,T1|T2;T13|T14;T3|T5;T4|T6;T1|T2|T3|T5,T14|T15;T2|T3;T1|T2|T3;T1|T2|T3|T4;T1|T2|T3|T4|T5,0.4076590420810646,0.45783280218943223,0.8983737976664903,0.9404105328633631,0.4098710674931966,0.45872726966668964,0.8170154375566113,0.8739062823968484,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
