method,pct_missing,replicate,mask_seed,file,path,success,error_message,n_taxa,n_pairs,n_edges,n_terminal_edges,n_internal_edges,nnls_rnorm,branch_fit_solver,tree_length_ref,tree_length_hat,tree_length_abs_error,tree_length_rel_error,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,__metadata_scope,__metadata_source,edge_BL_MAE,edge_BL_RMSE,edge_BL_Bias,edge_BL_MaxAE,edge_BL_Pearson,edge_BL_Spearman,edge_BL_rel_RMSE,edge_BL_rel_MAE,terminal_BL_MAE,terminal_BL_RMSE,terminal_BL_Bias,terminal_BL_MaxAE,terminal_BL_Pearson,terminal_BL_Spearman,terminal_BL_rel_RMSE,terminal_BL_rel_MAE,internal_BL_MAE,internal_BL_RMSE,internal_BL_Bias,internal_BL_MaxAE,internal_BL_Pearson,internal_BL_Spearman,internal_BL_rel_RMSE,internal_BL_rel_MAE,fit_pat_MAE,fit_pat_RMSE,fit_pat_Bias,fit_pat_MaxAE,fit_pat_Pearson,fit_pat_Spearman,fit_pat_rel_RMSE,fit_pat_rel_MAE,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Bias,input_vs_ML_pat_MaxAE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,input_vs_ML_pat_rel_RMSE,input_vs_ML_pat_rel_MAE
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep01_seed55.csv,True,,15,105,27,15,12,0.0252332190585835,scipy.optimize.nnls,3.17394,1.40703524585602,1.76690475414398,0.5566912903659111,0.3047619047619048,105,32,73,27,missing_p30_rep01_seed55.csv,13.973594814999956,0.0151942592009543,0.0075048322499008,0.9581893842859672,0.9626099706744868,175.65836075827397,45.113831198934406,74.31728782837943,45.113831198934406,0.0189881355766819,0.0991512773602954,0.9650965183257608,0.0,0.0,0.0016036923159682,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.0654409168201474,0.09142156737993137,-0.0654409168201474,0.22475628687765792,0.7109661039349636,0.6422466422466423,0.6253980823972823,0.556691290365911,0.06497711971650391,0.09097845166207284,-0.06497711971650391,0.22475628687765792,0.8621611854043684,0.932142857142857,0.524001263305981,0.4408954894068925,0.06602066319970178,0.0919724598802399,-0.06602066319970178,0.22074842662660232,-0.10598606580599522,0.1958041958041958,0.9018965467045614,0.8224226452506683,0.4043225681686695,0.45356741791010485,-0.4043225681686695,0.7175598367612888,0.9497607391446873,0.9625958946713663,0.6645092855180382,0.6384991097578482,0.4043225681686695,0.4535741025954827,-0.4043225681686695,0.7211815304577815,0.948717822243125,0.9565312046444121,0.6645190790687407,0.6384991097578482
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep02_seed56.csv,True,,15,105,27,15,12,0.0748875913392049,scipy.optimize.nnls,3.17394,1.4394762454695094,1.7344637545304906,0.5464702403103053,0.3047619047619048,105,32,73,27,missing_p30_rep02_seed56.csv,13.745315385999902,0.0278198296034337,0.0124031812249322,0.9283287161999372,0.9541788856304986,119.95054585020549,38.73991962778136,67.7034236458083,38.73991962778136,0.0172927794370142,0.0851426805006183,0.8287427726571512,0.0,0.0,0.0014437745070407,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.07113564160851157,0.09124706358378337,-0.0642393983159441,0.22197186874724947,0.7182663177985595,0.7611051836499411,0.6242043341099831,0.605135044591206,0.07482409345525408,0.09623451551351206,-0.06241085552863264,0.22197186874724947,0.9583333808324286,0.9607142857142855,0.5542741911021265,0.5077111058064041,0.06652507680008345,0.0846002801906783,-0.06652507680008345,0.18303343293006902,0.9147671620439752,0.9422080999150758,0.8296037819752186,0.8287061502538138,0.4052087329384277,0.4540294108514751,-0.4029847601974882,0.7123278081343466,0.984799501062558,0.9768194070080861,0.6651861388087769,0.6398985256231365,0.40621571421578545,0.45413861159160135,-0.40298476019748825,0.7147709012439706,0.9709240804357869,0.9765913331951067,0.6653461258425318,0.6414887327986795
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep03_seed57.csv,True,,15,105,27,15,12,0.01856153690213901,scipy.optimize.nnls,3.17394,1.434082542494289,1.739857457505711,0.5481696117461927,0.3047619047619048,105,32,73,27,missing_p30_rep03_seed57.csv,14.640269453999965,0.0208517915307657,0.0109335679679516,0.9332537550217704,0.9505131964809382,173.99044124464842,37.89701261612865,78.21891113958291,37.89701261612865,0.0167269003302343,0.0832901376178651,0.810710905254198,0.0,0.0,0.0008870638913186,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.06489689057953543,0.09195736617691254,-0.06443916509280412,0.22471083014524362,0.6767054234474894,0.6275946275946276,0.6290633831549277,0.5520633804191184,0.06313374129399571,0.09150664884786645,-0.06313374129399571,0.2223855983237792,0.810770767061396,0.8892857142857141,0.5270434781115106,0.4283874367985306,0.06710082718646009,0.09251767510983956,-0.06607094484131462,0.22471083014524362,-0.11916802439336448,-0.1398601398601399,0.9072430138255557,0.8358783011050659,0.4022733451681261,0.45240615909496024,-0.4022733451681261,0.7121651487916834,0.9371557250471366,0.9640369064897367,0.6628079568178664,0.6352630127290114,0.4022733451681261,0.4524097855168043,-0.4022733451681261,0.7147709012439706,0.9365831738943367,0.9636636947957703,0.66281326978986,0.6352630127290114
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep04_seed58.csv,True,,15,105,27,15,12,0.023951044810766504,scipy.optimize.nnls,3.17394,1.3977469847469868,1.7761930152530132,0.5596177039430529,0.3047619047619048,105,32,73,27,missing_p30_rep04_seed58.csv,15.869215703000007,0.0145328695963493,0.0063581405705621,0.9543893292815104,0.9640762463343108,156.62081995865333,39.04728102852224,75.06890779985035,39.04728102852224,0.0170692922075969,0.0858182000626862,0.8353179938219137,0.0,0.0,0.0017305041333033,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.06578492649085234,0.09187974703295514,-0.06578492649085234,0.22377595889414542,0.7088545940986682,0.6807081807081806,0.6285324049057085,0.5596177039430529,0.06565710696673527,0.09249571774838174,-0.06565710696673527,0.22377595889414542,0.8425136356303947,0.907142857142857,0.5327401386272526,0.4455094721871272,0.06594470089599869,0.0911039272268448,-0.06594470089599869,0.22170780955842628,0.06155879817676255,0.21678321678321683,0.8933795775834007,0.8214763791012075,0.40444329752670205,0.45378918069579177,-0.40444329752670205,0.7152055156713558,0.9511646259151477,0.9746527057847811,0.664834184142702,0.6386897634430346,0.40444329752670205,0.45379520036482696,-0.40444329752670205,0.7155610082808641,0.9502100229590439,0.9678544677994039,0.6648430033960515,0.6386897634430346
MW-proj,30,5,59,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep05_seed59.csv,True,,15,105,27,15,12,0.0397777203225389,scipy.optimize.nnls,3.17394,1.3966959336160583,1.7772440663839417,0.5599488542265896,0.3047619047619048,105,32,73,27,missing_p30_rep05_seed59.csv,15.071723617999965,0.0115285884102965,0.0053874445794814,0.9737301251380684,0.9758064516129032,151.30179422090248,45.86686327535951,69.68518218072595,45.86686327535951,0.0195351401117099,0.100806292912878,0.98120573839933,0.0,0.0,0.0013938405627881,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.06582385431051635,0.08891742681622485,-0.06582385431051635,0.21535229223400065,0.7920406872517574,0.7806441855567184,0.6082677186168524,0.5599488542265895,0.06663433129660203,0.092067622019869,-0.06663433129660203,0.21535229223400065,0.9129018971117413,0.8357142857142855,0.5302744701259926,0.45214032626401995,0.06481075807790927,0.08481530522641681,-0.06481075807790927,0.183715311955491,0.7334270619018752,0.5849396010625192,0.8317123516213942,0.8073507977026204,0.40426228149737,0.4534582872043577,-0.40426228149737,0.7128308790283062,0.9605228853198838,0.9806240928882437,0.6643494010897469,0.6384039061036734,0.4042622814973699,0.4534927002551937,-0.4042622814973699,0.717447999947327,0.9572369886956814,0.9727555463404519,0.6643998187143834,0.6384039061036733
MW-proj,30,6,60,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep06_seed60.csv,True,,15,105,27,15,12,0.024787970381338082,scipy.optimize.nnls,3.17394,1.3582135826126616,1.8157264173873384,0.5720733275951463,0.3047619047619048,105,32,73,27,missing_p30_rep06_seed60.csv,13.107946331999983,0.0041105682413029,0.0033125521876364,0.9978067195898442,0.9923020527859236,168.2627686837393,43.80645949601448,73.96544711661583,43.80645949601448,0.0188379819993619,0.0962779329582735,0.9371286015003896,0.0,0.0,0.0014393675863453,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.06724912656990141,0.09014152386711088,-0.06724912656990141,0.22283356166301876,0.8166883457607524,0.8284493284493284,0.6166415407928694,0.5720733275951462,0.07073106137638853,0.09504090942585618,-0.07073106137638853,0.22283356166301876,0.9455908848541965,0.9892857142857142,0.5473994742170278,0.47993826223557445,0.06289670806179255,0.08361455705093358,-0.06289670806179255,0.18308805595972125,0.785442985766694,0.6503496503496504,0.8199376243352016,0.7835073826094514,0.4053989720634435,0.45393593977683955,-0.4053989720634435,0.7148127328502882,0.9657597790384254,0.9761870205266431,0.6650491968800359,0.6401989479134723,0.40539897206344355,0.4539423854011735,-0.40539897206344355,0.7174498866150278,0.9647472296054536,0.9697491188057226,0.6650586401889063,0.6401989479134724
MW-proj,30,7,61,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep07_seed61.csv,True,,15,105,27,15,12,0.024110418684747142,scipy.optimize.nnls,3.17394,1.4017117452400198,1.7722282547599801,0.5583685434381179,0.3047619047619048,105,32,73,27,missing_p30_rep07_seed61.csv,12.809214414000053,0.0129855995677192,0.0063087411278393,0.9847852644546682,0.9868035190615836,108.79442294856928,37.219982688686855,65.78870342804065,37.219982688686855,0.0165809517008618,0.0818021597553557,0.796227559273335,0.0,0.0,0.001250115860903,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.06998191683707157,0.09072285167310805,-0.0656380835096289,0.2231491999557516,0.7666779105988925,0.7537780579348995,0.6206182971046919,0.5953205651653568,0.07373338156959115,0.09553159626583009,-0.06591448158019435,0.2231491999557516,0.9741239114453051,0.9749999999999999,0.5502256437037211,0.5003101937202822,0.06529258592142208,0.08432717965730127,-0.06529258592142208,0.18342211499500016,0.8541304344885967,0.8721554530812411,0.8269257147768785,0.8133529508227516,0.4052005378756607,0.45350530836695047,-0.4040835521628897,0.7128688801207061,0.9790095540089014,0.9823657474600871,0.6644182905159378,0.6398855841237173,0.4052010027900038,0.4535142187953994,-0.4040835521628897,0.7142975608008308,0.977835726020726,0.9785714285714284,0.6644313449422666,0.6398863183082956
MW-proj,30,8,62,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep08_seed62.csv,True,,15,105,27,15,12,0.023070969491224797,scipy.optimize.nnls,3.17394,1.368353473058211,1.805586526941789,0.5688785947251016,0.3047619047619048,105,32,73,27,missing_p30_rep08_seed62.csv,15.38740617999997,0.0057889907438122,0.0044725202706811,0.9909621419017748,0.9816715542521994,164.5631846324897,45.60906860354228,72.28476788086071,45.60906860354228,0.0191360617533741,0.1002397112165764,0.975690872257356,0.0,0.0,0.0015106315425889,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.06687357507191811,0.0894266348352965,-0.06687357507191811,0.21422907998951685,0.8136471445915315,0.7867501236525866,0.6117511167667143,0.5688785947251017,0.06936177692813035,0.09314108049742123,-0.06936177692813035,0.21422907998951685,0.9499813402182696,0.9785714285714284,0.5364571824943366,0.47064712499240274,0.06376332275165285,0.08455442445631346,-0.06376332275165285,0.18516653086594265,0.7053552278636721,0.5849396010625192,0.8291541133622,0.7943028443801415,0.40515822284363884,0.45372945754732846,-0.40515822284363884,0.7119488758344873,0.9669962877100552,0.9810387725482064,0.6647466853825461,0.6398187609671527,0.4051582228436389,0.4537386700268874,-0.4051582228436389,0.7147709012439706,0.965991822228229,0.9738337134563548,0.6647601823357394,0.6398187609671528
MW-proj,30,9,63,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep09_seed63.csv,True,,15,105,27,15,12,0.02690969849785781,scipy.optimize.nnls,3.17394,1.3980359251515082,1.7759040748484918,0.559526668698366,0.3047619047619048,105,32,73,27,missing_p30_rep09_seed63.csv,15.724359094999954,0.0128849117700502,0.0061471919244822,0.9837811687325922,0.9816715542521994,134.26976834364413,39.87626742689796,70.30138063183338,39.87626742689796,0.0176049125774542,0.0876401481909845,0.853052064849575,0.0,0.0,0.0014825555135343,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.06983158091417664,0.09069698894700431,-0.06577422499438859,0.22237114757374798,0.7666573504923634,0.7393162393162392,0.6204413749650437,0.594041690984319,0.07315608900409644,0.09509978710058106,-0.06585284834847793,0.22237114757374798,0.9702022996250445,0.9607142857142855,0.5477385872198623,0.496393035044963,0.06567594580177691,0.0848729148545017,-0.06567594580177691,0.18571864106054548,0.8378271484249538,0.8181818181818183,0.8322772807827361,0.8181284836878293,0.4054806376455392,0.4538007037991546,-0.40443731755187945,0.7124766521455785,0.976676944058364,0.9809351026332158,0.6648510663279742,0.6403279127686922,0.40558107732881576,0.4538159867107434,-0.4044373175518795,0.7147709012439706,0.975081304196536,0.9758034418411776,0.6648734569059996,0.6404865253552884
MW-proj,30,10,64,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep10_seed64.csv,True,,15,105,27,15,12,0.05536765703708682,scipy.optimize.nnls,3.17394,1.489954823541191,1.683985176458809,0.5305661658565722,0.3047619047619048,105,32,73,27,missing_p30_rep10_seed64.csv,14.564189923000072,0.0318497955888657,0.0169540258836393,0.941999856117314,0.9688416422287388,99.24928746819867,30.764966231996237,69.0023303775819,30.764966231996237,0.0138917454916549,0.0676153103999917,0.6581387793464651,0.0,0.0,0.0010743430011147,105,27,105,20580,17745,ultrametric,2,32,0,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv,0.06920918040923153,0.0929478493912452,-0.06236982135032627,0.22248100037464036,0.6198068271685916,0.6530300793530781,0.6358390961583599,0.5887470686431537,0.06879831463004521,0.09346715145354369,-0.056487468324015716,0.22195135560005386,0.802989834645865,0.8607142857142854,0.5383352271281384,0.466823810158497,0.06972276263321445,0.09229461299815937,-0.06972276263321445,0.22248100037464036,0.3431977098429384,0.4798606308117672,0.9050556313364176,0.8685398797879949,0.403359316931684,0.4535749690657653,-0.4010902237205969,0.713346275788891,0.9727007427361015,0.9710864607091022,0.664520348510781,0.6369779602952442,0.4042305906995856,0.4536651765876468,-0.4010902237205969,0.7147709012439706,0.9632729547624264,0.968899025502799,0.664652509097161,0.6383538605515181
