method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T1,terminal,1,0.05696,0.04140865394420079,-0.015551346055799206,0.015551346055799206
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T2|T3,internal,2,0.03472,0.023924576683222662,-0.010795423316777339,0.010795423316777339
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T2,terminal,1,0.02433,0.020839162384441036,-0.003490837615558965,0.003490837615558965
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T3,terminal,1,0.02231,0.020192986515728244,-0.0021170134842717556,0.0021170134842717556
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T1|T2|T3,internal,3,0.01863,0.007501095554863659,-0.011128904445136343,0.011128904445136343
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T4,terminal,1,0.07771,0.05538098252861057,-0.022329017471389434,0.022329017471389434
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.021888423790362495,-0.024931576209637506,0.024931576209637506
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T5,terminal,1,0.12997,0.07752722076053539,-0.05244277923946461,0.05244277923946461
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.004909100208509296,-0.025660899791490704,0.025660899791490704
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T6,terminal,1,0.14605,0.08454522181556066,-0.06150477818443935,0.06150477818443935
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.021248577753906445,-0.050851422246093556,0.050851422246093556
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.015331358086546718,-0.07069864191345328,0.07069864191345328
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T7|T8|T9,internal,3,0.05128,0.015679737685886222,-0.03560026231411378,0.03560026231411378
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T7|T8,internal,2,0.02354,0.00402907025449014,-0.01951092974550986,0.01951092974550986
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T7,terminal,1,0.11573,0.07105775587705264,-0.04467224412294736,0.04467224412294736
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T8,terminal,1,0.11535,0.07594393595827534,-0.039406064041724656,0.039406064041724656
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T9,terminal,1,0.12153,0.07647741850881709,-0.04505258149118291,0.04505258149118291
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T10,terminal,1,0.18189,0.0957408948341023,-0.0861491051658977,0.0861491051658977
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.023113643864230718,-0.09339635613576928,0.09339635613576928
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T11|T12,internal,2,0.22637,0.005621573373397667,-0.22074842662660232,0.22074842662660232
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T11,terminal,1,0.16094,0.12582882413462987,-0.03511117586537013,0.03511117586537013
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T12,terminal,1,0.14942,0.12181357496005119,-0.027606425039948812,0.027606425039948812
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T13|T14|T15,internal,3,0.18561,0.011572196001546615,-0.1740378039984534,0.1740378039984534
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T13,terminal,1,0.32149,0.13334478024829388,-0.18814521975170612,0.18814521975170612
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:T14|T15,internal,2,0.07113,0.01624268834661611,-0.05488731165338389,0.05488731165338389
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T14,terminal,1,0.34439,0.11963371312234204,-0.22475628687765792,0.22475628687765792
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:T15,terminal,1,0.24256,0.11623807865980038,-0.12632192134019962,0.12632192134019962
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,terminal:T1,terminal,1,0.05696,0.060208307836733754,0.0032483078367337576,0.0032483078367337576
