,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.0862953692115143,0.08655190000536463,0.1054918755510769,0.2686228241895069,0.1615693156179493,0.211962798614066,0.21081436714648466,0.2077070581926932,0.2113011338720792,0.2476423990946812,0.24921993082636806,0.2671269418679644,0.2687381103360812,0.26666410028481946
T2,0.0862953692115143,0.0,0.0410321489001692,0.10532076493284434,0.26847300104842936,0.16235193111365698,0.2058362096015061,0.21066454400540713,0.20755723505161566,0.20874548088556932,0.2533063923585599,0.2498469824947974,0.266256536450323,0.27222749784496836,0.26651427714374193
T3,0.08655190000536463,0.0410321489001692,0.0,0.10570556112361962,0.26885779723920467,0.164294403892944,0.204592508940335,0.2115922637148765,0.2051643768400392,0.2146752302472128,0.2500918329864087,0.2480117459929034,0.2675233644859813,0.2726122940357436,0.26689907333451723
T4,0.1054918755510769,0.10532076493284434,0.10570556112361962,0.0,0.27081334880751984,0.164458348668875,0.2062409197144842,0.2147163775070751,0.2104448982117443,0.21108582864465986,0.2576197836166924,0.2528458302400396,0.2693174664859773,0.2745678456040589,0.2706669143600222
T5,0.2686228241895069,0.26847300104842936,0.26885779723920467,0.27081334880751984,0.0,0.2720612296601601,0.27368876578310597,0.27805416353142903,0.27494685457763757,0.27613510041159123,0.27729998036216424,0.274187135115807,0.2719315715326481,0.2771819506507296,0.273012745520596
T6,0.1615693156179493,0.16235193111365698,0.164294403892944,0.164458348668875,0.2720612296601601,0.0,0.2090612039713459,0.2152153987167736,0.211707557031298,0.21233370949730007,0.2595002762600528,0.2526583362970213,0.2705653473386176,0.2791646070192783,0.2701025057554727
T7,0.211962798614066,0.2058362096015061,0.204592508940335,0.2062409197144842,0.27368876578310597,0.2090612039713459,0.0,0.1903129257387133,0.20289379938110302,0.1890335503254882,0.2573987176663244,0.2578636134876698,0.2738668017219549,0.27744326257964497,0.2751771255060729
T8,0.21081436714648466,0.21066454400540713,0.2115922637148765,0.2147163775070751,0.27805416353142903,0.2152153987167736,0.1903129257387133,0.0,0.2072591971294261,0.1890169902912621,0.2674546790788829,0.2586512701682902,0.2765582812098865,0.2905401225020108,0.2760954396267416
T9,0.2077070581926932,0.20755723505161566,0.2051643768400392,0.2104448982117443,0.27494685457763757,0.211707557031298,0.20289379938110302,0.2072591971294261,0.0,0.20534013400958828,0.2636956789363535,0.25554396121449874,0.2770299609205384,0.27870135137417656,0.2782210676068534
T10,0.2113011338720792,0.20874548088556932,0.2146752302472128,0.21108582864465986,0.27613510041159123,0.21233370949730007,0.1890335503254882,0.1890169902912621,0.20534013400958828,0.0,0.25984505229480964,0.2638659573167003,0.2741588238912468,0.2830979835974594,0.2708027410670582
T11,0.2476423990946812,0.2533063923585599,0.2500918329864087,0.2576197836166924,0.27729998036216424,0.2595002762600528,0.2573987176663244,0.2674546790788829,0.2636956789363535,0.25984505229480964,0.0,0.24801174599290327,0.2778497809047707,0.2869101506789855,0.2690508432845008
T12,0.24921993082636806,0.2498469824947974,0.2480117459929034,0.2528458302400396,0.274187135115807,0.2526583362970213,0.2578636134876698,0.2586512701682902,0.25554396121449874,0.2638659573167003,0.24801174599290327,0.0,0.2738499536894103,0.2797644871397582,0.2703667240954959
T13,0.2671269418679644,0.266256536450323,0.2675233644859813,0.2693174664859773,0.2719315715326481,0.2705653473386176,0.2738668017219549,0.2765582812098865,0.2770299609205384,0.2741588238912468,0.2778497809047707,0.2738499536894103,0.0,0.2687381103360812,0.26642565372546007
T14,0.2687381103360812,0.27222749784496836,0.2726122940357436,0.2745678456040589,0.2771819506507296,0.2791646070192783,0.27744326257964497,0.2905401225020108,0.27870135137417656,0.2830979835974594,0.2869101506789855,0.2797644871397582,0.2687381103360812,0.0,0.2716760328435416
T15,0.26666410028481946,0.26651427714374193,0.26689907333451723,0.2706669143600222,0.273012745520596,0.2701025057554727,0.2751771255060729,0.2760954396267416,0.2782210676068534,0.2708027410670582,0.2690508432845008,0.2703667240954959,0.26642565372546007,0.2716760328435416,0.0
