method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,Delta_init,Delta_final,Delta_reduction_percent,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,n_weighted_lsq_fits,n_graft_evaluations,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,masked_file,__metadata_scope,__metadata_source
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,27,13.973594814999956,0.0151942592009543,0.0075048322499008,0.9581893842859672,0.9626099706744868,175.65836075827397,45.113831198934406,74.31728782837943,45.113831198934406,0.0189881355766819,0.0991512773602954,0.9650965183257608,0.0,0.0,0.0016036923159682,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep01_seed55.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,27,13.745315385999902,0.0278198296034337,0.0124031812249322,0.9283287161999372,0.9541788856304986,119.95054585020549,38.73991962778136,67.7034236458083,38.73991962778136,0.0172927794370142,0.0851426805006183,0.8287427726571512,0.0,0.0,0.0014437745070407,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep02_seed56.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,27,14.640269453999965,0.0208517915307657,0.0109335679679516,0.9332537550217704,0.9505131964809382,173.99044124464842,37.89701261612865,78.21891113958291,37.89701261612865,0.0167269003302343,0.0832901376178651,0.810710905254198,0.0,0.0,0.0008870638913186,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep03_seed57.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,27,15.869215703000007,0.0145328695963493,0.0063581405705621,0.9543893292815104,0.9640762463343108,156.62081995865333,39.04728102852224,75.06890779985035,39.04728102852224,0.0170692922075969,0.0858182000626862,0.8353179938219137,0.0,0.0,0.0017305041333033,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep04_seed58.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,5,59,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,27,15.071723617999965,0.0115285884102965,0.0053874445794814,0.9737301251380684,0.9758064516129032,151.30179422090248,45.86686327535951,69.68518218072595,45.86686327535951,0.0195351401117099,0.100806292912878,0.98120573839933,0.0,0.0,0.0013938405627881,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep05_seed59.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,6,60,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,27,13.107946331999983,0.0041105682413029,0.0033125521876364,0.9978067195898442,0.9923020527859236,168.2627686837393,43.80645949601448,73.96544711661583,43.80645949601448,0.0188379819993619,0.0962779329582735,0.9371286015003896,0.0,0.0,0.0014393675863453,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep06_seed60.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,7,61,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,27,12.809214414000053,0.0129855995677192,0.0063087411278393,0.9847852644546682,0.9868035190615836,108.79442294856928,37.219982688686855,65.78870342804065,37.219982688686855,0.0165809517008618,0.0818021597553557,0.796227559273335,0.0,0.0,0.001250115860903,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep07_seed61.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,8,62,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,27,15.38740617999997,0.0057889907438122,0.0044725202706811,0.9909621419017748,0.9816715542521994,164.5631846324897,45.60906860354228,72.28476788086071,45.60906860354228,0.0191360617533741,0.1002397112165764,0.975690872257356,0.0,0.0,0.0015106315425889,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep08_seed62.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,9,63,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,27,15.724359094999954,0.0128849117700502,0.0061471919244822,0.9837811687325922,0.9816715542521994,134.26976834364413,39.87626742689796,70.30138063183338,39.87626742689796,0.0176049125774542,0.0876401481909845,0.853052064849575,0.0,0.0,0.0014825555135343,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep09_seed63.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,10,64,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,27,14.564189923000072,0.0318497955888657,0.0169540258836393,0.941999856117314,0.9688416422287388,99.24928746819867,30.764966231996237,69.0023303775819,30.764966231996237,0.0138917454916549,0.0676153103999917,0.6581387793464651,0.0,0.0,0.0010743430011147,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep10_seed64.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
MW-proj,30,11,65,MWproj_completed_p30_rep11_seed65.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep11_seed65.csv,0.3047619047619048,105,32,73,27,14.365929292000033,0.0157980853178861,0.0083201878919246,0.9365816537560544,0.938049853372434,154.67426470819495,42.108116580785406,72.77626199793117,42.108116580785406,0.0179006735520107,0.0925453111665613,0.9007968426838268,0.0,0.0,0.0014457030863179,105,27,105,20580,17745,ultrametric,2,32,0,missing_p30_rep11_seed65.csv,method_specific,mw_proj_outputs/tables/mw_proj_all_masks_detailed.csv
