,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1055981025438133,0.0854032409435024,0.1054918755510769,0.1505360639408334,0.1615693156179493,0.211962798614066,0.21006058927783647,0.21082088413718403,0.21129027021793909,0.252303936719334,0.24990324388959215,0.2679174701372312,0.2687381103360812,0.2619664875118558
T2,0.1055981025438133,0.0,0.10541322822368503,0.1065313111545988,0.1514616321559074,0.1613529421939455,0.2066044277969316,0.2102457656523935,0.21100606051174103,0.21147544659249612,0.2533063923585599,0.2498469824947974,0.2681026465117882,0.2768138314294535,0.2650198001331362
T3,0.0854032409435024,0.10541322822368503,0.0,0.1046291200391365,0.1504931206623645,0.1609828914992602,0.204592508940335,0.2115922637148765,0.21063600981705577,0.2146752302472128,0.2500918329864087,0.2497183695694639,0.26773259581710296,0.2736661087686295,0.2646497494384509
T4,0.1054918755510769,0.1065313111545988,0.1046291200391365,0.0,0.1516340670795266,0.1631266202010237,0.20837810580400984,0.2147163775070751,0.21277973851881926,0.2183400760083364,0.2542627911009693,0.2518620982712274,0.2697139303482587,0.2788425637834474,0.2667934781402144
T5,0.1505360639408334,0.1514616321559074,0.1504931206623645,0.1516340670795266,0.0,0.16161790817468974,0.20686939377767583,0.21051073163313774,0.2112710264924853,0.21174041257324036,0.25275407907463526,0.25035338624489345,0.2683676124925325,0.27430112544405905,0.273012745520596
T6,0.1615693156179493,0.1613529421939455,0.1609828914992602,0.1631266202010237,0.16161790817468974,0.0,0.2093455102404561,0.212986848095918,0.21374714295526553,0.21421652903602062,0.2595002762600528,0.2585973962171456,0.2708437289553127,0.2791646070192783,0.2677608825766607
T7,0.211962798614066,0.2066044277969316,0.204592508940335,0.20837810580400984,0.20686939377767583,0.2093455102404561,0.0,0.2087766068874205,0.20953690174676803,0.1890335503254882,0.2600515950418423,0.25264662737782934,0.2738668017219549,0.276594366576995,0.26757800724681635
T8,0.21006058927783647,0.2102457656523935,0.2115922637148765,0.2147163775070751,0.21051073163313774,0.212986848095918,0.2087766068874205,0.0,0.1556684622918707,0.213647625682985,0.2586886580630331,0.2562879652332912,0.27430219148093027,0.2802357044324568,0.2807049864898059
T9,0.21082088413718403,0.21100606051174103,0.21063600981705577,0.21277973851881926,0.2112710264924853,0.21374714295526553,0.20953690174676803,0.1556684622918707,0.0,0.21440792054233257,0.2594489529223807,0.2570482600926388,0.27506248634027786,0.286441835910813,0.2782210676068534
T10,0.21129027021793909,0.21147544659249612,0.2146752302472128,0.2183400760083364,0.21174041257324036,0.21421652903602062,0.1890335503254882,0.213647625682985,0.21440792054233257,0.0,0.2653535600685099,0.2638659573167003,0.2755318724210329,0.2830979835974594,0.27244902604238086
T11,0.252303936719334,0.2533063923585599,0.2500918329864087,0.2542627911009693,0.25275407907463526,0.2595002762600528,0.2600515950418423,0.2586886580630331,0.2594489529223807,0.2653535600685099,0.0,0.2549502935379073,0.27296451978554637,0.2869101506789855,0.2698816734068943
T12,0.24990324388959215,0.2498469824947974,0.2497183695694639,0.2518620982712274,0.25035338624489345,0.2585973962171456,0.25264662737782934,0.2562879652332912,0.2570482600926388,0.2638659573167003,0.2549502935379073,0.0,0.2658559538744403,0.27178946682596683,0.26277310749578825
T13,0.2679174701372312,0.2681026465117882,0.26773259581710296,0.2697139303482587,0.2683676124925325,0.2708437289553127,0.2738668017219549,0.27430219148093027,0.27506248634027786,0.2755318724210329,0.27296451978554637,0.2658559538744403,0.0,0.26971393034825875,0.26625926386640675
T14,0.2687381103360812,0.2768138314294535,0.2736661087686295,0.2788425637834474,0.27430112544405905,0.2791646070192783,0.276594366576995,0.2802357044324568,0.286441835910813,0.2830979835974594,0.2869101506789855,0.27178946682596683,0.26971393034825875,0.0,0.2721927768179333
T15,0.2619664875118558,0.2650198001331362,0.2646497494384509,0.2667934781402144,0.273012745520596,0.2677608825766607,0.26757800724681635,0.2807049864898059,0.2782210676068534,0.27244902604238086,0.2698816734068943,0.26277310749578825,0.26625926386640675,0.2721927768179333,0.0
