method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,best_start_pair,n_weighted_lsq_fits,n_graft_evaluations,nnls_backend
MW-proj,30,0.3,0.3047619047619048,1,55,105,32,73,27,True,True,True,True,,missing_p30_rep01_seed55.csv,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep01_seed55.log,13.973594814999956,45.113831198934406,0.018988135576681928,0.0991512773602954,0.9650965183257609,46.74540871538672,0.02022617682793644,0.015194259200954381,0.007504832249900849,0.9581893842859673,0.9626099706744867,0.0,0.0,175.65836075827397,45.113831198934406,74.31728782837943,0,0,0,,ultrametric,2,32,0,0.0016036923159682974,105,27,105,"(0, 3)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,2,56,105,32,73,27,True,True,True,True,,missing_p30_rep02_seed56.csv,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep02_seed56.log,13.745315385999902,38.739919627781354,0.017292779437014225,0.08514268050061836,0.8287427726571512,46.74540871538672,0.02022617682793644,0.027819829603433783,0.012403181224932225,0.9283287161999373,0.9541788856304986,0.0,0.0,119.95054585020549,38.739919627781354,67.7034236458083,0,0,0,,ultrametric,2,32,0,0.001443774507040749,105,27,105,"(0, 2)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,3,57,105,32,73,27,True,True,True,True,,missing_p30_rep03_seed57.csv,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep03_seed57.log,14.640269453999963,37.89701261612865,0.01672690033023437,0.08329013761786516,0.810710905254198,46.74540871538672,0.02022617682793644,0.020851791530765783,0.010933567967951651,0.9332537550217703,0.9505131964809382,0.0,0.0,173.99044124464842,37.89701261612865,78.21891113958291,0,0,0,,ultrametric,2,32,0,0.0008870638913186105,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,4,58,105,32,73,27,True,True,True,True,,missing_p30_rep04_seed58.csv,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep04_seed58.log,15.869215703000009,39.04728102852224,0.017069292207596995,0.08581820006268624,0.8353179938219137,46.74540871538672,0.02022617682793644,0.014532869596349326,0.0063581405705621305,0.9543893292815103,0.9640762463343108,0.0,0.0,156.62081995865333,39.04728102852224,75.06890779985035,0,0,0,,ultrametric,2,32,0,0.0017305041333033878,105,27,105,"(0, 3)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,5,59,105,32,73,27,True,True,True,True,,missing_p30_rep05_seed59.csv,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep05_seed59.log,15.071723617999965,45.866863275359506,0.019535140111709967,0.10080629291287803,0.98120573839933,46.74540871538672,0.02022617682793644,0.011528588410296574,0.005387444579481448,0.9737301251380683,0.9758064516129032,0.0,0.0,151.30179422090248,45.866863275359506,69.68518218072595,0,0,0,,ultrametric,2,32,0,0.00139384056278811,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,6,60,105,32,73,27,True,True,True,True,,missing_p30_rep06_seed60.csv,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep06_seed60.log,13.107946331999983,43.806459496014476,0.018837981999361996,0.09627793295827357,0.9371286015003895,46.74540871538672,0.02022617682793644,0.0041105682413029535,0.003312552187636457,0.9978067195898442,0.9923020527859235,0.0,0.0,168.2627686837393,43.806459496014476,73.96544711661583,0,0,0,,ultrametric,2,32,0,0.001439367586345377,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,7,61,105,32,73,27,True,True,True,True,,missing_p30_rep07_seed61.csv,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep07_seed61.log,12.809214414000053,37.219982688686855,0.01658095170086189,0.08180215975535572,0.796227559273335,46.74540871538672,0.02022617682793644,0.012985599567719205,0.00630874112783931,0.9847852644546682,0.9868035190615836,0.0,0.0,108.79442294856929,37.219982688686855,65.78870342804065,0,0,0,,ultrametric,2,32,0,0.0012501158609030732,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,8,62,105,32,73,27,True,True,True,True,,missing_p30_rep08_seed62.csv,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep08_seed62.log,15.38740617999997,45.60906860354228,0.019136061753374123,0.10023971121657645,0.975690872257356,46.74540871538672,0.02022617682793644,0.005788990743812275,0.004472520270681182,0.9909621419017749,0.9816715542521994,0.0,0.0,164.5631846324897,45.60906860354228,72.28476788086071,0,0,0,,ultrametric,2,32,0,0.001510631542588974,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,9,63,105,32,73,27,True,True,True,True,,missing_p30_rep09_seed63.csv,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep09_seed63.log,15.724359094999954,39.87626742689796,0.017604912577454283,0.08764014819098453,0.853052064849575,46.74540871538672,0.02022617682793644,0.01288491177005029,0.006147191924482272,0.9837811687325922,0.9816715542521994,0.0,0.0,134.26976834364413,39.87626742689796,70.30138063183338,0,0,0,,ultrametric,2,32,0,0.0014825555135343303,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
MW-proj,30,0.3,0.3047619047619048,10,64,105,32,73,27,True,True,True,True,,missing_p30_rep10_seed64.csv,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep10_seed64.log,14.564189923000072,30.764966231996233,0.013891745491654945,0.06761531039999172,0.6581387793464651,46.74540871538672,0.02022617682793644,0.031849795588865776,0.016954025883639375,0.941999856117314,0.9688416422287388,0.0,0.0,99.24928746819869,30.764966231996233,69.0023303775819,0,0,0,,ultrametric,2,32,0,0.001074343001114775,105,27,105,"(0, 1)",20580,17745,scipy.optimize.nnls
