method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,27,0.0151942592009543,0.0075048322499008,0.9581893842859672,0.9626099706744868,13.973594814999956,True,True,True,0,0,0.0189881355766819,0.9650965183257608,0.0,0.0,missing_p30_rep01_seed55.csv,MWproj_completed_p30_rep01_seed55.csv,
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,27,0.0278198296034337,0.0124031812249322,0.9283287161999372,0.9541788856304986,13.745315385999902,True,True,True,0,0,0.0172927794370142,0.8287427726571512,0.0,0.0,missing_p30_rep02_seed56.csv,MWproj_completed_p30_rep02_seed56.csv,
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,27,0.0208517915307657,0.0109335679679516,0.9332537550217704,0.9505131964809382,14.640269453999965,True,True,True,0,0,0.0167269003302343,0.810710905254198,0.0,0.0,missing_p30_rep03_seed57.csv,MWproj_completed_p30_rep03_seed57.csv,
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,27,0.0145328695963493,0.0063581405705621,0.9543893292815104,0.9640762463343108,15.869215703000007,True,True,True,0,0,0.0170692922075969,0.8353179938219137,0.0,0.0,missing_p30_rep04_seed58.csv,MWproj_completed_p30_rep04_seed58.csv,
MW-proj,30,5,59,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,27,0.0115285884102965,0.0053874445794814,0.9737301251380684,0.9758064516129032,15.071723617999965,True,True,True,0,0,0.0195351401117099,0.98120573839933,0.0,0.0,missing_p30_rep05_seed59.csv,MWproj_completed_p30_rep05_seed59.csv,
MW-proj,30,6,60,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,27,0.0041105682413029,0.0033125521876364,0.9978067195898442,0.9923020527859236,13.107946331999983,True,True,True,0,0,0.0188379819993619,0.9371286015003896,0.0,0.0,missing_p30_rep06_seed60.csv,MWproj_completed_p30_rep06_seed60.csv,
MW-proj,30,7,61,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,27,0.0129855995677192,0.0063087411278393,0.9847852644546682,0.9868035190615836,12.809214414000053,True,True,True,0,0,0.0165809517008618,0.796227559273335,0.0,0.0,missing_p30_rep07_seed61.csv,MWproj_completed_p30_rep07_seed61.csv,
MW-proj,30,8,62,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,27,0.0057889907438122,0.0044725202706811,0.9909621419017748,0.9816715542521994,15.38740617999997,True,True,True,0,0,0.0191360617533741,0.975690872257356,0.0,0.0,missing_p30_rep08_seed62.csv,MWproj_completed_p30_rep08_seed62.csv,
MW-proj,30,9,63,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,27,0.0128849117700502,0.0061471919244822,0.9837811687325922,0.9816715542521994,15.724359094999954,True,True,True,0,0,0.0176049125774542,0.853052064849575,0.0,0.0,missing_p30_rep09_seed63.csv,MWproj_completed_p30_rep09_seed63.csv,
MW-proj,30,10,64,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,27,0.0318497955888657,0.0169540258836393,0.941999856117314,0.9688416422287388,14.564189923000072,True,True,True,0,0,0.0138917454916549,0.6581387793464651,0.0,0.0,missing_p30_rep10_seed64.csv,MWproj_completed_p30_rep10_seed64.csv,
