method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep01_seed55.csv,True,,MW-proj_NJ_p30_rep01_seed55.treefile,0.3047619047619048,105,32,73,27,0.0151942592009543,0.0075048322499008,0.9581893842859672,0.9626099706744868,13.973594814999956,True,True,True,0,0,0.0189881355766819,0.9650965183257608,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.4044165870093189,0.4536248477416565,0.9494326761376647,0.9622537839518971,0.4043225681686695,0.45357410259548264,0.9487178222431246,0.9565312046444121,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,2,56,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep02_seed56.csv,True,,MW-proj_NJ_p30_rep02_seed56.treefile,0.3047619047619048,105,32,73,27,0.0278198296034337,0.0124031812249322,0.9283287161999372,0.9541788856304986,13.745315385999902,True,True,True,0,0,0.0172927794370142,0.8287427726571512,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T3;T2|T6;T1|T3|T4;T1|T3|T4|T5,T2|T3;T1|T2|T3;T1|T2|T3|T4;T1|T2|T3|T4|T5,0.4064574398618811,0.4544625276078,0.9713372883559318,0.9776487663280116,0.40621571421578545,0.45413861159160135,0.9709240804357867,0.9765913331951067,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,3,57,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep03_seed57.csv,True,,MW-proj_NJ_p30_rep03_seed57.treefile,0.3047619047619048,105,32,73,27,0.0208517915307657,0.0109335679679516,0.9332537550217704,0.9505131964809382,14.640269453999965,True,True,True,0,0,0.0167269003302343,0.810710905254198,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.40231976114631646,0.4524526986052835,0.9370782594500768,0.9617147003939457,0.4022733451681261,0.4524097855168043,0.9365831738943365,0.9636636947957703,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,4,58,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep04_seed58.csv,True,,MW-proj_NJ_p30_rep04_seed58.treefile,0.3047619047619048,105,32,73,27,0.0145328695963493,0.0063581405705621,0.9543893292815104,0.9640762463343108,15.869215703000007,True,True,True,0,0,0.0170692922075969,0.8353179938219137,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.40440999313978576,0.4537831536612754,0.9506154391423065,0.9745386688782915,0.40444329752670205,0.453795200364827,0.9502100229590439,0.9678544677994039,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,5,59,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep05_seed59.csv,True,,MW-proj_NJ_p30_rep05_seed59.treefile,0.3047619047619048,105,32,73,27,0.0115285884102965,0.0053874445794814,0.9737301251380684,0.9758064516129032,15.071723617999965,True,True,True,0,0,0.0195351401117099,0.98120573839933,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T13|T15;T8|T9;T10|T8|T9,T14|T15;T7|T8;T7|T8|T9,0.4040284875000699,0.45330552502018656,0.9577215707036543,0.9751503213767363,0.4042622814973699,0.4534927002551937,0.9572369886956814,0.9727555463404519,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,6,60,MWproj_completed_p30_rep06_seed60.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep06_seed60.csv,True,,MW-proj_NJ_p30_rep06_seed60.treefile,0.3047619047619048,105,32,73,27,0.0041105682413029,0.0033125521876364,0.9978067195898442,0.9923020527859236,13.107946331999983,True,True,True,0,0,0.0188379819993619,0.9371286015003896,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,1.0,1.0,,,0.405114329931275,0.4535433315571121,0.9665128736775226,0.979587393738337,0.40539897206344355,0.4539423854011735,0.9647472296054536,0.9697491188057226,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,7,61,MWproj_completed_p30_rep07_seed61.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep07_seed61.csv,True,,MW-proj_NJ_p30_rep07_seed61.treefile,0.3047619047619048,105,32,73,27,0.0129855995677192,0.0063087411278393,0.9847852644546682,0.9868035190615836,12.809214414000053,True,True,True,0,0,0.0165809517008618,0.796227559273335,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T3|T4;T2|T3|T4,T2|T3;T1|T2|T3,0.40540917335809307,0.4538071352068961,0.9782057425310456,0.9802716151772755,0.4052010027900038,0.4535142187953994,0.977835726020726,0.9785714285714284,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,8,62,MWproj_completed_p30_rep08_seed62.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep08_seed62.csv,True,,MW-proj_NJ_p30_rep08_seed62.treefile,0.3047619047619048,105,32,73,27,0.0057889907438122,0.0044725202706811,0.9909621419017748,0.9816715542521994,15.38740617999997,True,True,True,0,0,0.0191360617533741,0.975690872257356,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T13|T15;T8|T9,T14|T15;T7|T8,0.40482304748680953,0.4532726837495267,0.9680037600720227,0.982376114451586,0.4051582228436389,0.4537386700268874,0.9659918222282288,0.9738337134563548,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,9,63,MWproj_completed_p30_rep09_seed63.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep09_seed63.csv,True,,MW-proj_NJ_p30_rep09_seed63.treefile,0.3047619047619048,105,32,73,27,0.0128849117700502,0.0061471919244822,0.9837811687325922,0.9816715542521994,15.724359094999954,True,True,True,0,0,0.0176049125774542,0.853052064849575,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T1|T2;T3|T4,T2|T3;T1|T2|T3,0.40573745075075385,0.45404529107555264,0.9754680921652543,0.9800020733982998,0.40558107732881576,0.4538159867107434,0.9750813041965362,0.9758034418411776,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
MW-proj,30,10,64,MWproj_completed_p30_rep10_seed64.csv,mw_proj_outputs/completed_matrices/MWproj_completed_p30_rep10_seed64.csv,True,,MW-proj_NJ_p30_rep10_seed64.treefile,0.3047619047619048,105,32,73,27,0.0318497955888657,0.0169540258836393,0.941999856117314,0.9688416422287388,14.564189923000072,True,True,True,0,0,0.0138917454916549,0.6581387793464651,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T2;T4|T6;T1|T2|T5;T1|T2|T3|T5,T2|T3;T1|T2|T3;T1|T2|T3|T4;T1|T2|T3|T4|T5,0.40431218790029433,0.45381897363877727,0.9640714768420575,0.9741032552353307,0.4042305906995856,0.4536651765876468,0.9632729547624264,0.968899025502799,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
