,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.08629536921151439,0.08540324094350248,0.10549187555107696,0.14410015649452268,0.16156931561794935,0.21196279861406603,0.20991911718603048,0.20499905559403137,0.2113011338720792,0.24764239909468125,0.24132511943676138,0.2645663313721769,0.2687381103360812,0.2619664875118558
T2,0.08629536921151439,0.0,0.04103214890016921,0.10653131115459882,0.15146163215590744,0.16422269546699117,0.20583620960150611,0.21342502434274585,0.2059022025891159,0.21709608972415884,0.2533063923585599,0.2498469824947974,0.266256536450323,0.27681383142945354,0.2701096612142376
T3,0.08540324094350248,0.04103214890016921,0.0,0.10462912003913655,0.15049312066236453,0.16429440389294403,0.20459250894033504,0.21159226371487655,0.20516437684003924,0.2146752302472128,0.2500918329864087,0.24801174599290346,0.2675233644859813,0.27450012342631447,0.2694709772226304
T4,0.10549187555107696,0.10653131115459882,0.10462912003913655,0.0,0.15163406707952665,0.164458348668875,0.20624091971448424,0.21471637750707517,0.21044489821174434,0.2183400760083364,0.2576197836166924,0.2528458302400396,0.2697139303482587,0.2788425637834474,0.27066691436002227
T5,0.14410015649452268,0.15146163215590744,0.15049312066236453,0.15163406707952665,0.0,0.17094330400782012,0.20858934169278998,0.2176438222167879,0.2090847541084508,0.22497564539698003,0.2587382517353646,0.2553008419888145,0.27388535031847133,0.2784016876589936,0.273012745520596
T6,0.16156931561794935,0.16422269546699117,0.16429440389294403,0.164458348668875,0.17094330400782012,0.0,0.20906120397134598,0.21521539871677361,0.21170755703129804,0.21748660496833902,0.2595002762600528,0.25859739621714567,0.274922791846819,0.2791646070192783,0.2733485193621868
T7,0.21196279861406603,0.20583620960150611,0.20459250894033504,0.20624091971448424,0.20858934169278998,0.20906120397134598,0.0,0.14700169183532802,0.1523462070700717,0.18903355032548824,0.26005159504184233,0.25786361348766984,0.27386680172195493,0.27944909875602947,0.2751771255060729
T8,0.20991911718603048,0.21342502434274585,0.21159226371487655,0.21471637750707517,0.2176438222167879,0.21521539871677361,0.14700169183532802,0.0,0.1556684622918707,0.18901699029126215,0.2674546790788829,0.2641624862351646,0.2805351747949935,0.2905401225020108,0.28070498648980596
T9,0.20499905559403137,0.2059022025891159,0.20516437684003924,0.21044489821174434,0.2090847541084508,0.21170755703129804,0.1523462070700717,0.1556684622918707,0.0,0.1877486077963405,0.26369567893635354,0.2621891159812854,0.27702996092053844,0.286441835910813,0.27822106760685344
T10,0.2113011338720792,0.21709608972415884,0.2146752302472128,0.2183400760083364,0.22497564539698003,0.21748660496833902,0.18903355032548824,0.18901699029126215,0.1877486077963405,0.0,0.2653535600685099,0.2638659573167003,0.27415882389124685,0.28309798359745947,0.27080274106705826
T11,0.24764239909468125,0.2533063923585599,0.2500918329864087,0.2576197836166924,0.2587382517353646,0.2595002762600528,0.26005159504184233,0.2674546790788829,0.26369567893635354,0.2653535600685099,0.0,0.1729891006515253,0.27784978090477075,0.28691015067898556,0.2690508432845008
T12,0.24132511943676138,0.2498469824947974,0.24801174599290346,0.2528458302400396,0.2553008419888145,0.25859739621714567,0.25786361348766984,0.2641624862351646,0.2621891159812854,0.2638659573167003,0.1729891006515253,0.0,0.2738499536894103,0.27976448713975827,0.27036672409549595
T13,0.2645663313721769,0.266256536450323,0.2675233644859813,0.2697139303482587,0.27388535031847133,0.274922791846819,0.27386680172195493,0.2805351747949935,0.27702996092053844,0.27415882389124685,0.27784978090477075,0.2738499536894103,0.0,0.2531714389271475,0.24002631736347868
T14,0.2687381103360812,0.27681383142945354,0.27450012342631447,0.2788425637834474,0.2784016876589936,0.2791646070192783,0.27944909875602947,0.2905401225020108,0.286441835910813,0.28309798359745947,0.28691015067898556,0.27976448713975827,0.2531714389271475,0.0,0.23587179178214243
T15,0.2619664875118558,0.2701096612142376,0.2694709772226304,0.27066691436002227,0.273012745520596,0.2733485193621868,0.2751771255060729,0.28070498648980596,0.27822106760685344,0.27080274106705826,0.2690508432845008,0.27036672409549595,0.24002631736347868,0.23587179178214243,0.0
