,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.11601,0.11399,0.1533,0.25238,0.29903,0.50166,0.50128,0.48391999999999996,0.493,0.7289,0.7173799999999999,0.8486899999999999,0.94272,0.84089
T2,0.11601,0.0,0.04664,0.15539,0.25447,0.30112000000000005,0.50375,0.50337,0.48600999999999994,0.49509000000000003,0.73099,0.71947,0.8507800000000001,0.94481,0.8429800000000001
T3,0.11399,0.04664,0.0,0.15337,0.25245,0.29910000000000003,0.50173,0.50135,0.4839899999999999,0.49306999999999995,0.72897,0.7174499999999999,0.84876,0.94279,0.84096
T4,0.1533,0.15539,0.15337,0.0,0.2545,0.30115000000000003,0.50378,0.5034000000000001,0.48604,0.49512,0.73102,0.7195,0.85081,0.94484,0.84301
T5,0.25238,0.25447,0.25245,0.2545,0.0,0.30659000000000003,0.50922,0.50884,0.49148000000000003,0.50056,0.73646,0.7249399999999999,0.85625,0.95028,0.84845
T6,0.29903,0.30112000000000005,0.29910000000000003,0.30115000000000003,0.30659000000000003,0.0,0.49473,0.49435,0.47699,0.48607,0.72197,0.71045,0.8417600000000001,0.93579,0.83396
T7,0.50166,0.50375,0.50173,0.50378,0.50922,0.49473,0.0,0.23108,0.2608,0.37244,0.7804,0.76888,0.90019,0.99422,0.89239
T8,0.50128,0.50337,0.50135,0.5034000000000001,0.50884,0.49435,0.23108,0.0,0.26042,0.37206,0.7800199999999999,0.7685,0.89981,0.99384,0.89201
T9,0.48391999999999996,0.48600999999999994,0.4839899999999999,0.48604,0.49148000000000003,0.47699,0.2608,0.26042,0.0,0.3547,0.76266,0.75114,0.88245,0.9764799999999999,0.8746499999999999
T10,0.493,0.49509000000000003,0.49306999999999995,0.49512,0.50056,0.48607,0.37244,0.37206,0.3547,0.0,0.77174,0.76022,0.8915299999999999,0.98556,0.88373
T11,0.7289,0.73099,0.72897,0.73102,0.73646,0.72197,0.7804,0.7800199999999999,0.76266,0.77174,0.0,0.31035999999999997,0.89441,0.98844,0.88661
T12,0.7173799999999999,0.71947,0.7174499999999999,0.7195,0.7249399999999999,0.71045,0.76888,0.7685,0.75114,0.76022,0.31035999999999997,0.0,0.88289,0.9769199999999999,0.8750899999999999
T13,0.8486899999999999,0.8507800000000001,0.84876,0.85081,0.85625,0.8417600000000001,0.90019,0.89981,0.88245,0.8915299999999999,0.89441,0.88289,0.0,0.7370099999999999,0.6351800000000001
T14,0.94272,0.94481,0.94279,0.94484,0.95028,0.93579,0.99422,0.99384,0.9764799999999999,0.98556,0.98844,0.9769199999999999,0.7370099999999999,0.0,0.58695
T15,0.84089,0.8429800000000001,0.84096,0.84301,0.84845,0.83396,0.89239,0.89201,0.8746499999999999,0.88373,0.88661,0.8750899999999999,0.6351800000000001,0.58695,0.0
