,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.0862953692115143,0.0854032409435024,0.10302165458723732,0.1441001564945226,0.1615693156179493,0.211962798614066,0.2099191171860304,0.2049990555940313,0.2113011338720792,0.2476423990946812,0.2482263043618128,0.26525193814239656,0.2687381103360812,0.266296945913442
T2,0.0862953692115143,0.0,0.08857009774280507,0.1065313111545988,0.1514616321559074,0.1642226954669911,0.2058362096015061,0.2134250243427458,0.2059022025891159,0.2170960897241588,0.25405897393328025,0.2498469824947974,0.2684187949416992,0.2768138314294535,0.2701096612142376
T3,0.0854032409435024,0.08857009774280507,0.0,0.1046291200391365,0.1504931206623645,0.164294403892944,0.204592508940335,0.2115922637148765,0.2084006481086715,0.21242895732293482,0.2500918329864087,0.2501765695817708,0.2675233644859813,0.2741736946666238,0.2694709772226304
T4,0.10302165458723732,0.1065313111545988,0.1046291200391365,0.0,0.1516340670795266,0.164458348668875,0.20787944780687156,0.2147163775070751,0.2104448982117443,0.2150875644523244,0.2555009894833252,0.2528351767111604,0.2697139303482587,0.2788425637834474,0.2706669143600222
T5,0.1441001564945226,0.1514616321559074,0.1504931206623645,0.1516340670795266,0.0,0.1684119106245491,0.2085893416927899,0.2176438222167879,0.2140233763995477,0.22497564539698,0.2584651106448118,0.2553008419888145,0.2738853503184713,0.2784016876589936,0.273012745520596
T6,0.1615693156179493,0.1642226954669911,0.164294403892944,0.164458348668875,0.1684119106245491,0.0,0.2090612039713459,0.2152153987167736,0.21262108430511073,0.217486604968339,0.2570628185503748,0.2585973962171456,0.274922791846819,0.2791646070192783,0.2733485193621868
T7,0.211962798614066,0.2058362096015061,0.204592508940335,0.20787944780687156,0.2085893416927899,0.2090612039713459,0.0,0.1561909848830759,0.1523462070700717,0.184568800365151,0.2600515950418423,0.25636990475317045,0.2738668017219549,0.2794490987560294,0.2751771255060729
T8,0.2099191171860304,0.2134250243427458,0.2115922637148765,0.2147163775070751,0.2176438222167879,0.2152153987167736,0.1561909848830759,0.0,0.1556684622918707,0.1915933856093447,0.2674546790788829,0.2641624862351646,0.2805351747949935,0.2905401225020108,0.2807049864898059
T9,0.2049990555940313,0.2059022025891159,0.2084006481086715,0.2104448982117443,0.2140233763995477,0.21262108430511073,0.1523462070700717,0.1556684622918707,0.0,0.1877486077963405,0.2636956789363535,0.2621891159812854,0.2770299609205384,0.286441835910813,0.2782210676068534
T10,0.2113011338720792,0.2170960897241588,0.21242895732293482,0.2150875644523244,0.22497564539698,0.217486604968339,0.184568800365151,0.1915933856093447,0.1877486077963405,0.0,0.2653535600685099,0.26357802139862324,0.28060365517920693,0.2830979835974594,0.2816486629502524
T11,0.2476423990946812,0.25405897393328025,0.2500918329864087,0.2555009894833252,0.2584651106448118,0.2570628185503748,0.2600515950418423,0.2674546790788829,0.2636956789363535,0.2653535600685099,0.0,0.26291302559413254,0.2799386593747163,0.2869101506789855,0.2690508432845008
T12,0.2482263043618128,0.2498469824947974,0.2501765695817708,0.2528351767111604,0.2553008419888145,0.2585973962171456,0.25636990475317045,0.2641624862351646,0.2621891159812854,0.26357802139862324,0.26291302559413254,0.0,0.2738499536894103,0.2797644871397582,0.27831785437359696
T13,0.26525193814239656,0.2684187949416992,0.2675233644859813,0.2697139303482587,0.2738853503184713,0.274922791846819,0.2738668017219549,0.2805351747949935,0.2770299609205384,0.28060365517920693,0.2799386593747163,0.2738499536894103,0.0,0.2531714389271475,0.29534348815418066
T14,0.2687381103360812,0.2768138314294535,0.2741736946666238,0.2788425637834474,0.2784016876589936,0.2791646070192783,0.2794490987560294,0.2905401225020108,0.286441835910813,0.2830979835974594,0.2869101506789855,0.2797644871397582,0.2531714389271475,0.0,0.30231497945844993
T15,0.266296945913442,0.2701096612142376,0.2694709772226304,0.2706669143600222,0.273012745520596,0.2733485193621868,0.2751771255060729,0.2807049864898059,0.2782210676068534,0.2816486629502524,0.2690508432845008,0.27831785437359696,0.29534348815418066,0.30231497945844993,0.0
