,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1427314925386018,0.0854032409435024,0.1054918755510769,0.144295663956446,0.1615693156179493,0.2016578029913434,0.2099191171860304,0.20095104346510895,0.2113011338720792,0.2476423990946812,0.24517433166879213,0.2645663313721769,0.2687381103360812,0.2619664875118558
T2,0.1427314925386018,0.0,0.1481393378435392,0.1508595070626635,0.1514616321559074,0.16660613888823944,0.2058362096015061,0.2134884907809949,0.2059022025891159,0.2170960897241588,0.2533063923585599,0.2502111549390823,0.266256536450323,0.2763920088893864,0.2701096612142376
T3,0.0854032409435024,0.1481393378435392,0.0,0.11089972085601432,0.1504931206623645,0.16697716092288672,0.204592508940335,0.21385951281564214,0.2051643768400392,0.21380738945142347,0.2561623024672389,0.2480117459929034,0.2675233644859813,0.2745001234263144,0.2694709772226304
T4,0.1054918755510769,0.1508595070626635,0.11089972085601432,0.0,0.1516340670795266,0.169697330142011,0.2097858175154051,0.21657968203476646,0.2104448982117443,0.2165275586705478,0.2588824716863632,0.25330234619285386,0.2697139303482587,0.2788425637834474,0.2715318657714797
T5,0.144295663956446,0.1514616321559074,0.1504931206623645,0.1516340670795266,0.0,0.17029945523525492,0.2085893416927899,0.2176438222167879,0.2096811830824146,0.21712968376379171,0.2594845967796071,0.2553008419888145,0.2720005511707096,0.2784016876589936,0.273012745520596
T6,0.1615693156179493,0.16660613888823944,0.16697716092288672,0.169697330142011,0.17029945523525492,0.0,0.21043893069642378,0.2152153987167736,0.20973217117018933,0.21718067185156645,0.2595355848673818,0.25395545937387254,0.274922791846819,0.28013631332417666,0.2733485193621868
T7,0.2016578029913434,0.2058362096015061,0.204592508940335,0.2097858175154051,0.2085893416927899,0.21043893069642378,0.0,0.147001691835328,0.21601354433769862,0.1890335503254882,0.2600515950418423,0.2539268837625807,0.27202296364719253,0.2801077377128849,0.2721564033412066
T8,0.2099191171860304,0.2134884907809949,0.21385951281564214,0.21657968203476646,0.2176438222167879,0.2152153987167736,0.147001691835328,0.0,0.22280740885705996,0.1890169902912621,0.2674546790788829,0.2641624862351646,0.27881682816655384,0.28690160223224626,0.2807049864898059
T9,0.20095104346510895,0.2059022025891159,0.2051643768400392,0.2104448982117443,0.2096811830824146,0.20973217117018933,0.21601354433769862,0.22280740885705996,0.0,0.2227552854928413,0.2651101985086567,0.2595300730151474,0.2770299609205384,0.286441835910813,0.2782210676068534
T10,0.2113011338720792,0.2170960897241588,0.21380738945142347,0.2165275586705478,0.21712968376379171,0.21718067185156645,0.1890335503254882,0.1890169902912621,0.2227552854928413,0.0,0.26624875041123275,0.2638659573167003,0.2787647048023352,0.2830979835974594,0.2708027410670582
T11,0.2476423990946812,0.2533063923585599,0.2561623024672389,0.2588824716863632,0.2594845967796071,0.2595355848673818,0.2600515950418423,0.2674546790788829,0.2651101985086567,0.26624875041123275,0.0,0.1729891006515253,0.2794300791829196,0.2869101506789855,0.27745283294815626
T12,0.24517433166879213,0.2502111549390823,0.2480117459929034,0.25330234619285386,0.2553008419888145,0.25395545937387254,0.2539268837625807,0.2641624862351646,0.2595300730151474,0.2638659573167003,0.1729891006515253,0.0,0.2738499536894103,0.27982404182632514,0.2703667240954959
T13,0.2645663313721769,0.266256536450323,0.2675233644859813,0.2697139303482587,0.2720005511707096,0.274922791846819,0.27202296364719253,0.27881682816655384,0.2770299609205384,0.2787647048023352,0.2794300791829196,0.2738499536894103,0.0,0.30003080763971446,0.2920794732680362
T14,0.2687381103360812,0.2763920088893864,0.2745001234263144,0.2788425637834474,0.2784016876589936,0.28013631332417666,0.2801077377128849,0.28690160223224626,0.286441835910813,0.2830979835974594,0.2869101506789855,0.27982404182632514,0.30003080763971446,0.0,0.2358717917821424
T15,0.2619664875118558,0.2701096612142376,0.2694709772226304,0.2715318657714797,0.273012745520596,0.2733485193621868,0.2721564033412066,0.2807049864898059,0.2782210676068534,0.2708027410670582,0.27745283294815626,0.2703667240954959,0.2920794732680362,0.2358717917821424,0.0
