,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.0862953692115143,-1.0,0.1054918755510769,-1.0,-1.0,0.211962798614066,0.2099191171860304,0.2049990555940313,0.2113011338720792,0.2476423990946812,-1.0,-1.0,0.2687381103360812,0.2619664875118558
T2,0.0862953692115143,0.0,0.0410321489001692,0.1065313111545988,0.1514616321559074,-1.0,0.2058362096015061,0.2134250243427458,0.2059022025891159,0.2170960897241588,-1.0,0.2498469824947974,0.266256536450323,0.2768138314294535,0.2701096612142376
T3,-1.0,0.0410321489001692,0.0,-1.0,0.1504931206623645,-1.0,-1.0,0.2115922637148765,-1.0,-1.0,-1.0,-1.0,0.2675233644859813,-1.0,-1.0
T4,0.1054918755510769,0.1065313111545988,-1.0,0.0,-1.0,0.164458348668875,0.2062409197144842,0.2147163775070751,-1.0,0.2183400760083364,0.2576197836166924,0.2528458302400396,-1.0,0.2788425637834474,0.2706669143600222
T5,-1.0,0.1514616321559074,0.1504931206623645,-1.0,0.0,0.1709433040078201,0.2085893416927899,0.2176438222167879,0.2090847541084508,0.22497564539698,-1.0,0.2553008419888145,0.2738853503184713,0.2784016876589936,0.273012745520596
T6,-1.0,-1.0,-1.0,0.164458348668875,0.1709433040078201,0.0,0.2090612039713459,0.2152153987167736,-1.0,0.217486604968339,0.2595002762600528,0.2585973962171456,0.274922791846819,0.2791646070192783,0.2733485193621868
T7,0.211962798614066,0.2058362096015061,-1.0,0.2062409197144842,0.2085893416927899,0.2090612039713459,0.0,0.147001691835328,-1.0,0.1890335503254882,0.2600515950418423,0.2578636134876698,0.2738668017219549,-1.0,-1.0
T8,0.2099191171860304,0.2134250243427458,0.2115922637148765,0.2147163775070751,0.2176438222167879,0.2152153987167736,0.147001691835328,0.0,-1.0,0.1890169902912621,0.2674546790788829,0.2641624862351646,0.2805351747949935,0.2905401225020108,0.2807049864898059
T9,0.2049990555940313,0.2059022025891159,-1.0,-1.0,0.2090847541084508,-1.0,-1.0,-1.0,0.0,0.1877486077963405,0.2636956789363535,-1.0,-1.0,0.286441835910813,0.2782210676068534
T10,0.2113011338720792,0.2170960897241588,-1.0,0.2183400760083364,0.22497564539698,0.217486604968339,0.1890335503254882,0.1890169902912621,0.1877486077963405,0.0,0.2653535600685099,0.2638659573167003,-1.0,-1.0,-1.0
T11,0.2476423990946812,-1.0,-1.0,0.2576197836166924,-1.0,0.2595002762600528,0.2600515950418423,0.2674546790788829,0.2636956789363535,0.2653535600685099,0.0,0.1729891006515253,-1.0,0.2869101506789855,0.2690508432845008
T12,-1.0,0.2498469824947974,-1.0,0.2528458302400396,0.2553008419888145,0.2585973962171456,0.2578636134876698,0.2641624862351646,-1.0,0.2638659573167003,0.1729891006515253,0.0,0.2738499536894103,0.2797644871397582,-1.0
T13,-1.0,0.266256536450323,0.2675233644859813,-1.0,0.2738853503184713,0.274922791846819,0.2738668017219549,0.2805351747949935,-1.0,-1.0,-1.0,0.2738499536894103,0.0,0.2531714389271475,0.2400263173634786
T14,0.2687381103360812,0.2768138314294535,-1.0,0.2788425637834474,0.2784016876589936,0.2791646070192783,-1.0,0.2905401225020108,0.286441835910813,-1.0,0.2869101506789855,0.2797644871397582,0.2531714389271475,0.0,0.2358717917821424
T15,0.2619664875118558,0.2701096612142376,-1.0,0.2706669143600222,0.273012745520596,0.2733485193621868,-1.0,0.2807049864898059,0.2782210676068534,-1.0,0.2690508432845008,-1.0,0.2400263173634786,0.2358717917821424,0.0
