method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,imputed_variables,optimized_variables,success,success_numerical,success_valid_matrix,status,reason,error_message,masked_file,completed_file,run_log_file,s_top,initial_known_graph_components,joins_performed,n_pair_selection_failures,last_active_clusters,tree_edges_final,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,epochs_used,convergence_epoch,njstar_config_json
NJstar-STRICT,30,0.3,0.3047619047619048,1,55,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep01_seed55.csv,NJstar_STRICT_completed_p30_rep01_seed55.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep01_seed55.log,15,1,13,0,2,27,0.03516526500015971,74.6403245174846,0.027106603004975957,0.16404466926919692,1.596741296496911,46.74540871538672,0.02022617682793644,0.02411717079130171,0.016288846584072456,0.8952403033797504,0.7723607038123166,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,2,56,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep02_seed56.csv,NJstar_STRICT_completed_p30_rep02_seed56.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep02_seed56.log,15,1,13,0,2,27,0.015266391000068325,46.404403480785,0.020493929048707133,0.10198769995776923,0.9927050539513311,46.74540871538672,0.02022617682793644,0.03561916085748173,0.016757038581556964,0.8669898281327921,0.935850439882698,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,3,57,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep03_seed57.csv,NJstar_STRICT_completed_p30_rep03_seed57.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep03_seed57.log,15,1,13,0,2,27,0.008560177999925145,40.32479893716925,0.017728145126258203,0.08862593173004231,0.8626472640915414,46.74540871538672,0.02022617682793644,0.024678593532982976,0.012495208494346696,0.9100911635361643,0.9153225806451611,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,4,58,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep04_seed58.csv,NJstar_STRICT_completed_p30_rep04_seed58.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep04_seed58.log,15,1,13,0,2,27,0.016952542000126414,43.78849977027617,0.019011986756961495,0.096238461033574,0.9367443985116498,46.74540871538672,0.02022617682793644,0.015565156687044703,0.00510268503950966,0.9487487823082411,0.9534457478005866,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,5,59,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep05_seed59.csv,NJstar_STRICT_completed_p30_rep05_seed59.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep05_seed59.log,15,1,13,0,2,27,0.009091275999935533,78.06795343482614,0.028240085482310648,0.17157791963698052,1.670066763351013,46.74540871538672,0.02022617682793644,0.015314354373396968,0.011486710702966443,0.9533714381885562,0.8691348973607038,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,6,60,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep06_seed60.csv,NJstar_STRICT_completed_p30_rep06_seed60.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep06_seed60.log,15,1,13,0,2,27,0.008116931999893495,93.20265621261677,0.035843614545607645,0.2048410026650918,1.9938355182663785,46.74540871538672,0.02022617682793644,0.022784744518205613,0.01806779123710088,0.9008665111598275,0.8016862170087976,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,7,61,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep07_seed61.csv,NJstar_STRICT_completed_p30_rep07_seed61.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep07_seed61.log,15,1,13,0,2,27,0.008181635000028109,62.42459223528698,0.026094884991000253,0.13719690601161974,1.3354165457267528,46.74540871538672,0.02022617682793644,0.021172900306251387,0.01457047384705219,0.9417190096804613,0.9270527859237535,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,8,62,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep08_seed62.csv,NJstar_STRICT_completed_p30_rep08_seed62.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep08_seed62.log,15,1,13,0,2,27,0.008510698000009143,131.6989834536142,0.040583964072651385,0.28944831528266857,2.817367246812929,46.74540871538672,0.02022617682793644,0.022743580421306822,0.018700005389800305,0.8658240926066267,0.753299120234604,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,9,63,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep09_seed63.csv,NJstar_STRICT_completed_p30_rep09_seed63.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep09_seed63.log,15,1,13,0,2,27,0.008994294000103764,158.83191447317955,0.05008851995856311,0.34908113071028474,3.397807802692255,46.74540871538672,0.02022617682793644,0.03460643147955027,0.02657977816895024,0.8786108231259806,0.8555718475073313,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.3047619047619048,10,64,105,32,73,32,0,True,True,True,OK,OK,,missing_p30_rep10_seed64.csv,NJstar_STRICT_completed_p30_rep10_seed64.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep10_seed64.log,15,1,13,0,2,27,0.008312726999974984,49.6996853213155,0.020956946395016728,0.10923007762926483,1.0631992892374977,46.74540871538672,0.02022617682793644,0.040719500148689754,0.022647116148860405,0.8301837299942034,0.8651026392961876,0.0,0.0,13,13,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
