method,pct_missing,replicate,mask_seed,file,path,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,masked_file,completed_file,error_message
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep01_seed55.csv,0.3047619047619048,105,32,73,0,32,0.0241171707913017,0.0162888465840724,0.8952403033797504,0.7723607038123166,0.0351652650001597,True,True,True,13,13,0.0271066030049759,1.596741296496911,0.0,0.0,missing_p30_rep01_seed55.csv,NJstar_STRICT_completed_p30_rep01_seed55.csv,
NJstar-STRICT,30,2,56,NJstar_STRICT_completed_p30_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep02_seed56.csv,0.3047619047619048,105,32,73,0,32,0.0356191608574817,0.0167570385815569,0.8669898281327921,0.935850439882698,0.0152663910000683,True,True,True,13,13,0.0204939290487071,0.9927050539513312,0.0,0.0,missing_p30_rep02_seed56.csv,NJstar_STRICT_completed_p30_rep02_seed56.csv,
NJstar-STRICT,30,3,57,NJstar_STRICT_completed_p30_rep03_seed57.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep03_seed57.csv,0.3047619047619048,105,32,73,0,32,0.0246785935329829,0.0124952084943466,0.9100911635361644,0.9153225806451613,0.0085601779999251,True,True,True,13,13,0.0177281451262582,0.8626472640915414,0.0,0.0,missing_p30_rep03_seed57.csv,NJstar_STRICT_completed_p30_rep03_seed57.csv,
NJstar-STRICT,30,4,58,NJstar_STRICT_completed_p30_rep04_seed58.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep04_seed58.csv,0.3047619047619048,105,32,73,0,32,0.0155651566870447,0.0051026850395096,0.9487487823082412,0.9534457478005866,0.0169525420001264,True,True,True,13,13,0.0190119867569614,0.9367443985116498,0.0,0.0,missing_p30_rep04_seed58.csv,NJstar_STRICT_completed_p30_rep04_seed58.csv,
NJstar-STRICT,30,5,59,NJstar_STRICT_completed_p30_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep05_seed59.csv,0.3047619047619048,105,32,73,0,32,0.0153143543733969,0.0114867107029664,0.9533714381885562,0.8691348973607038,0.0090912759999355,True,True,True,13,13,0.0282400854823106,1.670066763351013,0.0,0.0,missing_p30_rep05_seed59.csv,NJstar_STRICT_completed_p30_rep05_seed59.csv,
NJstar-STRICT,30,6,60,NJstar_STRICT_completed_p30_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep06_seed60.csv,0.3047619047619048,105,32,73,0,32,0.0227847445182056,0.0180677912371008,0.9008665111598276,0.8016862170087976,0.0081169319998934,True,True,True,13,13,0.0358436145456076,1.9938355182663785,0.0,0.0,missing_p30_rep06_seed60.csv,NJstar_STRICT_completed_p30_rep06_seed60.csv,
NJstar-STRICT,30,7,61,NJstar_STRICT_completed_p30_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep07_seed61.csv,0.3047619047619048,105,32,73,0,32,0.0211729003062513,0.0145704738470521,0.9417190096804612,0.9270527859237536,0.0081816350000281,True,True,True,13,13,0.0260948849910002,1.3354165457267528,0.0,0.0,missing_p30_rep07_seed61.csv,NJstar_STRICT_completed_p30_rep07_seed61.csv,
NJstar-STRICT,30,8,62,NJstar_STRICT_completed_p30_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep08_seed62.csv,0.3047619047619048,105,32,73,0,32,0.0227435804213068,0.0187000053898003,0.8658240926066267,0.753299120234604,0.0085106980000091,True,True,True,13,13,0.0405839640726513,2.817367246812929,0.0,0.0,missing_p30_rep08_seed62.csv,NJstar_STRICT_completed_p30_rep08_seed62.csv,
NJstar-STRICT,30,9,63,NJstar_STRICT_completed_p30_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep09_seed63.csv,0.3047619047619048,105,32,73,0,32,0.0346064314795502,0.0265797781689502,0.8786108231259806,0.8555718475073313,0.0089942940001037,True,True,True,13,13,0.0500885199585631,3.397807802692255,0.0,0.0,missing_p30_rep09_seed63.csv,NJstar_STRICT_completed_p30_rep09_seed63.csv,
NJstar-STRICT,30,10,64,NJstar_STRICT_completed_p30_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep10_seed64.csv,0.3047619047619048,105,32,73,0,32,0.0407195001486897,0.0226471161488604,0.8301837299942034,0.8651026392961876,0.0083127269999749,True,True,True,13,13,0.0209569463950167,1.0631992892374975,0.0,0.0,missing_p30_rep10_seed64.csv,NJstar_STRICT_completed_p30_rep10_seed64.csv,
