method,pct_missing,replicate,mask_seed,file,path,success_tree,error_message_tree,nj_tree_file,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,runtime_seconds,success,success_numerical,success_valid_matrix,epochs_used,convergence_epoch,Delta_normalized_completed,Delta_relative_to_original,max_abs_error_observed,mean_abs_error_observed,RF,nRF,shared_splits,ref_splits,est_splits,split_precision,split_recall,split_F1,false_positive_splits,false_negative_splits,nj_vs_ML_pat_MAE,nj_vs_ML_pat_RMSE,nj_vs_ML_pat_Pearson,nj_vs_ML_pat_Spearman,input_vs_ML_pat_MAE,input_vs_ML_pat_RMSE,input_vs_ML_pat_Pearson,input_vs_ML_pat_Spearman,n_taxa,matched_matrix_labels_json
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep01_seed55.csv,True,,NJstar-STRICT_NJ_p30_rep01_seed55.treefile,0.3047619047619048,105,32,73,0,32,0.0241171707913017,0.0162888465840724,0.8952403033797504,0.7723607038123166,0.0351652650001597,True,True,True,13,13,0.0271066030049759,1.596741296496911,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T12|T14|T15;T12|T13|T14|T15,T11|T12;T13|T14|T15,0.40319733447341216,0.45414741815601517,0.9241418942823849,0.8775243624300227,0.4033016528373308,0.45398162943084075,0.9265744713079572,0.8894464026539497,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,2,56,NJstar_STRICT_completed_p30_rep02_seed56.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep02_seed56.csv,True,,NJstar-STRICT_NJ_p30_rep02_seed56.treefile,0.3047619047619048,105,32,73,0,32,0.0356191608574817,0.0167570385815569,0.8669898281327921,0.935850439882698,0.0152663910000683,True,True,True,13,13,0.0204939290487071,0.9927050539513312,0.0,0.0,8.0,0.3333333333333333,8.0,12.0,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,T1|T3;T2|T6;T1|T3|T4;T1|T3|T4|T5,T2|T3;T1|T2|T3;T1|T2|T3|T4;T1|T2|T3|T4|T5,0.4064099880830349,0.4542633381704274,0.9594507781519206,0.9729421521874352,0.4065018139642438,0.453978805006763,0.9554028035429534,0.9713249015135808,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,3,57,NJstar_STRICT_completed_p30_rep03_seed57.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep03_seed57.csv,True,,NJstar-STRICT_NJ_p30_rep03_seed57.treefile,0.3047619047619048,105,32,73,0,32,0.0246785935329829,0.0124952084943466,0.9100911635361644,0.9153225806451613,0.0085601779999251,True,True,True,13,13,0.0177281451262582,0.8626472640915414,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T10|T11|T12|T13|T14|T15;T1|T2|T3|T4|T5|T6|T9,T7|T8|T9;T10|T7|T8|T9,0.40150518722775524,0.45205349837848,0.9258902340962041,0.9504457806344597,0.40144442235731814,0.45202919476289005,0.9252972403263203,0.949409081484553,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,4,58,NJstar_STRICT_completed_p30_rep04_seed58.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep04_seed58.csv,True,,NJstar-STRICT_NJ_p30_rep04_seed58.treefile,0.3047619047619048,105,32,73,0,32,0.0155651566870447,0.0051026850395096,0.9487487823082412,0.9534457478005866,0.0169525420001264,True,True,True,13,13,0.0190119867569614,0.9367443985116498,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T11|T13|T14|T15,T11|T12,0.40394226967739544,0.4530710498993939,0.9517296231280136,0.9703504043126684,0.4038630668868703,0.45299401209049217,0.9510485772236096,0.9681526021148663,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,5,59,NJstar_STRICT_completed_p30_rep05_seed59.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep05_seed59.csv,True,,NJstar-STRICT_NJ_p30_rep05_seed59.treefile,0.3047619047619048,105,32,73,0,32,0.0153143543733969,0.0114867107029664,0.9533714381885562,0.8691348973607038,0.0090912759999355,True,True,True,13,13,0.0282400854823106,1.670066763351013,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T10|T7;T13|T15;T8|T9,T14|T15;T7|T8;T7|T8|T9,0.4042135628091219,0.452943736248972,0.9604359653619379,0.9717914161310388,0.4041060232908117,0.45276099497887323,0.9568095636304844,0.9553182666390213,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,6,60,NJstar_STRICT_completed_p30_rep06_seed60.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep06_seed60.csv,True,,NJstar-STRICT_NJ_p30_rep06_seed60.treefile,0.3047619047619048,105,32,73,0,32,0.0227847445182056,0.0180677912371008,0.9008665111598276,0.8016862170087976,0.0081169319998934,True,True,True,13,13,0.0358436145456076,1.9938355182663785,0.0,0.0,2.0,0.08333333333333333,11.0,12.0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,T13|T15,T14|T15,0.40655688626914416,0.45690626955509955,0.9322835168625175,0.8920277835372175,0.4062883142888533,0.45669473197981003,0.9214767033168502,0.8870619946091644,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,7,61,NJstar_STRICT_completed_p30_rep07_seed61.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep07_seed61.csv,True,,NJstar-STRICT_NJ_p30_rep07_seed61.treefile,0.3047619047619048,105,32,73,0,32,0.0211729003062513,0.0145704738470521,0.9417190096804612,0.9270527859237536,0.0081816350000281,True,True,True,13,13,0.0260948849910002,1.3354165457267528,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T2|T4;T2|T3|T4,T2|T3;T1|T2|T3,0.40600558806553394,0.4544113944385924,0.969558459918692,0.9515343147418619,0.40573060168198294,0.45396713705333824,0.9681780173777208,0.9534418411776903,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,8,62,NJstar_STRICT_completed_p30_rep08_seed62.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep08_seed62.csv,True,,NJstar-STRICT_NJ_p30_rep08_seed62.treefile,0.3047619047619048,105,32,73,0,32,0.0227435804213068,0.0187000053898003,0.8658240926066267,0.753299120234604,0.0085106980000091,True,True,True,13,13,0.0405839640726513,2.817367246812929,0.0,0.0,4.0,0.16666666666666666,10.0,12.0,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,T13|T14;T11|T12|T15,T14|T15;T13|T14|T15,0.4040846609715211,0.45335294164703016,0.9389105605544814,0.8945262284884926,0.4044915171250754,0.4532570550165411,0.9419799985689419,0.912253783951897,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,9,63,NJstar_STRICT_completed_p30_rep09_seed63.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep09_seed63.csv,True,,NJstar-STRICT_NJ_p30_rep09_seed63.treefile,0.3047619047619048,105,32,73,0,32,0.0346064314795502,0.0265797781689502,0.8786108231259806,0.8555718475073313,0.0089942940001037,True,True,True,13,13,0.0500885199585631,3.397807802692255,0.0,0.0,6.0,0.25,9.0,12.0,12.0,0.75,0.75,0.75,T1|T2;T8|T9;T1|T2|T4,T2|T3;T7|T8;T1|T2|T3,0.39945844841989714,0.4484974138145958,0.960391061058585,0.9547066141405763,0.39978628919241044,0.4487889915114671,0.9267610888163524,0.9322413435620982,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
NJstar-STRICT,30,10,64,NJstar_STRICT_completed_p30_rep10_seed64.csv,njstar_strict_outputs/completed_matrices/NJstar_STRICT_completed_p30_rep10_seed64.csv,True,,NJstar-STRICT_NJ_p30_rep10_seed64.treefile,0.3047619047619048,105,32,73,0,32,0.0407195001486897,0.0226471161488604,0.8301837299942034,0.8651026392961876,0.0083127269999749,True,True,True,13,13,0.0209569463950167,1.0631992892374975,0.0,0.0,12.0,0.5,6.0,12.0,12.0,0.5,0.5,0.5,T1|T2;T4|T6;T1|T2|T5;T1|T2|T3|T5;T11|T13|T14|T15;T1|T12|T2|T3|T4|T5|T6,T11|T12;T2|T3;T1|T2|T3;T1|T2|T3|T4;T1|T2|T3|T4|T5;T11|T12|T13|T14|T15,0.40462606006442725,0.4548139885350158,0.9280265337355443,0.9346672195728799,0.40425690384398205,0.4540373901283503,0.9268067243981948,0.9357039187227866,15,"{""0"":""T1"",""1"":""T2"",""2"":""T3"",""3"":""T4"",""4"":""T5"",""5"":""T6"",""6"":""T7"",""7"":""T8"",""8"":""T9"",""9"":""T10"",""10"":""T11"",""11"":""T12"",""12"":""T13"",""13"":""T14"",""14"":""T15""}"
