,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.11596477995355108,0.07490848956739206,0.08420781642182684,0.07490848958067971,0.07490848957527466,0.08229068761313077,0.12431419544869382,0.11386735392392304,0.08337868030673333,0.09064682102757854,0.09457452026063713,0.031096965165610793,0.08286260896721645
T2,0.1562,0.0,0.09078997678605569,0.1827715381368109,0.18550071372472346,0.1827715381236239,0.18277153814751712,0.17866121486072897,0.09664304847028744,0.09064296762864452,0.17504249400798694,0.14024081127446333,0.1621,0.1586,0.18532376133829276
T3,0.11596477995355108,0.09078997678605569,0.0,0.12581258457626304,0.10596148336105271,0.12581258420728914,0.125812584138723,0.1505,0.1412530448777154,0.0841549799691777,0.10924885821197118,0.166,0.116892851137545,0.12680138794485923,0.12325400689347045
T4,0.07490848956739206,0.1827715381368109,0.12581258457626304,0.0,0.048335440980213175,0.00031242954843511625,0.0003124294859147541,0.0399783328339581,0.1074474377579003,0.10724888597170987,0.0625539464546837,0.1094463274962952,0.1131449872548332,0.07760972754257771,0.03904817833015854
T5,0.08420781642182684,0.18550071372472346,0.10596148336105271,0.048335440980213175,0.0,0.04833544004217145,0.04833544023854057,0.05261685631817309,0.09063831574122472,0.1110272370238625,0.0359,0.0809923007504036,0.10075086653261639,0.08569090062395163,0.0557
T6,0.07490848958067971,0.1827715381236239,0.12581258420728914,0.00031242954843511625,0.04833544004217145,0.0,0.0003124293570784895,0.039978333176542216,0.10744745819711185,0.10724887815099093,0.06255394834870838,0.10944636016923899,0.1131449483882464,0.07760972754256394,0.03904817808830245
T7,0.07490848957527466,0.18277153814751712,0.125812584138723,0.0003124294859147541,0.04833544023854057,0.0003124293570784895,0.0,0.039978333115553356,0.10744745783617449,0.10724888551026866,0.06255394820178217,0.10944634313906926,0.11314494838804794,0.07760972757380123,0.03904817806627263
T8,0.08229068761313077,0.17866121486072897,0.1505,0.0399783328339581,0.05261685631817309,0.039978333176542216,0.039978333115553356,0.0,0.11358599555415796,0.10400165373502253,0.07904430640650306,0.115641261262441,0.10363948503871374,0.08103150716664126,0.05049653501793501
T9,0.12431419544869382,0.09664304847028744,0.1412530448777154,0.1074474377579003,0.09063831574122472,0.10744745819711185,0.10744745783617449,0.11358599555415796,0.0,0.1224,0.1223,0.11726386537521293,0.11407256218794157,0.1207942781452161,0.1019007288809702
T10,0.11386735392392304,0.09064296762864452,0.0841549799691777,0.10724888597170987,0.1110272370238625,0.10724887815099093,0.10724888551026866,0.10400165373502253,0.1224,0.0,0.10756406876327583,0.1424,0.07665255761096355,0.10777072212174055,0.10128320329444199
T11,0.08337868030673333,0.17504249400798694,0.10924885821197118,0.0625539464546837,0.0359,0.06255394834870838,0.06255394820178217,0.07904430640650306,0.1223,0.10756406876327583,0.0,0.08832056450093868,0.10142164185908673,0.08566879083427907,0.057590763819210064
T12,0.09064682102757854,0.14024081127446333,0.166,0.1094463274962952,0.0809923007504036,0.10944636016923899,0.10944634313906926,0.115641261262441,0.11726386537521293,0.1424,0.08832056450093868,0.0,0.0655,0.09814837929107834,0.1266618724065961
T13,0.09457452026063713,0.1621,0.116892851137545,0.1131449872548332,0.10075086653261639,0.1131449483882464,0.11314494838804794,0.10363948503871374,0.11407256218794157,0.07665255761096355,0.10142164185908673,0.0655,0.0,0.09428600880942976,0.10483259232472018
T14,0.031096965165610793,0.1586,0.12680138794485923,0.07760972754257771,0.08569090062395163,0.07760972754256394,0.07760972757380123,0.08103150716664126,0.1207942781452161,0.10777072212174055,0.08566879083427907,0.09814837929107834,0.09428600880942976,0.0,0.08344431977259228
T15,0.08286260896721645,0.18532376133829276,0.12325400689347045,0.03904817833015854,0.0557,0.03904817808830245,0.03904817806627263,0.05049653501793501,0.1019007288809702,0.10128320329444199,0.057590763819210064,0.1266618724065961,0.10483259232472018,0.08344431977259228,0.0
