,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,-1.0,-1.0,-1.0,0.143,-1.0,0.1369,-1.0,-1.0,-1.0,0.1556,-1.0,-1.0,0.1456
T2,0.1562,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1596,0.1559,0.1573,-1.0,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,0.1534,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1561,-1.0
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.1525,0.1556,0.1532,0.1548,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0359,0.0603,-1.0,-1.0,-1.0
T6,0.143,-1.0,0.1534,-1.0,-1.0,0.0,-1.0,0.1137,0.0559,-1.0,-1.0,0.1395,0.1295,0.1254,-1.0
T7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.1261,0.1413,0.133,-1.0,-1.0
T8,0.1369,-1.0,-1.0,0.1525,-1.0,0.1137,-1.0,0.0,0.1113,0.122,0.1221,0.1362,-1.0,-1.0,0.1224
T9,-1.0,0.1596,-1.0,0.1556,-1.0,0.0559,-1.0,0.1113,0.0,0.1224,-1.0,-1.0,0.1263,-1.0,0.1227
T10,-1.0,0.1559,-1.0,0.1532,-1.0,-1.0,-1.0,0.122,0.1224,0.0,0.1275,-1.0,-1.0,0.1298,-1.0
T11,-1.0,0.1573,-1.0,0.1548,0.0359,-1.0,0.1261,0.1221,-1.0,0.1275,0.0,-1.0,-1.0,-1.0,0.0558
T12,0.1556,-1.0,-1.0,-1.0,0.0603,0.1395,0.1413,0.1362,-1.0,-1.0,-1.0,0.0,0.0655,-1.0,-1.0
T13,-1.0,-1.0,-1.0,-1.0,-1.0,0.1295,0.133,-1.0,0.1263,-1.0,-1.0,0.0655,0.0,-1.0,-1.0
T14,-1.0,-1.0,0.1561,-1.0,-1.0,0.1254,-1.0,-1.0,-1.0,0.1298,-1.0,-1.0,-1.0,0.0,0.0583
T15,0.1456,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1224,0.1227,-1.0,0.0558,-1.0,-1.0,0.0583,0.0
