,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.04189014012409001,0.1382347388130975,0.06843965256565662,0.143,0.07374634509961667,0.1369,0.0811131769206293,0.021961529372679388,0.1417,0.1556,0.08368282740641804,0.13038987972785437,0.1456
T2,0.1562,0.0,0.08889663288829586,0.04008267743184447,0.04872192005776821,0.09723674732071902,0.1584,0.06598396626644965,0.1596,0.1559,0.1573,0.16988300000000003,0.10526191151461381,0.12251381343824547,0.0822473386714018
T3,0.04189014012409001,0.08889663288829586,0.0,0.07439831969146501,0.0371086743877298,0.1534,0.13114967646419734,0.11641637971322337,0.1336115311443462,0.028238924014626583,0.12435383504915859,0.13459285166536383,0.06926300847952167,0.1561,0.08650718700640131
T4,0.1382347388130975,0.04008267743184447,0.07439831969146501,0.0,0.06488726230136349,0.10120859647997678,0.1548,0.1525,0.1556,0.1532,0.1548,0.1674,0.1581,0.1548,0.06550907316389659
T5,0.06843965256565662,0.04872192005776821,0.0371086743877298,0.06488726230136349,0.0,0.0858859526408969,0.11093330884535553,0.05148350094182098,0.1256,0.0472761502408382,0.0359,0.0603,0.01790343585551311,0.05991580701147437,0.0557
T6,0.143,0.09723674732071902,0.1534,0.10120859647997678,0.0858859526408969,0.0,0.0508043763232888,0.1137,0.0559,0.16526754878935648,0.11066294254803904,0.1395,0.1295,0.1254,0.1255
T7,0.07374634509961667,0.1584,0.13114967646419734,0.1548,0.11093330884535553,0.0508043763232888,0.0,0.1268,0.012227637781680584,0.121,0.1261,0.1413,0.133,0.09788256902222853,0.13486400865117343
T8,0.1369,0.06598396626644965,0.11641637971322337,0.1525,0.05148350094182098,0.1137,0.1268,0.0,0.1113,0.122,0.1221,0.1362,0.04880190887618627,0.06812499740853473,0.1224
T9,0.0811131769206293,0.1596,0.1336115311443462,0.1556,0.1256,0.0559,0.012227637781680584,0.1113,0.0,0.1224,0.1223,0.11784812061596128,0.1263,0.08216053143915744,0.1227
T10,0.021961529372679388,0.1559,0.028238924014626583,0.1532,0.0472761502408382,0.16526754878935648,0.121,0.122,0.1224,0.0,0.1275,0.1424,0.05484161141021911,0.1298,0.12757232472040608
T11,0.1417,0.1573,0.12435383504915859,0.1548,0.0359,0.11066294254803904,0.1261,0.1221,0.1223,0.1275,0.0,0.018128646917511787,0.0467,0.0414,0.0558
T12,0.1556,0.16988300000000003,0.13459285166536383,0.1674,0.0603,0.1395,0.1413,0.1362,0.11784812061596128,0.1424,0.018128646917511787,0.0,0.0655,0.03648845372497023,0.04031525488772893
T13,0.08368282740641804,0.10526191151461381,0.06926300847952167,0.1581,0.01790343585551311,0.1295,0.133,0.04880190887618627,0.1263,0.05484161141021911,0.0467,0.0655,0.0,0.05206378080579962,0.08235441328651147
T14,0.13038987972785437,0.12251381343824547,0.1561,0.1548,0.05991580701147437,0.1254,0.09788256902222853,0.06812499740853473,0.08216053143915744,0.1298,0.0414,0.03648845372497023,0.05206378080579962,0.0,0.0583
T15,0.1456,0.0822473386714018,0.08650718700640131,0.06550907316389659,0.0557,0.1255,0.13486400865117343,0.1224,0.1227,0.12757232472040608,0.0558,0.04031525488772893,0.08235441328651147,0.0583,0.0
