,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1556,-1.0,-1.0,0.1456
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1596,0.1559,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1532,-1.0,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T6,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1137,0.0559,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.1413,0.133,-1.0,-1.0
T8,-1.0,-1.0,-1.0,-1.0,-1.0,0.1137,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,0.1596,-1.0,-1.0,-1.0,0.0559,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T10,-1.0,0.1559,-1.0,0.1532,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.1275,-1.0,-1.0,-1.0,-1.0
T11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1275,0.0,-1.0,-1.0,-1.0,-1.0
T12,0.1556,-1.0,-1.0,-1.0,-1.0,-1.0,0.1413,-1.0,-1.0,-1.0,-1.0,0.0,0.0655,-1.0,-1.0
T13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.133,-1.0,-1.0,-1.0,-1.0,0.0655,0.0,-1.0,-1.0
T14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
T15,0.1456,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
