,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.15306612484033397,0.15310655880235496,0.14955438128462173,0.143,0.1470285061975808,0.1369,0.1414405403819998,0.14143461373345662,0.14230619414449153,0.1556,0.14301252792470004,0.14330205050500783,0.1456
T2,0.1562,0.0,0.15627854968815058,0.15590000000000015,0.16282033689952607,0.15781888358806156,0.16029446181248513,0.1542343475757701,0.1596,0.1559,0.1573,0.16186238639161996,0.15627848353960438,0.15656800611991217,0.15405879781823764
T3,0.15306612484033397,0.15627854968815058,0.0,0.1533214503118498,0.1598228035612043,0.1534,0.15729692847416338,0.15123681423744834,0.15170896265858239,0.15170303601003918,0.1525746164210741,0.15886485305329817,0.15328095020128257,0.1561,0.15106126447991586
T4,0.15310655880235496,0.15590000000000015,0.1533214503118498,0.0,0.1598632375232253,0.15486178421176078,0.15733736243618435,0.1525,0.1556,0.1532,0.1548,0.15890528701531917,0.1533213841633036,0.1536109067436114,0.15110169844193685
T5,0.14955438128462173,0.16282033689952607,0.1598228035612043,0.1598632375232253,0.0,0.13372891148343047,0.13620448970785404,0.130144375471139,0.13061652389227305,0.13061059724372986,0.0359,0.0603,0.06908512544744622,0.07712851152842254,0.06078858119704159
T6,0.143,0.15781888358806156,0.1534,0.15486178421176078,0.13372891148343047,0.0,0.13120303639638956,0.1137,0.0559,0.12560914393226538,0.12648072434330027,0.1395,0.1295,0.1254,0.12496737240214202
T7,0.1470285061975808,0.16029446181248513,0.15729692847416338,0.15733736243618435,0.13620448970785404,0.13120303639638956,0.0,0.12761850038409808,0.12809064880523213,0.12610000000000007,0.1261,0.1413,0.133,0.12995215892824014,0.12744295062656558
T8,0.1369,0.1542343475757701,0.15123681423744834,0.1525,0.130144375471139,0.1137,0.12761850038409808,0.0,0.1113,0.122,0.1221,0.1362,0.1236025221112173,0.12389204469152512,0.1224
T9,0.1414405403819998,0.1596,0.15170896265858239,0.1556,0.13061652389227305,0.0559,0.12809064880523213,0.1113,0.0,0.1224,0.12336833675214284,0.12965857338436693,0.1263,0.12436419311265917,0.1227
T10,0.14143461373345662,0.1559,0.15170303601003918,0.1532,0.13061059724372986,0.12560914393226538,0.12610000000000007,0.122,0.1224,0.0,0.1275,0.12965264673582372,0.12406874388380816,0.1298,0.12184905816244142
T11,0.14230619414449153,0.1573,0.1525746164210741,0.1548,0.0359,0.12648072434330027,0.1261,0.1221,0.12336833675214284,0.1275,0.0,0.055467875239913284,0.06183693830731603,0.06988032438829235,0.0558
T12,0.1556,0.16186238639161996,0.15886485305329817,0.15890528701531917,0.0603,0.1395,0.1413,0.1362,0.12965857338436693,0.12965264673582372,0.055467875239913284,0.0,0.0655,0.07617056102051642,0.05983063068913547
T13,0.14301252792470004,0.15627848353960438,0.15328095020128257,0.1533213841633036,0.06908512544744622,0.1295,0.133,0.1236025221112173,0.1263,0.12406874388380816,0.06183693830731603,0.0655,0.0,0.07058665816850085,0.06032358636615778
T14,0.14330205050500783,0.15656800611991217,0.1561,0.1536109067436114,0.07712851152842254,0.1254,0.12995215892824014,0.12389204469152512,0.12436419311265917,0.1298,0.06988032438829235,0.07617056102051642,0.07058665816850085,0.0,0.0583
T15,0.1456,0.15405879781823764,0.15106126447991586,0.15110169844193685,0.06078858119704159,0.12496737240214202,0.12744295062656558,0.1224,0.1227,0.12184905816244142,0.0558,0.05983063068913547,0.06032358636615778,0.0583,0.0
