,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.16854310353481672,0.1544,0.16520024639195957,0.1433,0.143,0.1449,0.1369,0.1408,0.1429,0.13539760642794565,0.1537364836388054,0.1403750063705797,0.1395209368480767,0.13642412131519277
T2,0.16854310353481672,0.0,0.0843,0.0806,0.15658841433965198,0.1585,0.1584,0.1563,0.1596,0.1559,0.1573,0.17,0.1621,0.1586,0.1584
T3,0.1544,0.0843,0.0,0.0807,0.15291579529203297,0.1534,0.15459880952380953,0.1505,0.1525,0.1544,0.1514758148380458,0.166,0.1598,0.1561,0.1525023297252929
T4,0.16520024639195957,0.0806,0.0807,0.0,0.1566,0.1559,0.1548,0.15158017526455025,0.1556,0.15614588072208052,0.1548,0.1674,0.1581,0.1548,0.1528320916300548
T5,0.1433,0.15658841433965198,0.15291579529203297,0.1566,0.0,0.1266,0.1289,0.1253,0.12419920509692711,0.1296,0.0359,0.0603,0.0491,0.0434,0.0557
T6,0.143,0.1585,0.1534,0.1559,0.1266,0.0,0.12997614559712772,0.1137,0.0559,0.1247,0.1233,0.1395,0.1295,0.1254,0.1255
T7,0.1449,0.1584,0.15459880952380953,0.1548,0.1289,0.12997614559712772,0.0,0.1268,0.1285539233749055,0.13213793949003214,0.12779763551075934,0.1461365127216191,0.133,0.1287,0.1274
T8,0.1369,0.1563,0.1505,0.15158017526455025,0.1253,0.1137,0.1268,0.0,0.11227777777777777,0.12611783927980913,0.1221,0.1362,0.12675493524317039,0.1257,0.1224
T9,0.1408,0.1596,0.1525,0.1556,0.12419920509692711,0.0559,0.1285539233749055,0.11227777777777777,0.0,0.12709952862221277,0.1223,0.1372,0.1263,0.1242,0.1227
T10,0.1429,0.1559,0.1544,0.15614588072208052,0.1296,0.1247,0.13213793949003214,0.12611783927980913,0.12709952862221277,0.0,0.1275,0.1424,0.13112617661551504,0.130272107093012,0.1271752915601281
T11,0.13539760642794565,0.1573,0.1514758148380458,0.1548,0.0359,0.1233,0.12779763551075934,0.1221,0.1223,0.1275,0.0,0.06076834456294092,0.04766001954601286,0.0414,0.0558
T12,0.1537364836388054,0.17,0.166,0.1674,0.0603,0.1395,0.1461365127216191,0.1362,0.1372,0.1424,0.06076834456294092,0.0,0.0659988967568726,0.0668,0.0782
T13,0.1403750063705797,0.1621,0.1598,0.1581,0.0491,0.1295,0.133,0.12675493524317039,0.1263,0.13112617661551504,0.04766001954601286,0.0659988967568726,0.0,0.05178334996614388,0.0616
T14,0.1395209368480767,0.1586,0.1561,0.1548,0.0434,0.1254,0.1287,0.1257,0.1242,0.130272107093012,0.0414,0.0668,0.05178334996614388,0.0,0.0583
T15,0.13642412131519277,0.1584,0.1525023297252929,0.1528320916300548,0.0557,0.1255,0.1274,0.1224,0.1227,0.1271752915601281,0.0558,0.0782,0.0616,0.0583,0.0
