,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.1572137283358958,0.1564488798205924,0.3499151148460088,0.14500737874227856,0.14444233484923222,0.14315654438366052,0.1436937642419247,0.14305326128130416,0.1417,0.1440732190986532,0.1472,0.14488426192475215,0.14543724490535162
T2,0.1562,0.0,0.0843,0.0806,0.16029278596279795,0.15889855734997432,0.15915203008560103,0.1586881880649652,0.1596,0.1594602496113181,0.1591602300473279,0.16988300000000003,0.1621,0.1586,0.15842508563199842
T3,0.1572137283358958,0.0843,0.0,0.10147653396461344,0.15922516513700294,0.15974351507221518,0.15987061963750177,0.1505,0.15887483843127934,0.15954575515242095,0.15943284694841586,0.166,0.1598,0.16101490858094417,0.1598187556961741
T4,0.1564488798205924,0.0806,0.10147653396461344,0.0,0.15611574340404624,0.1574535538280377,0.1561456040405644,0.46321398071226116,0.1560059735390032,0.1532,0.1548,0.15553653873059636,0.15567725351830916,0.15560765816814776,0.1560013571707393
T5,0.3499151148460088,0.16029278596279795,0.15922516513700294,0.15611574340404624,0.0,0.1266,0.1255186740164894,0.127520493591176,0.1256,0.1296,0.0359,0.06728323108117992,0.052530021433767324,0.0434,0.0557
T6,0.14500737874227856,0.15889855734997432,0.15974351507221518,0.1574535538280377,0.1266,0.0,0.1257,0.11235420555668005,0.0559,0.1247,0.1233,0.1262624054195043,0.12596751451270394,0.1254,0.1259930126493801
T7,0.14444233484923222,0.15915203008560103,0.15987061963750177,0.1561456040405644,0.1255186740164894,0.1257,0.0,0.12627861056738549,0.1255397290918926,0.12878514957182868,0.1261,0.12709015490361553,0.12648462342979402,0.1258409980859752,0.12603410144668165
T8,0.14315654438366052,0.1586881880649652,0.1505,0.46321398071226116,0.127520493591176,0.11235420555668005,0.12627861056738549,0.0,0.1113,0.12431998211762814,0.12805118650399902,0.12818937200082958,0.1278,0.12689196813962408,0.1274594441855192
T9,0.1436937642419247,0.1596,0.15887483843127934,0.1560059735390032,0.1256,0.0559,0.1255397290918926,0.1113,0.0,0.1224,0.1223,0.12622680839186345,0.1263,0.1258670960997309,0.12543997045800176
T10,0.14305326128130416,0.1594602496113181,0.15954575515242095,0.1532,0.1296,0.1247,0.12878514957182868,0.12431998211762814,0.1224,0.0,0.13155031641941997,0.1424,0.1322,0.12924856896572207,0.13089491730768432
T11,0.1417,0.1591602300473279,0.15943284694841586,0.1548,0.0359,0.1233,0.1261,0.12805118650399902,0.1223,0.13155031641941997,0.0,0.06735635213316979,0.0467,0.05275232569812567,0.059196924587199884
T12,0.1440732190986532,0.16988300000000003,0.166,0.15553653873059636,0.06728323108117992,0.1262624054195043,0.12709015490361553,0.12818937200082958,0.12622680839186345,0.1424,0.06735635213316979,0.0,0.0655,0.0668,0.066550200033601
T13,0.1472,0.1621,0.1598,0.15567725351830916,0.052530021433767324,0.12596751451270394,0.12648462342979402,0.1278,0.1263,0.1322,0.0467,0.0655,0.0,0.054101216234720174,0.0616
T14,0.14488426192475215,0.1586,0.16101490858094417,0.15560765816814776,0.0434,0.1254,0.1258409980859752,0.12689196813962408,0.1258670960997309,0.12924856896572207,0.05275232569812567,0.0668,0.054101216234720174,0.0,0.05907435052812133
T15,0.14543724490535162,0.15842508563199842,0.1598187556961741,0.1560013571707393,0.0557,0.1259930126493801,0.12603410144668165,0.1274594441855192,0.12543997045800176,0.13089491730768432,0.059196924587199884,0.066550200033601,0.0616,0.05907435052812133,0.0
