,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.1544,0.153,-1.0,0.143,0.1449,0.1369,-1.0,-1.0,0.1417,0.1556,-1.0,-1.0,0.1456
T2,0.1562,0.0,0.0843,-1.0,0.1587,0.1585,0.1584,-1.0,0.1596,0.1559,0.1573,0.16988300000000003,-1.0,-1.0,0.1584
T3,0.1544,0.0843,0.0,-1.0,-1.0,0.1534,-1.0,-1.0,0.1525,-1.0,-1.0,0.166,0.1598,0.1561,0.1557
T4,0.153,-1.0,-1.0,0.0,-1.0,0.1559,0.1548,0.1525,0.1556,0.1532,0.1548,0.1674,0.1581,0.1548,0.1561
T5,-1.0,0.1587,-1.0,-1.0,0.0,-1.0,0.1289,0.1253,0.1256,-1.0,0.0359,0.0603,0.0491,-1.0,0.0557
T6,0.143,0.1585,0.1534,0.1559,-1.0,0.0,-1.0,0.1137,0.0559,-1.0,0.1233,0.1395,0.1295,0.1254,0.1255
T7,0.1449,0.1584,-1.0,0.1548,0.1289,-1.0,0.0,0.1268,0.1228,0.121,0.1261,0.1413,0.133,-1.0,-1.0
T8,0.1369,-1.0,-1.0,0.1525,0.1253,0.1137,0.1268,0.0,0.1113,0.122,0.1221,0.1362,-1.0,-1.0,0.1224
T9,-1.0,0.1596,0.1525,0.1556,0.1256,0.0559,0.1228,0.1113,0.0,0.1224,0.1223,0.1372,0.1263,-1.0,0.1227
T10,-1.0,0.1559,-1.0,0.1532,-1.0,-1.0,0.121,0.122,0.1224,0.0,0.1275,0.1424,0.1322,0.1298,-1.0
T11,0.1417,0.1573,-1.0,0.1548,0.0359,0.1233,0.1261,0.1221,0.1223,0.1275,0.0,-1.0,0.0467,0.0414,0.0558
T12,0.1556,0.16988300000000003,0.166,0.1674,0.0603,0.1395,0.1413,0.1362,0.1372,0.1424,-1.0,0.0,0.0655,-1.0,-1.0
T13,-1.0,-1.0,0.1598,0.1581,0.0491,0.1295,0.133,-1.0,0.1263,0.1322,0.0467,0.0655,0.0,-1.0,-1.0
T14,-1.0,-1.0,0.1561,0.1548,-1.0,0.1254,-1.0,-1.0,-1.0,0.1298,0.0414,-1.0,-1.0,0.0,0.0583
T15,0.1456,0.1584,0.1557,0.1561,0.0557,0.1255,-1.0,0.1224,0.1227,-1.0,0.0558,-1.0,-1.0,0.0583,0.0
