,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.04355520129168097,0.004197394337977535,0.0,0.09535710423092172,0.0,0.09988013774502094,0.01975980882657966,0.06857674515823575,0.1417,0.04632796487705276,0.0036092685262272698,0.003418598957760801,0.01816847334932474
T2,0.1562,0.0,0.11738170800054842,0.11981406633814207,0.019602616962274316,0.0,0.0,0.010905972188832179,0.07399111369522426,0.05447669271738931,0.01622608667600429,0.044015932711727504,0.1621,0.1586,0.0
T3,0.04355520129168097,0.11738170800054842,0.0,0.0764825650855174,0.011697879201434471,0.08533356551290926,0.0,0.1505,0.10937003160180403,0.010696098682975882,0.0638208302705719,0.166,0.01668684833475685,0.007129020270440493,0.00010252321286740889
T4,0.004197394337977535,0.11981406633814207,0.0764825650855174,0.0,0.0,0.07153246962204504,0.0,0.07074930059269838,0.005415095087184449,0.09369056687302284,0.1548,0.022087573114726988,0.015096090540712447,0.014350373319939656,0.024761545545189473
T5,0.0,0.019602616962274316,0.011697879201434471,0.0,0.0,0.008370085435154594,0.0,0.007132294560527485,0.0,0.01960685155756937,0.0359,0.0,0.0,0.0,0.0557
T6,0.09535710423092172,0.0,0.08533356551290926,0.07153246962204504,0.008370085435154594,0.0,0.0,0.0,0.03614333667078288,0.042093381471108,0.015554415906358865,0.011512536044918305,0.10497079922460167,0.1254,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.09988013774502094,0.010905972188832179,0.1505,0.07074930059269838,0.007132294560527485,0.0,0.0,0.0,0.034691649440213315,0.09498876162120298,0.05676311446496057,0.012074204930779125,0.1278,0.11736602653180048,0.0029867087150704285
T9,0.01975980882657966,0.07399111369522426,0.10937003160180403,0.005415095087184449,0.0,0.03614333667078288,0.0,0.034691649440213315,0.0,0.1224,0.1223,0.004955369142131286,0.03694246533804835,0.03522846190662495,0.018141553870447143
T10,0.06857674515823575,0.05447669271738931,0.010696098682975882,0.09369056687302284,0.01960685155756937,0.042093381471108,0.0,0.09498876162120298,0.1224,0.0,0.01643560685279436,0.1424,0.04318537294459068,0.033868355992416166,0.0
T11,0.1417,0.01622608667600429,0.0638208302705719,0.1548,0.0359,0.015554415906358865,0.0,0.05676311446496057,0.1223,0.01643560685279436,0.0,0.11052016404915305,0.11908206146889388,0.11382535549499762,0.0
T12,0.04632796487705276,0.044015932711727504,0.166,0.022087573114726988,0.0,0.011512536044918305,0.0,0.012074204930779125,0.004955369142131286,0.1424,0.11052016404915305,0.0,0.0655,0.0668,0.013465712056153049
T13,0.0036092685262272698,0.1621,0.01668684833475685,0.015096090540712447,0.0,0.10497079922460167,0.0,0.1278,0.03694246533804835,0.04318537294459068,0.11908206146889388,0.0655,0.0,0.0,0.010917740217017696
T14,0.003418598957760801,0.1586,0.007129020270440493,0.014350373319939656,0.0,0.1254,0.0,0.11736602653180048,0.03522846190662495,0.033868355992416166,0.11382535549499762,0.0668,0.0,0.0,0.008594104115309864
T15,0.01816847334932474,0.0,0.00010252321286740889,0.024761545545189473,0.0557,0.0,0.0,0.0029867087150704285,0.018141553870447143,0.0,0.0,0.013465712056153049,0.010917740217017696,0.008594104115309864,0.0
