,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1449,-1.0,-1.0,-1.0,-1.0,0.1556,-1.0,-1.0,-1.0
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1563,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.166,-1.0,-1.0,-1.0
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,0.1266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T6,-1.0,-1.0,-1.0,-1.0,0.1266,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,0.1449,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T8,-1.0,0.1563,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1257,-1.0
T9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1228,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1424,-1.0,0.1298,0.1279
T11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
T12,0.1556,-1.0,0.166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1424,-1.0,0.0,-1.0,-1.0,-1.0
T13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0453,-1.0
T14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1257,-1.0,0.1298,-1.0,-1.0,0.0453,0.0,-1.0
T15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1279,-1.0,-1.0,-1.0,-1.0,0.0
