,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.15783233004229535,0.1544,0.15431425392537854,0.14490855406932074,0.143,0.1449,0.14141915500297947,0.1408,0.14273028166858814,0.1437290943017018,0.1556,0.1472,0.14401517917791817,0.1456
T2,0.15783233004229535,0.0,0.15835903805845838,0.1563,0.15875290229623149,0.1585,0.1584,0.1563,0.1596,0.1559,0.15757344252861255,0.16655572215306289,0.1621,0.1578595274048289,0.15672769893056196
T3,0.1544,0.15835903805845838,0.0,0.15484096194154157,0.1584,0.1534,0.1543,0.1523578812037577,0.1525,0.15366900786936638,0.15466782050248004,0.166,0.15639087018992148,0.1561,0.15382207690442945
T4,0.15431425392537854,0.1563,0.15484096194154157,0.0,0.1552348261793147,0.1559,0.1548,0.1525,0.1556,0.1530565537785821,0.15405536641169576,0.1630376460361461,0.1581,0.1543414512879121,0.15320962281364517
T5,0.14490855406932074,0.15875290229623149,0.1584,0.1552348261793147,0.0,0.1266,0.1289,0.1253,0.1256,0.12792953910955096,0.0359,0.0413999999999997,0.0491,0.046386488653810606,0.06238417374963946
T6,0.143,0.1585,0.1534,0.1559,0.1266,0.0,0.1257,0.1247611491450921,0.0559,0.1247,0.12469250515271998,0.13367478477717032,0.12641555484016143,0.12497859002893633,0.12384676155466938
T7,0.1449,0.1584,0.1543,0.1548,0.1289,0.1257,0.0,0.1255724299045175,0.1228,0.12688355657012618,0.1261,0.13448606553659573,0.1272268355995868,0.1287,0.12465804231409479
T8,0.14141915500297947,0.1563,0.1523578812037577,0.1525,0.1253,0.1247611491450921,0.1255724299045175,0.0,0.12444799534505309,0.122,0.12543895267632335,0.1362,0.1271620023637648,0.1257,0.12459320907827276
T9,0.1408,0.1596,0.1525,0.1556,0.1256,0.0559,0.1228,0.12444799534505309,0.0,0.1224,0.12437935135268097,0.1372,0.1263,0.1242,0.1227
T10,0.14273028166858814,0.1559,0.15366900786936638,0.1530565537785821,0.12792953910955096,0.1247,0.12688355657012618,0.122,0.1224,0.0,0.1275,0.1424,0.12847312902937347,0.1298,0.1279
T11,0.1437290943017018,0.15757344252861255,0.15466782050248004,0.15405536641169576,0.0359,0.12469250515271998,0.1261,0.12543895267632335,0.12437935135268097,0.1275,0.0,0.0414,0.046643993697416765,0.04520702888619168,0.06120471398202054
T12,0.1556,0.16655572215306289,0.166,0.1630376460361461,0.0413999999999997,0.13367478477717032,0.13448606553659573,0.1362,0.1372,0.1424,0.0414,0.0,0.05562627332186709,0.054189308510642006,0.0782
T13,0.1472,0.1621,0.15639087018992148,0.1581,0.0491,0.12641555484016143,0.1272268355995868,0.1271620023637648,0.1263,0.12847312902937347,0.046643993697416765,0.05562627332186709,0.0,0.0453,0.0616
T14,0.14401517917791817,0.1578595274048289,0.1561,0.1543414512879121,0.046386488653810606,0.12497859002893633,0.1287,0.1257,0.1242,0.1298,0.04520702888619168,0.054189308510642006,0.0453,0.0,0.0583
T15,0.1456,0.15672769893056196,0.15382207690442945,0.15320962281364517,0.06238417374963946,0.12384676155466938,0.12465804231409479,0.12459320907827276,0.1227,0.1279,0.06120471398202054,0.0782,0.0616,0.0583,0.0
