,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1568431295098071,0.1544,0.1543911267706461,0.15644713307044306,0.15517087707499713,0.1541248758428634,0.15217610510023366,0.1528201720904802,0.1542076242302097,0.15823739677940196,0.16083933107401388,0.15670190536151252,0.15020339735457877,0.1493711820212688
T2,0.1568431295098071,0.0,0.0843,0.08510550327391536,0.15943210404895297,0.1585,0.15710984682137333,0.1563,0.15580514306899013,0.1559,0.16122236775791188,0.17,0.15968687634002243,0.1586,0.15235615299977873
T3,0.1544,0.0843,0.0,0.0807,0.15577184639891928,0.1534,0.1534495891713396,0.1505,0.1525,0.1535323375586859,0.15756211010787816,0.1601640444024901,0.1598,0.14952811068305497,0.14869589534974503
T4,0.1543911267706461,0.08510550327391536,0.0807,0.0,0.15698010130979195,0.1559,0.1548,0.15270907333958256,0.1533531403298291,0.1547405924695586,0.1548,0.1674,0.1572348736008614,0.1548,0.1499041502606177
T5,0.15644713307044306,0.15943210404895297,0.15577184639891928,0.15698010130979195,0.0,0.1266,0.13287376416434055,0.1252802202570131,0.12592428724725965,0.1296,0.0827766998994099,0.08537863419402184,0.0491,0.07474270047458673,0.0557
T6,0.15517087707499713,0.1585,0.1534,0.1559,0.1266,0.0,0.1315975081688946,0.1137,0.0559,0.1298799303374315,0.1233,0.1395,0.12852976452284604,0.12203125651591228,0.1255
T7,0.1541248758428634,0.15710984682137333,0.1534495891713396,0.1548,0.13287376416434055,0.1315975081688946,0.0,0.12860273619413115,0.1292468031843777,0.1306342553241072,0.13466402787329945,0.13726596216791137,0.133,0.1287,0.12579781311516633
T8,0.15217610510023366,0.1563,0.1505,0.15270907333958256,0.1252802202570131,0.1137,0.12860273619413115,0.0,0.11213286334365542,0.12688515836266806,0.127070483965972,0.12967241826058395,0.1255349925480826,0.11903648454114883,0.1224
T9,0.1528201720904802,0.15580514306899013,0.1525,0.1533531403298291,0.12592428724725965,0.0559,0.1292468031843777,0.11213286334365542,0.0,0.12752922535291458,0.12771455095621853,0.13031648525083045,0.1263,0.1242,0.1188483361980854
T10,0.1542076242302097,0.1559,0.1535323375586859,0.1547405924695586,0.1296,0.1298799303374315,0.1306342553241072,0.12688515836266806,0.12752922535291458,0.0,0.1275,0.1424,0.13141095862394692,0.12491245061701316,0.1240802352837032
T11,0.15823739677940196,0.16122236775791188,0.15756211010787816,0.1548,0.0827766998994099,0.1233,0.13466402787329945,0.127070483965972,0.12771455095621853,0.1275,0.0,0.07215599961654881,0.08303147219047936,0.0414,0.07570074885023566
T12,0.16083933107401388,0.17,0.1601640444024901,0.1674,0.08537863419402184,0.1395,0.13726596216791137,0.12967241826058395,0.13031648525083045,0.1424,0.07215599961654881,0.0,0.0856334064850913,0.0668,0.0782
T13,0.15670190536151252,0.15968687634002243,0.1598,0.1572348736008614,0.0491,0.12852976452284604,0.133,0.1255349925480826,0.1263,0.13141095862394692,0.08303147219047936,0.0856334064850913,0.0,0.07499747276565619,0.05586984819404628
T14,0.15020339735457877,0.1586,0.14952811068305497,0.1548,0.07474270047458673,0.12203125651591228,0.1287,0.11903648454114883,0.1242,0.12491245061701316,0.0414,0.0668,0.07499747276565619,0.0,0.0583
T15,0.1493711820212688,0.15235615299977873,0.14869589534974503,0.1499041502606177,0.0557,0.1255,0.12579781311516633,0.1224,0.1188483361980854,0.1240802352837032,0.07570074885023566,0.0782,0.05586984819404628,0.0583,0.0
