,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1417,-1.0,0.1472,-1.0,-1.0
T2,0.1562,0.0,0.0843,0.0806,-1.0,-1.0,-1.0,-1.0,0.1596,-1.0,-1.0,0.17,0.1621,0.1586,-1.0
T3,-1.0,0.0843,0.0,-1.0,-1.0,-1.0,-1.0,0.1505,-1.0,-1.0,-1.0,0.166,0.1598,-1.0,-1.0
T4,-1.0,0.0806,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1532,0.1548,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,0.1266,-1.0,-1.0,0.1256,0.1296,0.0359,-1.0,-1.0,0.0434,0.0557
T6,-1.0,-1.0,-1.0,-1.0,0.1266,0.0,0.1257,-1.0,0.0559,0.1247,0.1233,-1.0,-1.0,0.1254,-1.0
T7,-1.0,-1.0,-1.0,-1.0,-1.0,0.1257,0.0,-1.0,-1.0,-1.0,0.1261,-1.0,-1.0,-1.0,-1.0
T8,-1.0,-1.0,0.1505,-1.0,-1.0,-1.0,-1.0,0.0,0.1113,-1.0,-1.0,-1.0,0.1278,-1.0,-1.0
T9,-1.0,0.1596,-1.0,-1.0,0.1256,0.0559,-1.0,0.1113,0.0,0.1224,0.1223,-1.0,0.1263,-1.0,-1.0
T10,-1.0,-1.0,-1.0,0.1532,0.1296,0.1247,-1.0,-1.0,0.1224,0.0,-1.0,0.1424,0.1322,-1.0,-1.0
T11,0.1417,-1.0,-1.0,0.1548,0.0359,0.1233,0.1261,-1.0,0.1223,-1.0,0.0,-1.0,0.0467,-1.0,-1.0
T12,-1.0,0.17,0.166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1424,-1.0,0.0,0.0655,0.0668,-1.0
T13,0.1472,0.1621,0.1598,-1.0,-1.0,-1.0,-1.0,0.1278,0.1263,0.1322,0.0467,0.0655,0.0,-1.0,0.0616
T14,-1.0,0.1586,-1.0,-1.0,0.0434,0.1254,-1.0,-1.0,-1.0,-1.0,-1.0,0.0668,-1.0,0.0,-1.0
T15,-1.0,-1.0,-1.0,-1.0,0.0557,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0616,-1.0,0.0
