,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.17011896666666665,0.16806833333333332,0.1828023847222222,0.143,0.14132333333333333,0.1369,0.13988227777777779,0.14004333333333333,0.1417,0.1556,0.14653815416666666,0.18357409166666666,0.1456
T2,0.1562,0.0,0.18658563333333333,0.184535,0.1992690513888889,0.15914894444444444,0.1584,0.15502161111111112,0.1596,0.1559,0.1573,0.17,0.16300482083333334,0.20004075833333335,0.16063298333333334
T3,0.17011896666666665,0.18658563333333333,0.0,0.18354257777777777,0.11542251527777778,0.1534,0.1567975777777778,0.14927266666666666,0.1506,0.1555175777777778,0.11380063472222221,0.08830158611111112,0.07915828472222225,0.1561,0.08358626666666669
T4,0.16806833333333332,0.184535,0.18354257777777777,0.0,0.19622599583333333,0.15610588888888888,0.1548,0.1525,0.1556,0.1532,0.1548,0.1674,0.1581,0.1548,0.15758992777777778
T5,0.1828023847222222,0.1992690513888889,0.11542251527777778,0.19622599583333333,0.0,0.16608341805555554,0.16948099583333334,0.16195608472222223,0.1256,0.16820099583333334,0.0359,0.0603,0.04832188055555555,0.04302188055555555,0.0557
T6,0.143,0.15914894444444444,0.1534,0.15610588888888888,0.16608341805555554,0.0,0.12936088888888891,0.1137,0.0559,0.1280808888888889,0.16446153749999998,0.1395,0.1295,0.1254,0.1255
T7,0.14132333333333333,0.1584,0.1567975777777778,0.1548,0.16948099583333334,0.12936088888888891,0.0,0.1268,0.1265608888888889,0.121,0.1261,0.1413,0.133,0.17025270277777776,0.1308449277777778
T8,0.1369,0.15502161111111112,0.14927266666666666,0.1525,0.16195608472222223,0.1137,0.1268,0.0,0.1113,0.122,0.1221,0.1362,0.12569185416666667,0.16272779166666665,0.1224
T9,0.13988227777777779,0.1596,0.1506,0.1556,0.1256,0.0559,0.1265608888888889,0.1113,0.0,0.1224,0.1223,0.13616248888888888,0.1263,0.16405512499999997,0.1227
T10,0.14004333333333333,0.1559,0.1555175777777778,0.1532,0.16820099583333334,0.1280808888888889,0.121,0.122,0.1224,0.0,0.1275,0.1424,0.1319367652777778,0.1298,0.12956492777777778
T11,0.1417,0.1573,0.11380063472222221,0.1548,0.0359,0.16446153749999998,0.1261,0.1221,0.1223,0.1275,0.0,0.0993631236111111,0.0467,0.0414,0.0558
T12,0.1556,0.17,0.08830158611111112,0.1674,0.0603,0.1395,0.1413,0.1362,0.13616248888888888,0.1424,0.0993631236111111,0.0,0.0655,0.10175671111111109,0.06914875555555557
T13,0.14653815416666666,0.16300482083333334,0.07915828472222225,0.1581,0.04832188055555555,0.1295,0.133,0.12569185416666667,0.1263,0.1319367652777778,0.0467,0.0655,0.0,0.049093587499999994,0.06000545416666668
T14,0.18357409166666666,0.20004075833333335,0.1561,0.1548,0.04302188055555555,0.1254,0.17025270277777776,0.16272779166666665,0.16405512499999997,0.1298,0.0414,0.10175671111111109,0.049093587499999994,0.0,0.0583
T15,0.1456,0.16063298333333334,0.08358626666666669,0.15758992777777778,0.0557,0.1255,0.1308449277777778,0.1224,0.1227,0.12956492777777778,0.0558,0.06914875555555557,0.06000545416666668,0.0583,0.0
