,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.1560340397395486,0.1547973472353492,0.14559515453918728,0.143,0.1455530559119044,0.1369,0.14558311273128496,0.14556104241216017,0.14560206664225797,0.1556,0.14559401002924835,0.14559496115811404,0.1456
T2,0.1562,0.0,0.15729181223245464,0.1572893248843929,0.1572695476697219,0.15731230837346263,0.15729894001592923,0.1573016599782272,0.15949710843177128,0.1559,0.1573,0.1573135207060279,0.15728557628341505,0.15730227477090758,0.15731134678848432
T3,0.1560340397395486,0.15729181223245464,0.0,0.15603606841897863,0.15609245416306367,0.1534,0.156060992213655,0.15604027525921782,0.15603387666667345,0.1560601323421346,0.15603917647884766,0.15611179537372896,0.15606574341806068,0.1561,0.15605778368125278
T4,0.1547973472353492,0.1572893248843929,0.15603606841897863,0.0,0.15478568555718236,0.15482185100117166,0.15479276990720017,0.1525,0.1556,0.1532,0.1548,0.15480065384376304,0.15479247337541027,0.15479728827163927,0.15480291132330998
T5,0.14559515453918728,0.1572695476697219,0.15609245416306367,0.15478568555718236,0.0,0.12548282263350918,0.1274306408237298,0.12236738983476089,0.12548473933352342,0.12752383989918928,0.0359,0.0603,0.07458411586516266,0.05847851719369462,0.0558149887535217
T6,0.143,0.15731230837346263,0.1534,0.15482185100117166,0.12548282263350918,0.0,0.1274282482419215,0.1137,0.0559,0.1223959227477751,0.12545866569163716,0.1395,0.1295,0.1254,0.12547835448522898
T7,0.1455530559119044,0.15729894001592923,0.156060992213655,0.15479276990720017,0.1274306408237298,0.1274282482419215,0.0,0.12743416347034958,0.12745215365125115,0.1274914618586158,0.1261,0.1413,0.133,0.12739136734344678,0.12747742662756376
T8,0.1369,0.1573016599782272,0.15604027525921782,0.1525,0.12236738983476089,0.1137,0.12743416347034958,0.0,0.1113,0.122,0.1221,0.1362,0.12247577278530711,0.12240232242071175,0.1224
T9,0.14558311273128496,0.15949710843177128,0.15603387666667345,0.1556,0.12548473933352342,0.0559,0.12745215365125115,0.1113,0.0,0.1224,0.12543735977467763,0.1255189406892589,0.1263,0.12546913247317587,0.1227
T10,0.14556104241216017,0.1559,0.1560601323421346,0.1532,0.12752383989918928,0.1223959227477751,0.1274914618586158,0.122,0.1224,0.0,0.1275,0.12752426855425775,0.12751660028722148,0.1298,0.12753983274043784
T11,0.14560206664225797,0.1573,0.15603917647884766,0.1548,0.0359,0.12545866569163716,0.1261,0.1221,0.12543735977467763,0.1275,0.0,0.07444177889655919,0.07453665838136274,0.058380767225415874,0.0558
T12,0.1556,0.1573135207060279,0.15611179537372896,0.15480065384376304,0.0603,0.1395,0.1413,0.1362,0.1255189406892589,0.12752426855425775,0.07444177889655919,0.0,0.0655,0.07460078826203854,0.07457751888850654
T13,0.14559401002924835,0.15728557628341505,0.15606574341806068,0.15479247337541027,0.07458411586516266,0.1295,0.133,0.12247577278530711,0.1263,0.12751660028722148,0.07453665838136274,0.0655,0.0,0.07458026255991453,0.07458617378950048
T14,0.14559496115811404,0.15730227477090758,0.1561,0.15479728827163927,0.05847851719369462,0.1254,0.12739136734344678,0.12240232242071175,0.12546913247317587,0.1298,0.058380767225415874,0.07460078826203854,0.07458026255991453,0.0,0.0583
T15,0.1456,0.15731134678848432,0.15605778368125278,0.15480291132330998,0.0558149887535217,0.12547835448522898,0.12747742662756376,0.1224,0.1227,0.12753983274043784,0.0558,0.07457751888850654,0.07458617378950048,0.0583,0.0
