,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,-1.0,0.153,0.1433,-1.0,-1.0,0.1369,-1.0,0.1429,0.1417,0.1556,0.1472,0.1437,-1.0
T2,0.1562,0.0,0.0843,0.0806,0.1587,0.1585,-1.0,-1.0,0.1596,0.1559,-1.0,0.16988300000000003,0.1621,0.1586,0.1584
T3,-1.0,0.0843,0.0,0.0807,0.1584,-1.0,0.1543,0.1505,-1.0,-1.0,0.1544,0.166,0.1598,-1.0,0.1557
T4,0.153,0.0806,0.0807,0.0,0.1566,-1.0,-1.0,-1.0,-1.0,0.1532,0.1548,0.1674,-1.0,-1.0,0.1561
T5,0.1433,0.1587,0.1584,0.1566,0.0,0.1266,-1.0,0.1253,0.1256,0.1296,0.0359,0.0603,0.0491,0.0434,0.0557
T6,-1.0,0.1585,-1.0,-1.0,0.1266,0.0,0.1257,-1.0,0.0559,0.1247,0.1233,0.1395,-1.0,0.1254,-1.0
T7,-1.0,-1.0,0.1543,-1.0,-1.0,0.1257,0.0,-1.0,-1.0,0.121,0.1261,0.1413,0.133,-1.0,-1.0
T8,0.1369,-1.0,0.1505,-1.0,0.1253,-1.0,-1.0,0.0,0.1113,-1.0,0.1221,0.1362,0.1278,0.1257,-1.0
T9,-1.0,0.1596,-1.0,-1.0,0.1256,0.0559,-1.0,0.1113,0.0,0.1224,0.1223,-1.0,0.1263,0.1242,0.1227
T10,0.1429,0.1559,-1.0,0.1532,0.1296,0.1247,0.121,-1.0,0.1224,0.0,0.1275,0.1424,0.1322,0.1298,0.1279
T11,0.1417,-1.0,0.1544,0.1548,0.0359,0.1233,0.1261,0.1221,0.1223,0.1275,0.0,0.0414,0.0467,-1.0,-1.0
T12,0.1556,0.16988300000000003,0.166,0.1674,0.0603,0.1395,0.1413,0.1362,-1.0,0.1424,0.0414,0.0,0.0655,0.0668,0.0782
T13,0.1472,0.1621,0.1598,-1.0,0.0491,-1.0,0.133,0.1278,0.1263,0.1322,0.0467,0.0655,0.0,0.0453,0.0616
T14,0.1437,0.1586,-1.0,-1.0,0.0434,0.1254,-1.0,0.1257,0.1242,0.1298,-1.0,0.0668,0.0453,0.0,-1.0
T15,-1.0,0.1584,0.1557,0.1561,0.0557,-1.0,-1.0,-1.0,0.1227,0.1279,-1.0,0.0782,0.0616,-1.0,0.0
