,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.15686029628459308,0.1558469324042917,0.15469277131111478,0.14655870326671594,0.143,0.1449,0.1476846952526229,0.1408,0.14505313106464318,0.1647415360342114,0.1556,0.1472,0.14386758344910028,0.1456
T2,0.15686029628459308,0.0,0.15808376248673928,0.15629999999999966,0.1568408673572586,0.1585,0.1584,0.1563,0.15425582030772525,0.1559,0.17502370012475404,0.1610291419002998,0.1551474171238793,0.15414974753964292,0.14911062347700244
T3,0.1558469324042917,0.15808376248673928,0.0,0.15591623751326095,0.1584,0.1534,0.15530665384698666,0.15695349546286416,0.15324245642742387,0.15432193127488442,0.17401033624445264,0.166,0.15413405324357793,0.1561,0.14809725959670106
T4,0.15469277131111478,0.15629999999999966,0.15591623751326095,0.0,0.15467334238378028,0.1559,0.15415249275380974,0.1525,0.1556,0.15316777018170752,0.17285617515127574,0.1588616169268215,0.1581,0.15198222256616462,0.14694309850352413
T5,0.14655870326671594,0.1568408673572586,0.1584,0.15467334238378028,0.0,0.1266,0.1289,0.13264084565376505,0.1256,0.13000928146578533,0.15188599009930423,0.13789143187484998,0.1320097070984295,0.13101203751419313,0.12597291345155262
T6,0.143,0.1585,0.1534,0.1559,0.1266,0.0,0.1257,0.12630202190438644,0.0559,0.1247,0.15082226221545822,0.13682770399100397,0.1309459792145835,0.12994830963034712,0.12490918556770664
T7,0.1449,0.1584,0.15530665384698666,0.15415249275380974,0.1289,0.1257,0.0,0.1255657820939898,0.1228,0.12293421790601007,0.15136514046933366,0.1373705822448794,0.13148885746845895,0.1287,0.12545206382158208
T8,0.1476846952526229,0.1563,0.15695349546286416,0.1525,0.13264084565376505,0.12630202190438644,0.1255657820939898,0.0,0.12478070273869911,0.122,0.1530119820852112,0.13901742386075694,0.13313569908433645,0.1257,0.12709890543745958
T9,0.1408,0.15425582030772525,0.15324245642742387,0.1556,0.1256,0.0559,0.1228,0.12478070273869911,0.0,0.1224,0.14930094304977087,0.13530638482531662,0.1263,0.12842699046465977,0.12338786640201929
T10,0.14505313106464318,0.1559,0.15432193127488442,0.15316777018170752,0.13000928146578533,0.1247,0.12293421790601007,0.122,0.1224,0.0,0.15038041789723144,0.1424,0.13050413489635673,0.1298,0.1279
T11,0.1647415360342114,0.17502370012475404,0.17401033624445264,0.17285617515127574,0.15188599009930423,0.15082226221545822,0.15136514046933366,0.1530119820852112,0.14930094304977087,0.15038041789723144,0.0,0.0414,0.10741199328670299,0.10641432370246662,0.10137519963982614
T12,0.1556,0.1610291419002998,0.166,0.1588616169268215,0.13789143187484998,0.13682770399100397,0.1373705822448794,0.13901742386075694,0.13530638482531662,0.1424,0.0414,0.0,0.09341743506224874,0.09241976547801237,0.0782
T13,0.1472,0.1551474171238793,0.15413405324357793,0.1581,0.1320097070984295,0.1309459792145835,0.13148885746845895,0.13313569908433645,0.1263,0.13050413489635673,0.10741199328670299,0.09341743506224874,0.0,0.0453,0.0616
T14,0.14386758344910028,0.15414974753964292,0.1561,0.15198222256616462,0.13101203751419313,0.12994830963034712,0.1287,0.1257,0.12842699046465977,0.1298,0.10641432370246662,0.09241976547801237,0.0453,0.0,0.06093488694384236
T15,0.1456,0.14911062347700244,0.14809725959670106,0.14694309850352413,0.12597291345155262,0.12490918556770664,0.12545206382158208,0.12709890543745958,0.12338786640201929,0.1279,0.10137519963982614,0.0782,0.0616,0.06093488694384236,0.0
