,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1562,0.15641142847970163,0.15649797440319924,0.1433,0.1433241374863508,0.14302923639298534,0.1369,0.14305701204544294,0.1429,0.1417,0.1556,0.1472,0.14326584914939314,0.14325530057180752
T2,0.1562,0.0,0.0843,0.0806,0.15859398231613653,0.15864302550643772,0.1585733099005862,0.1582663229248464,0.1596,0.1559,0.1587775409818478,0.16970826500000008,0.1621,0.1586,0.1586336766660273
T3,0.15641142847970163,0.0843,0.0,0.09485702297181717,0.1584,0.15835517432535756,0.1543,0.1505,0.15831321296606396,0.1563654978231785,0.15839857911729718,0.166,0.1598,0.15841561063591686,0.1557
T4,0.15649797440319924,0.0806,0.09485702297181717,0.0,0.1566,0.15654247171196417,0.1565665494556153,0.15662334964342728,0.15647593494324052,0.1532,0.1548,0.15660636251028015,0.15656650190941337,0.1565829361107635,0.15658938543539178
T5,0.1433,0.15859398231613653,0.1584,0.1566,0.0,0.1266,0.12620476275190262,0.1271671740269498,0.1256,0.1296,0.0359,0.0603,0.0491,0.0434,0.0557
T6,0.1433241374863508,0.15864302550643772,0.15835517432535756,0.15654247171196417,0.1266,0.0,0.1257,0.11130885992238547,0.0559,0.1247,0.1233,0.12545298971683141,0.12533566199364446,0.1254,0.12541184858795226
T7,0.14302923639298534,0.1585733099005862,0.1543,0.1565665494556153,0.12620476275190262,0.1257,0.0,0.12710863904246522,0.12616344662694073,0.1289001763248775,0.1261,0.1261182560389927,0.133,0.12627821108831755,0.1261735244593222
T8,0.1369,0.1582663229248464,0.1505,0.15662334964342728,0.1271671740269498,0.11130885992238547,0.12710863904246522,0.0,0.1113,0.12472199714464022,0.1221,0.1362,0.1278,0.1271179306155153,0.1270836755581381
T9,0.14305701204544294,0.1596,0.15831321296606396,0.15647593494324052,0.1256,0.0559,0.12616344662694073,0.1113,0.0,0.1224,0.1223,0.12561740826153028,0.1263,0.12554597482421256,0.1227
T10,0.1429,0.1559,0.1563654978231785,0.1532,0.1296,0.1247,0.1289001763248775,0.12472199714464022,0.1224,0.0,0.1275,0.1424,0.1322,0.1296980407793545,0.12945127878598597
T11,0.1417,0.1587775409818478,0.15839857911729718,0.1548,0.0359,0.1233,0.1261,0.1221,0.1223,0.1275,0.0,0.06688667150903019,0.0467,0.053085352990015336,0.059248040197613934
T12,0.1556,0.16970826500000008,0.166,0.15660636251028015,0.0603,0.12545298971683141,0.1261182560389927,0.1362,0.12561740826153028,0.1424,0.06688667150903019,0.0,0.0655,0.0668,0.06685389047402113
T13,0.1472,0.1621,0.1598,0.15656650190941337,0.0491,0.12533566199364446,0.133,0.1278,0.1263,0.1322,0.0467,0.0655,0.0,0.05317472197202532,0.0616
T14,0.14326584914939314,0.1586,0.15841561063591686,0.1565829361107635,0.0434,0.1254,0.12627821108831755,0.1271179306155153,0.12554597482421256,0.1296980407793545,0.053085352990015336,0.0668,0.05317472197202532,0.0,0.059001179543294986
T15,0.14325530057180752,0.1586336766660273,0.1557,0.15658938543539178,0.0557,0.12541184858795226,0.1261735244593222,0.1270836755581381,0.1227,0.12945127878598597,0.059248040197613934,0.06685389047402113,0.0616,0.059001179543294986,0.0
