,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,-1.0,-1.0,-1.0,0.143,0.1449,-1.0,0.1408,-1.0,-1.0,0.1556,0.1472,-1.0,0.1456
T2,-1.0,0.0,-1.0,-1.0,-1.0,0.1585,0.1584,0.1563,-1.0,0.1559,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,0.1584,0.1534,-1.0,-1.0,-1.0,-1.0,-1.0,0.166,-1.0,0.1561,-1.0
T4,-1.0,-1.0,-1.0,0.0,-1.0,0.1559,-1.0,0.1525,0.1556,-1.0,-1.0,-1.0,0.1581,-1.0,-1.0
T5,-1.0,-1.0,0.1584,-1.0,0.0,0.1266,0.1289,-1.0,0.1256,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T6,0.143,0.1585,0.1534,0.1559,0.1266,0.0,0.1257,-1.0,0.0559,0.1247,-1.0,-1.0,-1.0,-1.0,-1.0
T7,0.1449,0.1584,-1.0,-1.0,0.1289,0.1257,0.0,-1.0,0.1228,-1.0,-1.0,-1.0,-1.0,0.1287,-1.0
T8,-1.0,0.1563,-1.0,0.1525,-1.0,-1.0,-1.0,0.0,-1.0,0.122,-1.0,-1.0,-1.0,0.1257,-1.0
T9,0.1408,-1.0,-1.0,0.1556,0.1256,0.0559,0.1228,-1.0,0.0,0.1224,-1.0,-1.0,0.1263,-1.0,-1.0
T10,-1.0,0.1559,-1.0,-1.0,-1.0,0.1247,-1.0,0.122,0.1224,0.0,-1.0,0.1424,-1.0,0.1298,0.1279
T11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0414,-1.0,-1.0,-1.0
T12,0.1556,-1.0,0.166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1424,0.0414,0.0,-1.0,-1.0,0.0782
T13,0.1472,-1.0,-1.0,0.1581,-1.0,-1.0,-1.0,-1.0,0.1263,-1.0,-1.0,-1.0,0.0,0.0453,0.0616
T14,-1.0,-1.0,0.1561,-1.0,-1.0,-1.0,0.1287,0.1257,-1.0,0.1298,-1.0,-1.0,0.0453,0.0,-1.0
T15,0.1456,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1279,-1.0,0.0782,0.0616,-1.0,0.0
