,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1596461594960834,0.1544,0.15778240883453043,0.14617277716204571,0.143,0.1449,0.1449767313287887,0.1408,0.14608640826232336,0.1476833908031826,0.1556,0.1472,0.14764505153717858,0.1456
T2,0.1596461594960834,0.0,0.159676855532479,0.16002638073256475,0.1613566771003274,0.1585,0.1584,0.1563,0.1596,0.1559,0.1600686004584754,0.15951523071831394,0.1621,0.1599061120864326,0.16039031814771745
T3,0.1544,0.159676855532479,0.0,0.15505420917013682,0.1584,0.1534,0.1543,0.15484277083672926,0.1525,0.1540611591412776,0.1580078999822845,0.16582450000000007,0.15774244937170998,0.1561,0.15641908031482707
T4,0.15778240883453043,0.16002638073256475,0.15505420917013682,0.0,0.15686034185204598,0.1559,0.1548,0.1525,0.1556,0.15599385466189775,0.15748998085834082,0.15792564465115666,0.1581,0.15734755295568548,0.15609334378742068
T5,0.14617277716204571,0.1613566771003274,0.1584,0.15686034185204598,0.0,0.1266,0.1289,0.1253,0.1256,0.12801320764150137,0.0359,0.06263666274398204,0.0491,0.07133699279994728,0.07314279765112448
T6,0.143,0.1585,0.1534,0.1559,0.1266,0.0,0.1257,0.12610712009001246,0.0559,0.1247,0.12666092259204412,0.12818998632291245,0.1267684418216551,0.12680949032446365,0.12760213098145948
T7,0.1449,0.1584,0.1543,0.1548,0.1289,0.1257,0.0,0.12083576722912992,0.1228,0.1237943779273171,0.1261,0.12881423400194653,0.12860744937651217,0.1287,0.1285555401519578
T8,0.1449767313287887,0.1563,0.15484277083672926,0.1525,0.1253,0.12610712009001246,0.12083576722912992,0.0,0.1263755694747941,0.122,0.1263702701186836,0.1362,0.12648875724278594,0.1257,0.1267663601175122
T9,0.1408,0.1596,0.1525,0.1556,0.1256,0.0559,0.1228,0.1263755694747941,0.0,0.1224,0.12589128297130256,0.1372,0.1263,0.1242,0.1227
T10,0.14608640826232336,0.1559,0.1540611591412776,0.15599385466189775,0.12801320764150137,0.1247,0.1237943779273171,0.122,0.1224,0.0,0.1275,0.1424,0.12924904633909917,0.1298,0.1279
T11,0.1476833908031826,0.1600686004584754,0.1580078999822845,0.15748998085834082,0.0359,0.12666092259204412,0.1261,0.1263702701186836,0.12589128297130256,0.1275,0.0,0.0414,0.06950761407734993,0.07389064555765151,0.07219491960537153
T12,0.1556,0.15951523071831394,0.16582450000000007,0.15792564465115666,0.06263666274398204,0.12818998632291245,0.12881423400194653,0.1362,0.1372,0.1424,0.0414,0.0,0.07374530118272157,0.07354692632931197,0.0782
T13,0.1472,0.1621,0.15774244937170998,0.1581,0.0491,0.1267684418216551,0.12860744937651217,0.12648875724278594,0.1263,0.12924904633909917,0.06950761407734993,0.07374530118272157,0.0,0.0453,0.0616
T14,0.14764505153717858,0.1599061120864326,0.1561,0.15734755295568548,0.07133699279994728,0.12680949032446365,0.1287,0.1257,0.1242,0.1298,0.07389064555765151,0.07354692632931197,0.0453,0.0,0.0583
T15,0.1456,0.16039031814771745,0.15641908031482707,0.15609334378742068,0.07314279765112448,0.12760213098145948,0.1285555401519578,0.1267663601175122,0.1227,0.1279,0.07219491960537153,0.0782,0.0616,0.0583,0.0
