,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.08767313372225378,0.1544,0.05413776311571325,0.06926612441884511,0.143,0.1449,0.15165182483786616,0.1408,0.0642595504122741,0.07921470650963314,0.1556,0.1472,0.09154814795503731,0.1456
T2,0.08767313372225378,0.0,0.07488605143687774,0.010334849356059246,0.06525150243027825,0.1585,0.1584,0.1563,0.1596,0.1559,0.02992531025474477,0.0743353258607798,0.1621,0.05905032005701333,0.06840138145565157
T3,0.1544,0.07488605143687774,0.0,0.07392086672092965,0.1584,0.1534,0.1543,0.08369803426650257,0.1525,0.14706144393468462,0.06009433562509024,0.166,0.16862994424058292,0.1561,0.043506706647881095
T4,0.05413776311571325,0.010334849356059246,0.07392086672092965,0.0,0.05924846932414053,0.1559,0.1548,0.1525,0.1556,0.11918733335596884,0.03681252861322347,0.0898517024421279,0.1581,0.0624754871177163,0.07613891593814344
T5,0.06926612441884511,0.06525150243027825,0.1584,0.05924846932414053,0.0,0.1266,0.1289,0.1253,0.1256,0.10294227590549165,0.0359,0.04392104166650249,0.0491,0.015724730209177553,0.07704055252202921
T6,0.143,0.1585,0.1534,0.1559,0.1266,0.0,0.1257,0.038448365946872065,0.0559,0.1247,0.05204810940711513,0.10481502402301034,0.06784102765920401,0.08505791134559337,0.07609416953500041
T7,0.1449,0.1584,0.1543,0.1548,0.1289,0.1257,0.0,0.10371850312467666,0.1228,0.03841456800982515,0.1261,0.10113391891441534,0.06940051859767063,0.1287,0.10506270594468009
T8,0.15165182483786616,0.1563,0.08369803426650257,0.1525,0.1253,0.038448365946872065,0.10371850312467666,0.0,0.043548658739019,0.122,0.05549178783892972,0.1362,0.07713483913917829,0.1257,0.054343900005696985
T9,0.1408,0.1596,0.1525,0.1556,0.1256,0.0559,0.1228,0.043548658739019,0.0,0.1224,0.06674310034143931,0.1372,0.1263,0.1242,0.1227
T10,0.0642595504122741,0.1559,0.14706144393468462,0.11918733335596884,0.10294227590549165,0.1247,0.03841456800982515,0.122,0.1224,0.0,0.1275,0.1424,0.08829763566008376,0.1298,0.1279
T11,0.07921470650963314,0.02992531025474477,0.06009433562509024,0.03681252861322347,0.0359,0.05204810940711513,0.1261,0.05549178783892972,0.06674310034143931,0.1275,0.0,0.0414,0.0671041211677193,0.02337867382372212,0.027433121287108335
T12,0.1556,0.0743353258607798,0.166,0.0898517024421279,0.04392104166650249,0.10481502402301034,0.10113391891441534,0.1362,0.1372,0.1424,0.0414,0.0,0.05800246444613137,0.02274352527121906,0.0782
T13,0.1472,0.1621,0.16862994424058292,0.1581,0.0491,0.06784102765920401,0.06940051859767063,0.07713483913917829,0.1263,0.08829763566008376,0.0671041211677193,0.05800246444613137,0.0,0.0453,0.0616
T14,0.09154814795503731,0.05905032005701333,0.1561,0.0624754871177163,0.015724730209177553,0.08505791134559337,0.1287,0.1257,0.1242,0.1298,0.02337867382372212,0.02274352527121906,0.0453,0.0,0.0583
T15,0.1456,0.06840138145565157,0.043506706647881095,0.07613891593814344,0.07704055252202921,0.07609416953500041,0.10506270594468009,0.054343900005696985,0.1227,0.1279,0.027433121287108335,0.0782,0.0616,0.0583,0.0
