,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1791502511160714,0.1544,0.17473810918898805,0.1475766741071428,0.143,0.1449,0.1410494954427083,0.1408,0.1442502511160714,0.14325345982142856,0.1556,0.1472,0.14521253720238092,0.1456
T2,0.1791502511160714,0.0,0.18992971540178571,0.18973998325892857,0.1648636276971726,0.1585,0.1584,0.1563,0.1596,0.1559,0.16054041341145836,0.17544041341145833,0.1621,0.16249949079241072,0.16212915969122027
T3,0.1544,0.18992971540178571,0.0,0.18551757347470235,0.1584,0.1534,0.1543,0.1518289597284226,0.1525,0.1550297154017857,0.15403292410714287,0.166,0.15716186755952383,0.1561,0.15562167038690478
T4,0.17473810918898805,0.18973998325892857,0.18551757347470235,0.0,0.16045148577008927,0.1559,0.1548,0.1525,0.1556,0.15483998325892856,0.156128271484375,0.171028271484375,0.1581,0.15808734886532738,0.1577170177641369
T5,0.1475766741071428,0.1648636276971726,0.1584,0.16045148577008927,0.0,0.1266,0.1289,0.1253,0.1256,0.12996362769717262,0.0359,0.0508,0.0491,0.04793013392857143,0.06467620907738095
T6,0.143,0.1585,0.1534,0.1559,0.1266,0.0,0.1257,0.1218234561011905,0.0559,0.1247,0.12288011532738094,0.13778011532738094,0.1260090587797619,0.12483919270833332,0.12446886160714286
T7,0.1449,0.1584,0.1543,0.1548,0.1289,0.1257,0.0,0.12181608770461311,0.1228,0.1235,0.1261,0.14050043015252978,0.12872937360491074,0.1287,0.1271891764322917
T8,0.1410494954427083,0.1563,0.1518289597284226,0.1525,0.1253,0.1218234561011905,0.12181608770461311,0.0,0.12060917038690477,0.122,0.12243965773809526,0.1362,0.1255686011904762,0.1257,0.12402840401785717
T9,0.1408,0.1596,0.1525,0.1556,0.1256,0.0559,0.1228,0.12060917038690477,0.0,0.1224,0.12166582961309522,0.1372,0.1263,0.1242,0.1227
T10,0.1442502511160714,0.1559,0.1550297154017857,0.15483998325892856,0.12996362769717262,0.1247,0.1235,0.122,0.1224,0.0,0.1275,0.1424,0.12876935686383928,0.1298,0.1279
T11,0.14325345982142856,0.16054041341145836,0.15403292410714287,0.156128271484375,0.0359,0.12288011532738094,0.1261,0.12243965773809526,0.12166582961309522,0.1275,0.0,0.0414,0.04477678571428571,0.04360691964285714,0.06035299479166667
T12,0.1556,0.17544041341145833,0.166,0.171028271484375,0.0508,0.13778011532738094,0.14050043015252978,0.1362,0.1372,0.1424,0.0414,0.0,0.05967678571428571,0.05850691964285715,0.0782
T13,0.1472,0.1621,0.15716186755952383,0.1581,0.0491,0.1260090587797619,0.12872937360491074,0.1255686011904762,0.1263,0.12876935686383928,0.04477678571428571,0.05967678571428571,0.0,0.0453,0.0616
T14,0.14521253720238092,0.16249949079241072,0.1561,0.15808734886532738,0.04793013392857143,0.12483919270833332,0.1287,0.1257,0.1242,0.1298,0.04360691964285714,0.05850691964285715,0.0453,0.0,0.0583
T15,0.1456,0.16212915969122027,0.15562167038690478,0.1577170177641369,0.06467620907738095,0.12446886160714286,0.1271891764322917,0.12402840401785717,0.1227,0.1279,0.06035299479166667,0.0782,0.0616,0.0583,0.0
