T_label,full_label
T1,Synthetic_taxon_01
T2,Synthetic_taxon_02
T3,Synthetic_taxon_03
T4,Synthetic_taxon_04
T5,Synthetic_taxon_05
T6,Synthetic_taxon_06
T7,Synthetic_taxon_07
T8,Synthetic_taxon_08
T9,Synthetic_taxon_09
T10,Synthetic_taxon_10
T11,Synthetic_taxon_11
T12,Synthetic_taxon_12
T13,Synthetic_taxon_13
T14,Synthetic_taxon_14
T15,Synthetic_taxon_15
T16,Synthetic_taxon_16
T17,Synthetic_taxon_17
T18,Synthetic_taxon_18
T19,Synthetic_taxon_19
T20,Synthetic_taxon_20
T21,Synthetic_taxon_21
T22,Synthetic_taxon_22
T23,Synthetic_taxon_23
T24,Synthetic_taxon_24
T25,Synthetic_taxon_25
T26,Synthetic_taxon_26
T27,Synthetic_taxon_27
T28,Synthetic_taxon_28
T29,Synthetic_taxon_29
T30,Synthetic_taxon_30
