,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.17237989376216004,,0.18607574392853904,0.16022190891609236,0.07397825869221783,0.03842898223258104,0.22899433156192722,0.1853304902232924,0.19565202245380203,,0.1763883001854261,,,,0.036565704328442465,,,0.16175552809793764,,,,0.1673803352748895,,0.16172197745515396,0.15971410674525577,,,,0.16968129685802585
T2,0.17237989376216004,0.0,0.11394331711148435,0.17144683875464226,0.15888951243920213,0.17801230813696997,0.1722300402533884,0.21436542638803047,,,0.1623400745972329,,0.1933855622002328,,,,,,,0.14626103999959134,0.10980306266207931,0.17394294843076627,0.11750548159750024,,0.11184712377776469,,,0.15887695255332013,,0.16834890038113562
T3,,0.11394331711148435,0.0,0.16288511578135584,,,0.16366831728010198,,0.1268939135726167,,0.15377835162394649,0.16808436816996863,0.18482383922694637,0.14910551903485628,,,,,0.0969410335088345,0.13769931702630492,0.11252513491647978,,,,0.06620763468137195,,,0.15031522958003368,0.0675039583487564,0.15978717740784917
T4,0.18607574392853904,0.17144683875464226,0.16288511578135584,0.0,,0.19170815830334895,,,0.18439743521577462,,0.17603592476361193,,,,,,,0.1598301715543571,,,,,,0.1727631869097059,,0.15878105173773802,,0.17257280271969913,,0.18204475054751462
T5,0.16022190891609236,0.15888951243920213,,,0.0,0.1658543232909023,0.16007205540732075,,0.1718401089003345,,,0.16448810629718738,,,,0.17889407217758316,,,0.14826514677497976,0.1473995638505302,0.1574713302441976,0.1617849635846986,0.1538899539519316,0.16020586059426578,,,,0.09247899691334246,0.17793057643940785,
T6,0.07397825869221783,0.17801230813696997,,0.19170815830334895,0.1658543232909023,0.0,0.0738284051834462,0.23462674593673716,0.1909629045981023,,0.1677146980142139,0.18202071456023605,0.20035037305193296,0.1646320528598429,,,,,,,,0.17931757184774724,,0.1793286562920336,0.1673543918299639,0.16534652112006568,0.17498197581102612,,0.1970533721371757,
T7,0.03842898223258104,0.1722300402533884,0.16366831728010198,,0.16007205540732075,0.0738284051834462,0.0,,0.18518063671452076,,,0.17623844667665448,0.19456810516835138,,,,,,,0.1607400916647165,,0.17353530396416567,0.16723048176611788,,0.16157212394638232,0.15956425323648415,0.1691997079274446,0.16005949552143872,0.19127110425359412,
T8,0.22899433156192722,0.21436542638803047,,,,0.23462674593673716,,0.0,0.2273160228491628,,,0.23326052894302227,,,,,0.2086055781108302,0.2027487591877453,0.20374106072380804,,0.2129472441930259,,,0.2156817745430941,,0.20169963937112617,,0.21549139035308731,0.23340649038823616,0.2249633381809028
T9,0.1853304902232924,,0.1268939135726167,0.18439743521577462,0.1718401089003345,0.1909629045981023,0.18518063671452076,0.2273160228491628,0.0,,0.17529067105836527,,0.20633615866136515,0.17061783846927506,,0.20400265348478316,0.07171043814933235,,,,0.10190978177242672,0.1868935448918986,,0.12548818947327986,0.12479772023889706,,0.083996478098491,,0.15449670054610887,0.18129949684226795
T10,0.19565202245380203,,,,,,,,,0.0,,0.19991821983489708,,0.1809393706997847,,,,,0.13515280311219038,,0.11223131400293636,,0.14077761028914224,0.1358097217037895,0.13511925246940668,,,,,0.1916210290727776
T11,,0.1623400745972329,0.15377835162394649,0.17603592476361193,,0.1677146980142139,,,0.17529067105836527,,0.0,,0.18467813951219594,0.14895981932010582,0.18998465971530984,,0.15658022632003266,,0.15171570893301053,,,,,,0.15168215829022685,,,0.15016952986528323,,
T12,0.1763883001854261,,0.16808436816996863,,0.16448810629718738,0.18202071456023605,0.17623844667665448,0.23326052894302227,,0.19991821983489708,,0.0,0.19898415605821806,,0.204290676261332,0.1950604634469169,0.1708862428660548,0.16502942394296988,0.16602172547903268,0.16515614255458314,0.17522790894825052,0.17216577528040924,,0.1779624392983187,0.165988174836249,0.16398030412635078,0.17361575881731123,0.16447554641130538,0.1956871551434608,0.1739474942391209
T13,,0.1933855622002328,0.18482383922694637,,,0.20035037305193296,0.19456810516835138,,0.20633615866136515,,0.18467813951219594,0.19898415605821806,0.0,,0.22103014731830975,,,,0.18276119653601042,,,,0.18838600371296227,0.1947019103552964,0.1827276458932267,,0.19035522987428896,0.12697504667437312,,0.1327002909693212
T14,,,0.14910551903485628,,,0.1646320528598429,,,0.17061783846927506,0.1809393706997847,0.14895981932010582,,,0.0,,0.17767180174652372,,,,0.1461772934194708,,,,,0.14700932570113664,0.14500145499123845,,,,
T15,,,,,,,,,,,0.18998465971530984,0.204290676261332,0.22103014731830975,,0.0,0.21869664214172774,,0.13853295800256255,0.1395252595386253,,0.13744764778015622,,0.14515006671557718,0.13419086103336728,,,0.13583549764921696,,0.16919068920305344,0.19599348549921256
T16,0.036565704328442465,,,,0.17889407217758316,,,,0.20400265348478316,,,0.1950604634469169,,0.17767180174652372,0.21869664214172774,0.0,,0.17943538982336565,0.18042769135942843,,0.18963387482864627,,0.1860524985363803,,,0.17838627000674653,0.18802172469770698,0.17888151229170116,,0.18835346011951662
T17,,,,,,,,0.2086055781108302,0.07171043814933235,,0.15658022632003266,0.1708862428660548,,,,,0.0,0.10512852460728535,0.10612082614334811,,0.08319933703409413,,,,0.10608727550056443,,,0.15311710427611985,,0.16258905210393537
T18,,,,0.1598301715543571,,,,0.2027487591877453,,,,0.16502942394296988,,,0.13853295800256255,0.17943538982336565,0.10512852460728535,0.0,,,,0.16232628123048107,0.0760247895966226,,,0.09184466792915388,,0.14726028535303495,,
T19,0.16175552809793764,,0.0969410335088345,,0.14826514677497976,,,0.20374106072380804,,0.13515280311219038,0.15171570893301053,0.16602172547903268,0.18276119653601042,,0.1395252595386253,0.18042769135942843,0.10612082614334811,,0.0,0.13563667433536894,0.11046249222554382,0.16331858276654387,0.10050319799485041,0.11319702257561202,0.09484484017511487,0.02434441658089406,0.10885034209460455,,0.12454382048232665,0.15772453471691325
T20,,0.14626103999959134,0.13769931702630492,,0.1473995638505302,,0.1607400916647165,,,,,0.16515614255458314,,0.1461772934194708,,,,,0.13563667433536894,0.0,0.14484285780458678,,0.1412614815123208,,0.13560312369258526,,0.1432307076736475,,,0.1568589517924637
T21,,0.10980306266207931,0.11252513491647978,,0.1574713302441976,,,0.2129472441930259,0.10190978177242672,0.11223131400293636,,0.17522790894825052,,,0.13744764778015622,0.18963387482864627,0.08319933703409413,,0.11046249222554382,0.14484285780458678,0.0,,,0.11111941081714292,0.11042894158276015,,,0.15745877035831557,,0.1669307181861311
T22,,0.17394294843076627,,,0.1617849635846986,0.17931757184774724,0.17353530396416567,,0.1868935448918986,,,0.17216577528040924,,,,,,0.16232628123048107,0.16331858276654387,,,0.0,,,,0.16127716141386197,,,0.192984012430972,
T23,0.1673803352748895,0.11750548159750024,,,0.1538899539519316,,0.16723048176611788,,,0.14077761028914224,,,0.18838600371296227,,0.14515006671557718,0.1860524985363803,,0.0760247895966226,0.10050319799485041,0.1412614815123208,,,0.0,,,,0.11447514927155643,0.15387739406604958,0.061714010785901975,0.1633493418938651
T24,,,,0.1727631869097059,0.16020586059426578,0.1793286562920336,,0.2156817745430941,0.12548818947327986,0.1358097217037895,,0.1779624392983187,0.1947019103552964,,0.13419086103336728,,,,0.11319702257561202,,0.11111941081714292,,,0.0,0.11316347193282833,0.11115560122293014,,,0.14286245224004013,0.16966524853619927
T25,0.16172197745515396,0.11184712377776469,0.06620763468137195,,,0.1673543918299639,0.16157212394638232,,0.12479772023889706,0.13511925246940668,0.15168215829022685,0.165988174836249,0.1827276458932267,0.14700932570113664,,,0.10608727550056443,,0.09484484017511487,0.13560312369258526,0.11042894158276015,,,0.11316347193282833,0.0,,0.10881679145182085,,0.0938104216548641,
T26,0.15971410674525577,,,0.15878105173773802,,0.16534652112006568,0.15956425323648415,0.20169963937112617,,,,0.16398030412635078,,0.14500145499123845,,0.17838627000674653,,0.09184466792915388,0.02434441658089406,,,0.16127716141386197,,0.11115560122293014,,0.0,0.10680892074192266,,0.12250239912964477,0.15568311336423135
T27,,,,,,0.17498197581102612,0.1691997079274446,,0.083996478098491,,,0.17361575881731123,0.19035522987428896,,0.13583549764921696,0.18802172469770698,,,0.10885034209460455,0.1432307076736475,,,0.11447514927155643,,0.10881679145182085,0.10680892074192266,0.0,,0.13851577175903265,
