n,matrix_type,missing_fraction,missing_percent,replicate,n_pairs,n_missing,n_observed,reference_matrix_file,mask_file,observed_matrix_file,seed
30,synthetic_ultrametric,0.3,30,1,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep01.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep01.csv,20273607
30,synthetic_ultrametric,0.3,30,2,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep02.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep02.csv,20273608
30,synthetic_ultrametric,0.3,30,3,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep03.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep03.csv,20273609
30,synthetic_ultrametric,0.3,30,4,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep04.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep04.csv,20273610
30,synthetic_ultrametric,0.3,30,5,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep05.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep05.csv,20273611
30,synthetic_ultrametric,0.3,30,6,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep06.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep06.csv,20273612
30,synthetic_ultrametric,0.3,30,7,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep07.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep07.csv,20273613
30,synthetic_ultrametric,0.3,30,8,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep08.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep08.csv,20273614
30,synthetic_ultrametric,0.3,30,9,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep09.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep09.csv,20273615
30,synthetic_ultrametric,0.3,30,10,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep10.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep10.csv,20273616
30,synthetic_ultrametric,0.3,30,11,435,130,305,synthetic30_tree_distances/reference_matrices/Dref_synthetic30_ultrametric_Tlabels.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/mask_synthetic_ultrametric_missing30_rep11.csv,synthetic30_tree_distances/masks_and_observed/synthetic_ultrametric/Dobs_synthetic_ultrametric_missing30_rep11.csv,20273617
