,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.16963705809289956,0.16961329666052172,0.18220921343953517,0.1699605295326093,0.169528317549787,0.16970175764316406,0.21507975555703282,0.16980920566992508,0.16991992919996649,0.1697533412945332,0.16979930693098785,0.16981504827243735,0.16973384036372957,0.16967592484028593,0.1789547705836546,0.1697216304233205,0.16968250975486576,0.16995342537016594,0.16975847041639122,0.1709617115671554,0.1736851574729372,0.1699139302748056,0.16998647117308213,0.1617219774551539,0.1698840228905196,0.17002031637876955,0.16981213537317133,0.21014428927813053,0.1696812968580258
T2,0.16963705809289956,0.0,0.16856617964574708,0.1820816549882977,0.168182855085669,0.1780123081369699,0.1683743777981657,0.2143654263880304,0.1241718413182162,0.1683471966548039,0.16840389435057634,0.16852194406537147,0.16840574157078292,0.1683776742106982,0.1685673395491612,0.179055933606378,0.16845832831483049,0.16851409860374408,0.16816271640044184,0.168260692241985,0.16814801123228668,0.17194835022341748,0.1682528932730512,0.1065462759152903,0.16802733802882294,0.16834809815257407,0.16830933889573024,0.16860241425688902,0.21021572479481138,0.1683489003811356
T3,0.16961329666052172,0.16856617964574708,0.0,0.1823726244065754,0.15776991652181088,0.16577067535560702,0.16074792668637777,0.2152034445911226,0.16992542259474186,0.16202804404036697,0.16612397658191141,0.1653238483881201,0.16585955826689278,0.1491055190348562,0.14533354115335614,0.17904489259240458,0.108183468834284,0.11179096281478564,0.13050125495525342,0.14858284899605623,0.1125251349164797,0.1716964880776793,0.0434633358612801,0.1300185303923309,0.11601624736076009,0.12987441387581103,0.11152580653334743,0.15336769732772504,0.21025842601416564,0.1597871774078491
T4,0.18220921343953517,0.1820816549882977,0.1823726244065754,0.0,0.1821302034704226,0.18217233339417443,0.18208416241665226,0.21529096263482494,0.18213164406029905,0.18219579607791897,0.18212817681268983,0.18216106809310212,0.2070814123666118,0.18227492233974482,0.1990914238727192,0.182380834627804,0.18189972281725816,0.1821453627234264,0.1608224730904198,0.18186644903857463,0.18255440545693508,0.18241138730585468,0.1820900937787206,0.18227097765613653,0.18229763198154586,0.1823228359931743,0.18247586279607753,0.18248067222792247,0.20991568642135885,0.1820447505475146
T5,0.1699605295326093,0.168182855085669,0.15776991652181088,0.1821302034704226,0.0,0.1658543232909023,0.1600720554073207,0.2155039502389693,0.1718401089003345,0.1619895255251037,0.16588671994383336,0.16562565622759412,0.13369909177073844,0.1580511232841498,0.15786717568659675,0.17901984223575615,0.1578047299907348,0.1472728452389169,0.15812965624937447,0.15760817349245126,0.1574713302441976,0.17172008456788201,0.1538899539519316,0.15811196755545406,0.1578416724928958,0.1580544186212868,0.15784100952774782,0.15805023842231014,0.2102321559514681,0.0522017592946794
T6,0.169528317549787,0.1780123081369699,0.16577067535560702,0.18217233339417443,0.1658543232909023,0.0,0.16617081719361082,0.21536732642497353,0.16993461462205514,0.1661226707746817,0.1648655080368657,0.16623315918497694,0.16631856626362046,0.16632405159267202,0.1659479088214667,0.1790864359654309,0.16584112802177478,0.16579587492959905,0.16606304352773138,0.16594153771422634,0.16604810187961658,0.17152516662956457,0.1660008203857482,0.16587569255765605,0.1660184482836043,0.16606081231310432,0.16604471591383035,0.1658417634050203,0.21023609677422578,0.1660545359343458
T7,0.16970175764316406,0.1683743777981657,0.16074792668637777,0.18208416241665226,0.1600720554073207,0.16617081719361082,0.0,0.21542488085275135,0.1696465843528044,0.16181562666479174,0.16577104482344604,0.1659354495226743,0.16607365102944452,0.16079313389788766,0.16085995167490802,0.1791132377976323,0.16076627267731283,0.1606133730531032,0.16080782351874873,0.1607400916647165,0.1604887930615643,0.17207456508745,0.1607522518595988,0.1607368539000853,0.16059422309882304,0.16092013763661023,0.1691997079274446,0.16094334968184448,0.20988180719111416,0.16045430163497518
T8,0.21507975555703282,0.2143654263880304,0.2152034445911226,0.21529096263482494,0.2155039502389693,0.21536732642497353,0.21542488085275135,0.0,0.2153761254030437,0.21542304079151986,0.21510805258555932,0.21538641996361466,0.21520402086624027,0.21523458904673584,0.2152417943385648,0.21520656446358405,0.21519485947991207,0.21544134451733474,0.21521831670159908,0.2153322533753875,0.2155031495899831,0.21536446794966307,0.21542489410772098,0.21547803601608376,0.21547992099892152,0.2153253501848035,0.21545349118368634,0.2154945514560984,0.2151940946225953,0.21530210796959662
T9,0.16980920566992508,0.1241718413182162,0.16992542259474186,0.18213164406029905,0.1718401089003345,0.16993461462205514,0.1696465843528044,0.2153761254030437,0.0,0.16972440777201933,0.16993399061789005,0.16979674031369132,0.2063361586613651,0.16976167224232064,0.1697258771983516,0.17913778572868852,0.16993341548326454,0.16981972757244002,0.16957878662635945,0.1592116364607237,0.16992181068305012,0.1717636934309483,0.16968403360114018,0.16970378737569858,0.16978823832196846,0.16996242674766873,0.16953905708570294,0.16969213620968251,0.21001168871052983,0.16978878433596153
T10,0.16991992919996649,0.1683471966548039,0.16202804404036697,0.18219579607791897,0.1619895255251037,0.1661226707746817,0.16181562666479174,0.21542304079151986,0.16972440777201933,0.0,0.16598077473198125,0.16566022157645743,0.16573242792792905,0.1809393706997847,0.1621379586668027,0.1789450630296035,0.16191145758794656,0.16194317740422443,0.16218748254270401,0.16208759673464662,0.16220995391382356,0.1717506579699223,0.16227769663091632,0.16201332856405176,0.1351192524694066,0.16217865319452998,0.16226097412395385,0.16214829938156258,0.21022186964058875,0.16225397267919023
T11,0.1697533412945332,0.16840389435057634,0.16612397658191141,0.18212817681268983,0.16588671994383336,0.1648655080368657,0.16577104482344604,0.21510805258555932,0.16993399061789005,0.16598077473198125,0.0,0.1605629014468759,0.16602093596018155,0.16611300919496044,0.16608921117027903,0.1791444891470012,0.16596764584975174,0.1661222923670996,0.16591105663914898,0.16583385727720953,0.16595754494809348,0.17188409478775862,0.1659555918166978,0.16594496765602182,0.16603909710056794,0.16595916414666534,0.1661494822439732,0.16611323806340286,0.20997028621176692,0.16605060617206283
