method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,epoch_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,init_strategy,n_restarts,best_restart,best_restart_initial_Delta,best_restart_final_Delta,upper_bound,initial_global_mean,initial_global_median,observed_max_distance,optimizer_config_json,sensitivity_variant,variant_description,lr_init,lr_milestones,clip_grad_norm,h_central_diff
Hyb-Adam-UM,50,0.5,0.5011494252873563,1,55,435,218,217,218,True,True,True,True,,missing_p50_rep01_seed55.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep01_seed55.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep01_seed55_epochs.csv,797.2339468639984,1152.456105693284,0.04161903194545065,0.2838561836682965,0.5501120021976923,2094.9481216356535,0.06362992423130975,0.026468896665453785,0.016156920865733816,0.7305719555167567,0.7037637207826166,0.0,0.0,1818.9434651093904,1152.456105693284,36.64145544930525,4500,5000,4500,0.0025,two_way_mean,1,0,1818.9434651093904,1152.456105693284,0.375,0.15588159512575941,0.1617555280979376,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,2,56,435,218,217,218,True,True,True,True,,missing_p50_rep02_seed56.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep02_seed56.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep02_seed56_epochs.csv,786.9814393180022,663.0042822213443,0.028949300440117877,0.1633015473451587,0.31647766136743116,2094.9481216356535,0.06362992423130975,0.030065389415373855,0.016868414000690276,0.7063413102277266,0.7352127130330133,0.0,0.0,1310.5654694062018,663.0042822213443,49.4108232134529,5000,5000,5000,0.0025,two_way_mean,1,0,1310.5654694062018,663.0042822213443,0.35010973558235414,0.15737507445997817,0.1623400745972329,0.2334064903882361,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,3,57,435,218,217,218,True,True,True,True,,missing_p50_rep03_seed57.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep03_seed57.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep03_seed57_epochs.csv,792.8444505109983,881.1180500981236,0.0353756302839754,0.21702415027047378,0.42059182325249234,2094.9481216356535,0.06362992423130975,0.02572546270040289,0.014056146181717662,0.7632456948181948,0.7917481578692848,0.0,0.0,1704.75341105811,881.1180500981236,48.31404680684995,4500,5000,4500,0.0025,two_way_mean,1,0,1704.75341105811,881.1180500981236,0.375,0.1565592420622674,0.1628851157813558,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,4,58,435,218,217,218,True,True,True,True,,missing_p50_rep04_seed58.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep04_seed58.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep04_seed58_epochs.csv,790.3947588029987,922.2481238251949,0.03632708147508827,0.22715471030177214,0.44022480284864507,2094.9481216356535,0.06362992423130975,0.02757014540092597,0.017216404793961693,0.7522008851149717,0.7816014534343294,0.0,0.0,1600.0087573029114,922.2481238251949,42.35980774381498,5000,5000,5000,0.0025,two_way_mean,1,0,1600.0087573029114,922.2481238251949,0.375,0.15749138589366848,0.1636564227522965,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,5,59,435,218,217,218,True,True,True,True,,missing_p50_rep05_seed59.csv,,hyb_adam_um_outputs/logs/Sensitivity_baseline_p50_rep05_seed59.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_baseline_p50_rep05_seed59_epochs.csv,783.7882689160033,748.22389209363,0.030541376265019324,0.1842915990378399,0.3571562867673525,2094.9481216356535,0.06362992423130975,0.031095602284657478,0.01735846388556721,0.6741223465789028,0.7007521418407349,0.0,0.0,1229.885471476649,748.22389209363,39.16312457978035,5000,5000,5000,0.0025,two_way_mean,1,0,1229.885471476649,748.22389209363,0.36301501725916097,0.15842622177398352,0.162326281230481,0.2420100115061073,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,1,55,435,218,217,218,True,True,True,True,,missing_p50_rep01_seed55.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep01_seed55.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep01_seed55_epochs.csv,793.986860144003,1152.7995912888036,0.04163812230490655,0.283940786031725,0.5502759611959951,2094.9481216356535,0.06362992423130975,0.02650805513866025,0.01621119698982893,0.7296495707779231,0.7060119802926906,0.0,0.0,1869.8778313895546,1152.7995912888036,38.348935318831586,4500,5000,4500,0.0025,global_mean,1,0,1869.8778313895546,1152.7995912888036,0.375,0.15588159512575941,0.1617555280979376,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,2,56,435,218,217,218,True,True,True,True,,missing_p50_rep02_seed56.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep02_seed56.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep02_seed56_epochs.csv,781.457607700002,645.1042300192482,0.028246059450016965,0.15889266749242567,0.307933272121114,2094.9481216356535,0.06362992423130975,0.030544258760563665,0.017116889260985743,0.6995944821062057,0.7366316300344767,0.0,0.0,1373.210463423416,645.1042300192482,53.02218798923202,5000,5000,5000,0.0025,global_mean,1,0,1373.210463423416,645.1042300192482,0.35010973558235414,0.15737507445997817,0.1623400745972329,0.2334064903882361,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,3,57,435,218,217,218,True,True,True,True,,missing_p50_rep03_seed57.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep03_seed57.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep03_seed57_epochs.csv,791.7044513969959,881.7520529946905,0.03538448483133186,0.2171803086193819,0.42089445742754383,2094.9481216356535,0.06362992423130975,0.02577866657635831,0.014101103046726559,0.7620438577280885,0.7877392829778028,0.0,0.0,1720.4602500421922,881.7520529946905,48.749059853427795,4500,5000,4500,0.0025,global_mean,1,0,1720.4602500421922,881.7520529946905,0.375,0.1565592420622674,0.1628851157813558,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,4,58,435,218,217,218,True,True,True,True,,missing_p50_rep04_seed58.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep04_seed58.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep04_seed58_epochs.csv,789.5009500369997,930.3071029084815,0.036545796524960455,0.22913968051933042,0.44407166616714794,2094.9481216356535,0.06362992423130975,0.025857191308686828,0.016667181969427878,0.7891849660594534,0.795923827902163,0.0,0.0,1569.9260045669373,930.3071029084815,40.74197763447419,4500,5000,4500,0.0025,global_mean,1,0,1569.9260045669373,930.3071029084815,0.375,0.15749138589366848,0.1636564227522965,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,5,59,435,218,217,218,True,True,True,True,,missing_p50_rep05_seed59.csv,,hyb_adam_um_outputs/logs/Sensitivity_old_global_mean_init_p50_rep05_seed59.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_old_global_mean_init_p50_rep05_seed59_epochs.csv,784.1448940709961,747.8255276924042,0.030518044248552544,0.18419347972719316,0.3569661319863765,2094.9481216356535,0.06362992423130975,0.031128420590222552,0.017338159810913894,0.6732213058488627,0.7035482770583129,0.0,0.0,1297.8954483088373,747.8255276924042,42.381681924624694,5000,5000,5000,0.0025,global_mean,1,0,1297.8954483088373,747.8255276924042,0.36301501725916097,0.15842622177398352,0.162326281230481,0.2420100115061073,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""global_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",old_global_mean_init,"old initialization only: global mean, 1 restart",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,1,55,435,218,217,218,True,True,True,True,,missing_p50_rep01_seed55.csv,,hyb_adam_um_outputs/logs/Sensitivity_two_restarts_p50_rep01_seed55.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_two_restarts_p50_rep01_seed55_epochs.csv,1592.5950192410019,1152.1413129175753,0.04160260938919205,0.28377864850186585,0.5499617393952594,2094.9481216356535,0.06362992423130975,0.026470586045666544,0.01614496683098828,0.7305664155743409,0.702226657222664,0.0,0.0,1854.214877483089,1152.1413129175753,37.86365717863877,5000,5000,5000,0.0025,two_way_mean,2,1,1854.214877483089,1152.1413129175753,0.375,0.15588159512575941,0.1617555280979376,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 2, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",two_restarts,"two-way initialization, two restarts",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,2,56,435,218,217,218,True,True,True,True,,missing_p50_rep02_seed56.csv,,hyb_adam_um_outputs/logs/Sensitivity_two_restarts_p50_rep02_seed56.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_two_restarts_p50_rep02_seed56_epochs.csv,1568.6686753460017,652.0323180646495,0.02856894676625503,0.16059909311937182,0.31124031728077745,2094.9481216356535,0.06362992423130975,0.03028928847067994,0.016954507441347813,0.7033007904152282,0.7387351020954218,0.0,0.0,1359.9182907462687,652.0323180646495,52.053566563411664,4500,5000,4500,0.0025,two_way_mean,2,1,1359.9182907462687,652.0323180646495,0.35010973558235414,0.15737507445997817,0.1623400745972329,0.2334064903882361,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 2, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",two_restarts,"two-way initialization, two restarts",0.02,"(700, 2000, 4000)",5.0,1e-05
Hyb-Adam-UM,50,0.5,0.5011494252873563,3,57,435,218,217,218,True,True,True,True,,missing_p50_rep03_seed57.csv,,hyb_adam_um_outputs/logs/Sensitivity_two_restarts_p50_rep03_seed57.log,hyb_adam_um_outputs/logs/epoch_logs/Sensitivity_two_restarts_p50_rep03_seed57_epochs.csv,1583.9656081530047,881.1180500981236,0.0353756302839754,0.21702415027047378,0.42059182325249234,2094.9481216356535,0.06362992423130975,0.02572546270040289,0.014056146181717662,0.7632456948181948,0.7917481578692848,0.0,0.0,1704.75341105811,881.1180500981236,48.31404680684995,4500,5000,4500,0.0025,two_way_mean,2,0,1704.75341105811,881.1180500981236,0.375,0.1565592420622674,0.1628851157813558,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 2, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}",two_restarts,"two-way initialization, two restarts",0.02,"(700, 2000, 4000)",5.0,1e-05
