sensitivity_variant,variant_description,n_runs,n_success,n_failed,n_objective_improved,n_not_improved,lr_init,lr_milestones,clip_grad_norm,h_central_diff,init_strategy,n_restarts,RMSE_miss_mean,RMSE_miss_std,RMSE_miss,MAE_miss_mean,MAE_miss_std,MAE_miss,Pearson_miss_mean,Pearson_miss_std,Pearson_miss,Spearman_miss_mean,Spearman_miss_std,Spearman_miss,runtime_seconds_mean,runtime_seconds_std,runtime_seconds,Delta_init_mean,Delta_init_std,Delta_init,Delta_final_mean,Delta_final_std,Delta_final,Delta_reduction_percent_mean,Delta_reduction_percent_std,Delta_reduction_percent,best_epoch_mean,best_epoch_std,best_epoch,epochs_used_mean,epochs_used_std,epochs_used,convergence_epoch_mean,convergence_epoch_std,convergence_epoch,final_learning_rate_mean,final_learning_rate_std,final_learning_rate,max_abs_error_observed_mean,max_abs_error_observed_std,max_abs_error_observed,mean_abs_error_observed_mean,mean_abs_error_observed_std,mean_abs_error_observed
baseline,"two-way initialization, one restart, default lr schedule, clip=5.0, h=1e-5",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.02818509929336279,0.002311917522564336,0.028185 ± 0.002312,0.01633126994553413,0.001354040303004381,0.016331 ± 0.001354,0.7252964384513106,0.03595104641843978,0.725296 ± 0.035951,0.7426156373919958,0.04257559569164978,0.742616 ± 0.042576,790.2485728824001,5.195312543887185,790.2486 ± 5.1953,1532.8313148706525,253.5293220384943,1532.8313 ± 253.5293,873.4100907863152,187.2521249307488,873.4101 ± 187.2521,43.17785155864068,5.584401037114881,43.177852 ± 5.584401,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
old_global_mean_init,"old initialization only: global mean, 1 restart",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,global_mean,1,0.02796331847489832,0.0026460060040770653,0.027963 ± 0.002646,0.016286906215576602,0.0012963490083848536,0.016287 ± 0.001296,0.7307388365041068,0.04657085477311842,0.730739 ± 0.046571,0.7459709996530892,0.043941748336422976,0.745971 ± 0.043942,788.1589526697993,5.228688041106933,788.1590 ± 5.2287,1566.2739995461875,237.30918620923183,1566.2740 ± 237.3092,871.5577009807257,193.16006517980526,871.5577 ± 193.1601,44.648768544118056,6.0625311884434625,44.648769 ± 6.062531,4700.0,273.8612787525831,4700.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4700.0,273.8612787525831,4700.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
two_restarts,"two-way initialization, two restarts",5,5,0,5,0,0.02,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,2,0.028223837344684626,0.0023491493520261864,0.028224 ± 0.002349,0.01634016040316577,0.0013580694318194963,0.016340 ± 0.001358,0.7248076853256851,0.036165898404493864,0.724808 ± 0.036166,0.7433490726943034,0.042403129647601547,0.743349 ± 0.042403,1578.5779917672014,11.069463615950264,1578.5780 ± 11.0695,1548.5690804739763,255.64896042606634,1548.5691 ± 255.6490,871.0150226373374,190.3677741027768,871.0150 ± 190.3678,43.90308811075282,6.1141435824486905,43.903088 ± 6.114144,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
lr_init_low,lower initial learning rate: lr_init=0.01,5,5,0,5,0,0.01,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.028373103941431686,0.0023071587634348857,0.028373 ± 0.002307,0.016507181910413636,0.0011646505399436366,0.016507 ± 0.001165,0.7226585418402329,0.03553952208101593,0.722659 ± 0.035540,0.7427970271082645,0.040941390916423834,0.742797 ± 0.040941,781.226188811801,4.561003585267767,781.2262 ± 4.5610,1532.8313148706525,253.5293220384943,1532.8313 ± 253.5293,865.7510777987418,191.92895436233005,865.7511 ± 191.9290,43.71147254362814,6.051498759026218,43.711473 ± 6.051499,4900.0,223.60679774997897,4900.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4900.0,223.60679774997897,4900.000000 ± 223.606798,0.00125,0.0,0.001250 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
lr_init_high,higher initial learning rate: lr_init=0.04,5,5,0,5,0,0.04,"(700, 2000, 4000)",5.0,1e-05,two_way_mean,1,0.028338124626656247,0.0024375457343641135,0.028338 ± 0.002438,0.016411035048291413,0.0014110157427136187,0.016411 ± 0.001411,0.722743596218469,0.038181599629452,0.722744 ± 0.038182,0.7430657526138478,0.04350314314218994,0.743066 ± 0.043503,790.4019996348027,11.307986058940616,790.4020 ± 11.3080,1532.8313148706525,253.5293220384943,1532.8313 ± 253.5293,873.8168499513628,192.32638096197374,873.8168 ± 192.3264,43.18699729583829,5.923323242652142,43.186997 ± 5.923323,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4500.0,612.3724356957945,4500.000000 ± 612.372436,0.0045,0.0011180339887498947,0.004500 ± 0.001118,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
schedule_fast_decay,"earlier LR milestones: 300, 1000, 2500",5,5,0,5,0,0.02,"(300, 1000, 2500)",5.0,1e-05,two_way_mean,1,0.02818379859518307,0.002296610432474547,0.028184 ± 0.002297,0.016322622730586142,0.001337113393690034,0.016323 ± 0.001337,0.7253355195316006,0.03571316196906289,0.725336 ± 0.035713,0.7452493790066306,0.04169610933380547,0.745249 ± 0.041696,780.9998643860002,5.018111247074783,780.9999 ± 5.0181,1532.8313148706525,253.5293220384943,1532.8313 ± 253.5293,872.5712864019666,187.47567011584152,872.5713 ± 187.4757,43.23319103231523,5.617054071088485,43.233191 ± 5.617054,3800.0,908.2951062292475,3800.000000 ± 908.295106,5000.0,0.0,5000.000000 ± 0.000000,3800.0,908.2951062292475,3800.000000 ± 908.295106,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
schedule_slow_decay,"later LR milestones: 1500, 3000, 5000",5,5,0,5,0,0.02,"(1500, 3000, 5000)",5.0,1e-05,two_way_mean,1,0.028093720635911517,0.002350944500158353,0.028094 ± 0.002351,0.01623634851263388,0.0013070469284172128,0.016236 ± 0.001307,0.7279234351728515,0.03609314219979007,0.727923 ± 0.036093,0.7504702985922606,0.04025585383200698,0.750470 ± 0.040256,798.4305894657998,17.76688172357623,798.4306 ± 17.7669,1532.8313148706525,253.5293220384943,1532.8313 ± 253.5293,887.4204984755099,205.57146993031262,887.4205 ± 205.5715,42.36406495847225,6.338246631439132,42.364065 ± 6.338247,3300.0,1350.9256086106295,3300.000000 ± 1350.925609,5000.0,0.0,5000.000000 ± 0.000000,3800.0,447.21359549995793,3800.000000 ± 447.213595,0.0022500000000000003,0.0005590169943749474,0.002250 ± 0.000559,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_low,stronger gradient clipping: clip=1.0,5,5,0,5,0,0.02,"(700, 2000, 4000)",1.0,1e-05,two_way_mean,1,0.028229590228503798,0.002406182769983306,0.028230 ± 0.002406,0.016369771703953005,0.0013639784616452184,0.016370 ± 0.001364,0.7242527694913001,0.03796264791500288,0.724253 ± 0.037963,0.7425876065418444,0.04462381992503819,0.742588 ± 0.044624,807.7942303189978,7.901495713326994,807.7942 ± 7.9015,1532.8313148706525,253.5293220384943,1532.8313 ± 253.5293,871.5974582030454,190.75038471998158,871.5975 ± 190.7504,43.32492921495314,5.826126568415742,43.324929 ± 5.826127,4900.0,223.60679774997897,4900.000000 ± 223.606798,5000.0,0.0,5000.000000 ± 0.000000,4900.0,223.60679774997897,4900.000000 ± 223.606798,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_high,weaker gradient clipping: clip=10.0,5,5,0,5,0,0.02,"(700, 2000, 4000)",10.0,1e-05,two_way_mean,1,0.028254872643442765,0.0024205922815388127,0.028255 ± 0.002421,0.016393416423261184,0.0013469949851275572,0.016393 ± 0.001347,0.7243350073730699,0.03738250569411032,0.724335 ± 0.037383,0.7413167202283704,0.043055527214721716,0.741317 ± 0.043056,812.5731767811988,6.940337560715743,812.5732 ± 6.9403,1532.8313148706525,253.5293220384943,1532.8313 ± 253.5293,870.8167963193131,193.04713446970692,870.8168 ± 193.0471,43.39114059845691,6.009185788105112,43.391141 ± 6.009186,4800.0,273.8612787525831,4800.000000 ± 273.861279,5000.0,0.0,5000.000000 ± 0.000000,4800.0,273.8612787525831,4800.000000 ± 273.861279,0.0025,0.0,0.002500 ± 0.000000,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
clip_none,no gradient clipping,5,5,0,3,2,0.02,"(700, 2000, 4000)",,1e-05,two_way_mean,1,0.03243343681826512,0.003506690453661063,0.032433 ± 0.003507,0.02219058813862651,0.0045075547848567755,0.022191 ± 0.004508,0.6187299765983182,0.09912871503069756,0.618730 ± 0.099129,0.6691982076472096,0.08938497923100731,0.669198 ± 0.089385,879.9011323624,73.15880981341131,879.9011 ± 73.1588,1532.8313148706525,253.5293220384943,1532.8313 ± 253.5293,1294.218610290101,468.68191364384484,1294.2186 ± 468.6819,16.825801027820468,21.82503759517649,16.825801 ± 21.825038,1900.2,2607.498839884689,1900.200000 ± 2607.498840,5000.0,0.0,5000.000000 ± 0.000000,3200.0,1440.4860290887934,3200.000000 ± 1440.486029,0.0017500000000000003,0.0006846531968814577,0.001750 ± 0.000685,0.0,0.0,0.000000 ± 0.000000,0.0,0.0,0.000000 ± 0.000000
