restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,1267.1243589122328,1229.885471476649,0.31209959579119034,0.3029274560287313,0,0.02,218,checkpoint
0,500,776.4743923696279,776.4743923696279,0.1912498503373468,0.1912498503373468,500,0.02,218,checkpoint
0,1000,757.7697375002167,757.7697375002167,0.1866427924877381,0.1866427924877381,1000,0.01,218,checkpoint
0,1500,760.0401715195767,757.7697375002167,0.18720201268955092,0.1866427924877381,1000,0.01,218,checkpoint
0,2000,761.166443379161,757.7697375002167,0.1874794195515175,0.1866427924877381,1000,0.005,218,checkpoint
0,2500,751.9837440440701,751.9837440440701,0.1852176709468153,0.1852176709468153,2500,0.005,218,checkpoint
0,3000,751.9082741652419,751.9082741652419,0.18519908230670984,0.18519908230670984,3000,0.005,218,checkpoint
0,3500,751.3490266296847,751.3490266296847,0.1850613366082967,0.1850613366082967,3500,0.005,218,checkpoint
0,4000,751.1318033576323,751.1318033576323,0.1850078333393183,0.1850078333393183,4000,0.0025,218,checkpoint
0,4500,748.158041151838,748.158041151838,0.18427537959404877,0.18427537959404877,4500,0.0025,218,checkpoint
0,5000,747.477475633905,747.477475633905,0.1841077526191884,0.1841077526191884,5000,0.0025,218,checkpoint
