restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,1068.8015733113757,1068.8015733113757,0.2632516190422108,0.2632516190422108,1,0.01,218,checkpoint
0,500,662.8582796134115,662.8582796134115,0.1632655861116777,0.1632655861116777,500,0.01,218,checkpoint
0,1000,651.6782372730888,651.6782372730888,0.16051188110174602,0.16051188110174602,1000,0.005,218,checkpoint
0,1500,651.5500142489193,651.5500142489193,0.1604802990760885,0.1604802990760885,1500,0.005,218,checkpoint
0,2000,652.0819675481723,651.5500142489193,0.16061132205620007,0.1604802990760885,1500,0.0025,218,checkpoint
0,2500,645.499845424829,645.499845424829,0.15899010971054903,0.15899010971054903,2500,0.0025,218,checkpoint
0,3000,644.8136345695206,644.8136345695206,0.1588210922585026,0.1588210922585026,3000,0.0025,218,checkpoint
0,3500,644.718455517724,644.718455517724,0.15879764914229655,0.15879764914229655,3500,0.0025,218,checkpoint
0,4000,645.1291190456915,644.718455517724,0.1588987977945053,0.15879764914229655,3500,0.00125,218,checkpoint
0,4500,642.0831454121792,642.0831454121792,0.15814855798329536,0.15814855798329536,4500,0.00125,218,checkpoint
0,5000,641.9052202418525,641.9052202418525,0.15810473404971737,0.15810473404971737,5000,0.00125,218,checkpoint
