restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,1473.679424130868,1473.679424130868,0.3629752276184404,0.3629752276184404,1,0.02,218,checkpoint
0,500,942.5116950264064,942.5116950264064,0.23214573769123312,0.23214573769123312,500,0.02,218,checkpoint
0,1000,906.7190502215618,906.7190502215618,0.22332981532550783,0.22332981532550783,1000,0.01,218,checkpoint
0,1500,915.508513145573,906.7190502215618,0.2254947076713234,0.22332981532550783,1000,0.01,218,checkpoint
0,2000,907.2018506898987,906.7190502215618,0.2234487316970194,0.22332981532550783,1000,0.005,218,checkpoint
0,2500,890.5170567012619,890.5170567012619,0.21933917652740442,0.21933917652740442,2500,0.005,218,checkpoint
0,3000,892.3268822338412,890.5170567012619,0.21978494636301507,0.21933917652740442,2500,0.005,218,checkpoint
0,3500,896.2295146971298,890.5170567012619,0.22074618588599257,0.21933917652740442,2500,0.005,218,checkpoint
0,4000,895.0602912724571,890.5170567012619,0.22045819982080225,0.21933917652740442,2500,0.0025,218,checkpoint
0,4500,881.7520529946905,881.7520529946905,0.2171803086193819,0.2171803086193819,4500,0.0025,218,checkpoint
0,5000,882.1326035411981,881.7520529946905,0.2172740402810833,0.2171803086193819,4500,0.0025,218,checkpoint
