restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,1578.2281792431756,1578.2281792431756,0.3887261525229497,0.3887261525229497,1,0.02,218,checkpoint
0,500,960.0962783879693,960.0962783879693,0.23647691585910574,0.23647691585910574,500,0.02,218,checkpoint
0,1000,958.7029504357731,958.7029504357731,0.23613373163442689,0.23613373163442689,1000,0.02,218,checkpoint
0,1500,958.3299337944035,958.3299337944035,0.2360418556143851,0.2360418556143851,1500,0.01,218,checkpoint
0,2000,936.5167601118505,936.5167601118505,0.230669152736909,0.230669152736909,2000,0.01,218,checkpoint
0,2500,937.3590330644096,936.5167601118505,0.2308766091291649,0.230669152736909,2000,0.01,218,checkpoint
0,3000,937.3453903628348,936.5167601118505,0.23087324885784108,0.230669152736909,2000,0.005,218,checkpoint
0,3500,928.8117234275675,928.8117234275675,0.22877136045013977,0.22877136045013977,3500,0.005,218,checkpoint
0,4000,927.8173505043497,927.8173505043497,0.2285264410109236,0.2285264410109236,4000,0.005,218,checkpoint
0,4500,925.6824824952828,925.6824824952828,0.2280006114520401,0.2280006114520401,4500,0.005,218,checkpoint
0,5000,928.3232995491678,925.6824824952828,0.22865105900225807,0.2280006114520401,4500,0.0025,218,checkpoint
