,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,-1.0,0.1638181707888736,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1617555280979376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1241718413182162,0.1344933735487258,-1.0,-1.0,0.1933855622002328,-1.0,-1.0,0.1910520570236508,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1588769525533201,-1.0,-1.0
T3,0.1638181707888736,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.108183468834284,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0948996121561526,-1.0,-1.0,-1.0,-1.0
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1727631869097059,0.1607889224476361,-1.0,0.1684165064286984,0.1725728027196991,-1.0,0.1820447505475146
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.2155039502389693,0.1718401089003345,-1.0,0.1501820897511652,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1473995638505302,0.1574713302441976,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0924789969133424,-1.0,-1.0
T6,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1646320528598429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1653465211200656,-1.0,-1.0,-1.0,-1.0
T7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.2288444780531555,0.1851806367145207,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0571011454940718,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.173546388408452,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T8,-1.0,-1.0,-1.0,-1.0,0.2155039502389693,-1.0,0.2288444780531555,0.0,-1.0,-1.0,0.2189545123970001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2305573862305334,-1.0,-1.0,-1.0,0.2016996393711261,-1.0,-1.0,-1.0,-1.0
T9,-1.0,0.1241718413182162,-1.0,-1.0,0.1718401089003345,-1.0,0.1851806367145207,-1.0,0.0,-1.0,0.1752906710583652,-1.0,-1.0,-1.0,-1.0,0.2040026534847831,0.0717104381493323,-1.0,0.1248312708816807,-1.0,-1.0,0.1868935448918986,-1.0,-1.0,-1.0,-1.0,0.083996478098491,-1.0,-1.0,-1.0
T10,-1.0,0.1344933735487258,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0915884943777442,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1821490812449621,-1.0,-1.0
T11,-1.0,-1.0,-1.0,-1.0,0.1501820897511652,-1.0,-1.0,0.2189545123970001,0.1752906710583652,-1.0,0.0,-1.0,-1.0,-1.0,0.1899846597153098,-1.0,-1.0,0.1507234073969477,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1496742875803286,-1.0,-1.0,-1.0,-1.0
T12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.1950604634469169,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T13,-1.0,0.1933855622002328,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0508512504317499,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T14,-1.0,-1.0,-1.0,-1.0,-1.0,0.1646320528598429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0508512504317499,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1526676835208721,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0969819707772311
